1,metric,model
0.7058823529411765,acc,RandomForest
0.7647058823529411,acc,RandomForest
0.4375,acc,RandomForest
0.625,acc,RandomForest
0.6875,acc,RandomForest
0.75,acc,RandomForest
0.6875,acc,RandomForest
0.5625,acc,RandomForest
0.5625,acc,RandomForest
0.5625,acc,RandomForest
0.9027777777777778,roc,RandomForest
0.9236111111111112,roc,RandomForest
0.5234375,roc,RandomForest
0.7890625,roc,RandomForest
0.8125,roc,RandomForest
0.7734375,roc,RandomForest
0.703125,roc,RandomForest
0.8046875,roc,RandomForest
0.5546875,roc,RandomForest
0.6904761904761905,roc,RandomForest
0.7058823529411765,fms,RandomForest
0.7777777777777777,fms,RandomForest
0.3076923076923077,fms,RandomForest
0.5,fms,RandomForest
0.7058823529411765,fms,RandomForest
0.7142857142857143,fms,RandomForest
0.7058823529411765,fms,RandomForest
0.5882352941176471,fms,RandomForest
0.4615384615384615,fms,RandomForest
0.5333333333333333,fms,RandomForest
0.6666666666666666,precision,RandomForest
0.7,precision,RandomForest
0.4,precision,RandomForest
0.75,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.5555555555555556,precision,RandomForest
0.6,precision,RandomForest
0.5,precision,RandomForest
0.75,recall,RandomForest
0.875,recall,RandomForest
0.25,recall,RandomForest
0.375,recall,RandomForest
0.75,recall,RandomForest
0.625,recall,RandomForest
0.75,recall,RandomForest
0.625,recall,RandomForest
0.375,recall,RandomForest
0.5714285714285714,recall,RandomForest
0.6666666666666666,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.625,specificity,RandomForest
0.875,specificity,RandomForest
0.625,specificity,RandomForest
0.875,specificity,RandomForest
0.625,specificity,RandomForest
0.5,specificity,RandomForest
0.75,specificity,RandomForest
0.5555555555555556,specificity,RandomForest
0.8823529411764706,acc,GausNaiveBayes
0.8235294117647058,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.9583333333333333,roc,GausNaiveBayes
0.8888888888888888,roc,GausNaiveBayes
