1,metric,model
0.8823529411764706,acc,RandomForest
0.5882352941176471,acc,RandomForest
0.6875,acc,RandomForest
0.625,acc,RandomForest
0.8125,acc,RandomForest
0.8125,acc,RandomForest
0.6875,acc,RandomForest
0.6875,acc,RandomForest
0.625,acc,RandomForest
0.5,acc,RandomForest
1.0,roc,RandomForest
0.7083333333333334,roc,RandomForest
0.640625,roc,RandomForest
0.734375,roc,RandomForest
0.9375,roc,RandomForest
0.8125,roc,RandomForest
0.6015625,roc,RandomForest
0.828125,roc,RandomForest
0.75,roc,RandomForest
0.6507936507936508,roc,RandomForest
0.888888888888889,fms,RandomForest
0.5882352941176471,fms,RandomForest
0.6153846153846154,fms,RandomForest
0.5714285714285715,fms,RandomForest
0.7999999999999999,fms,RandomForest
0.823529411764706,fms,RandomForest
0.7058823529411765,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.5714285714285715,fms,RandomForest
0.5,fms,RandomForest
0.8,precision,RandomForest
0.5555555555555556,precision,RandomForest
0.8,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.8571428571428571,precision,RandomForest
0.7777777777777778,precision,RandomForest
0.6666666666666666,precision,RandomForest
1.0,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.4444444444444444,precision,RandomForest
1.0,recall,RandomForest
0.625,recall,RandomForest
0.5,recall,RandomForest
0.5,recall,RandomForest
0.75,recall,RandomForest
0.875,recall,RandomForest
0.75,recall,RandomForest
0.375,recall,RandomForest
0.5,recall,RandomForest
0.5714285714285714,recall,RandomForest
0.7777777777777778,specificity,RandomForest
0.5555555555555556,specificity,RandomForest
0.875,specificity,RandomForest
0.75,specificity,RandomForest
0.875,specificity,RandomForest
0.75,specificity,RandomForest
0.625,specificity,RandomForest
1.0,specificity,RandomForest
0.75,specificity,RandomForest
0.4444444444444444,specificity,RandomForest
0.8235294117647058,acc,GausNaiveBayes
0.5294117647058824,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.875,acc,GausNaiveBayes
