1,metric,model
0.6470588235294118,acc,RandomForest
0.8235294117647058,acc,RandomForest
0.6875,acc,RandomForest
0.75,acc,RandomForest
0.9375,acc,RandomForest
0.6875,acc,RandomForest
0.75,acc,RandomForest
0.5625,acc,RandomForest
0.875,acc,RandomForest
0.75,acc,RandomForest
0.6527777777777778,roc,RandomForest
0.9236111111111112,roc,RandomForest
0.7666666666666666,roc,RandomForest
0.8125,roc,RandomForest
0.921875,roc,RandomForest
0.7857142857142857,roc,RandomForest
0.8412698412698413,roc,RandomForest
0.65625,roc,RandomForest
0.984375,roc,RandomForest
0.825,roc,RandomForest
0.5,fms,RandomForest
0.823529411764706,fms,RandomForest
0.6153846153846153,fms,RandomForest
0.7142857142857143,fms,RandomForest
0.9411764705882353,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.7142857142857143,fms,RandomForest
0.5333333333333333,fms,RandomForest
0.875,fms,RandomForest
0.7499999999999999,fms,RandomForest
0.75,precision,RandomForest
0.875,precision,RandomForest
0.5714285714285714,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.8888888888888888,precision,RandomForest
0.75,precision,RandomForest
0.7142857142857143,precision,RandomForest
0.5714285714285714,precision,RandomForest
0.875,precision,RandomForest
1.0,precision,RandomForest
0.375,recall,RandomForest
0.7777777777777778,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.625,recall,RandomForest
1.0,recall,RandomForest
0.42857142857142855,recall,RandomForest
0.7142857142857143,recall,RandomForest
0.5,recall,RandomForest
0.875,recall,RandomForest
0.6,recall,RandomForest
0.8888888888888888,specificity,RandomForest
0.875,specificity,RandomForest
0.7,specificity,RandomForest
0.875,specificity,RandomForest
0.875,specificity,RandomForest
0.8888888888888888,specificity,RandomForest
0.7777777777777778,specificity,RandomForest
0.625,specificity,RandomForest
0.875,specificity,RandomForest
1.0,specificity,RandomForest
0.7647058823529411,acc,GausNaiveBayes
0.8235294117647058,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.875,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.8653846153846154,roc,GausNaiveBayes
0.8055555555555556,roc,GausNaiveBayes
0.6349206349206349,roc,GausNaiveBayes
0.873015873015873,roc,GausNaiveBayes
0.7777777777777778,roc,GausNaiveBayes
0.7777777777777777,roc,GausNaiveBayes
0.9166666666666667,roc,GausNaiveBayes
0.8412698412698413,roc,GausNaiveBayes
0.8095238095238096,roc,GausNaiveBayes
0.5625,roc,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.8421052631578948,fms,GausNaiveBayes
0.4615384615384615,fms,GausNaiveBayes
0.7777777777777778,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.6153846153846153,fms,GausNaiveBayes
0.9090909090909091,fms,GausNaiveBayes
0.75,fms,GausNaiveBayes
0.7777777777777778,fms,GausNaiveBayes
0.36363636363636365,fms,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.8,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.7777777777777778,precision,GausNaiveBayes
0.625,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.8333333333333334,precision,GausNaiveBayes
0.8571428571428571,precision,GausNaiveBayes
0.7777777777777778,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.75,recall,GausNaiveBayes
0.8888888888888888,recall,GausNaiveBayes
0.42857142857142855,recall,GausNaiveBayes
0.7777777777777778,recall,GausNaiveBayes
0.7142857142857143,recall,GausNaiveBayes
0.5714285714285714,recall,GausNaiveBayes
1.0,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.7777777777777778,recall,GausNaiveBayes
0.25,recall,GausNaiveBayes
0.7692307692307693,specificity,GausNaiveBayes
0.75,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.7142857142857143,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.7777777777777778,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.8571428571428571,specificity,GausNaiveBayes
0.7142857142857143,specificity,GausNaiveBayes
0.875,specificity,GausNaiveBayes
0.6470588235294118,acc,LogReg
0.6470588235294118,acc,LogReg
0.8125,acc,LogReg
0.8125,acc,LogReg
0.6875,acc,LogReg
0.75,acc,LogReg
0.5625,acc,LogReg
0.9375,acc,LogReg
0.5625,acc,LogReg
0.625,acc,LogReg
0.7142857142857143,roc,LogReg
0.8571428571428571,roc,LogReg
0.84375,roc,LogReg
0.8125,roc,LogReg
0.6190476190476191,roc,LogReg
0.9365079365079365,roc,LogReg
0.75,roc,LogReg
0.8571428571428571,roc,LogReg
0.6507936507936509,roc,LogReg
0.7777777777777778,roc,LogReg
0.6666666666666665,fms,LogReg
0.625,fms,LogReg
0.7999999999999999,fms,LogReg
0.8421052631578948,fms,LogReg
0.6153846153846153,fms,LogReg
0.75,fms,LogReg
0.4615384615384615,fms,LogReg
0.923076923076923,fms,LogReg
0.5333333333333333,fms,LogReg
0.6250000000000001,fms,LogReg
0.75,precision,LogReg
0.8333333333333334,precision,LogReg
0.8571428571428571,precision,LogReg
0.7272727272727273,precision,LogReg
0.6666666666666666,precision,LogReg
0.6666666666666666,precision,LogReg
0.42857142857142855,precision,LogReg
1.0,precision,LogReg
0.5,precision,LogReg
0.7142857142857143,precision,LogReg
0.6,recall,LogReg
0.5,recall,LogReg
0.75,recall,LogReg
1.0,recall,LogReg
0.5714285714285714,recall,LogReg
0.8571428571428571,recall,LogReg
0.5,recall,LogReg
0.8571428571428571,recall,LogReg
0.5714285714285714,recall,LogReg
