1,metric,model
0.5882352941176471,acc,RandomForest
0.5882352941176471,acc,RandomForest
0.8125,acc,RandomForest
0.875,acc,RandomForest
0.6875,acc,RandomForest
0.75,acc,RandomForest
0.625,acc,RandomForest
0.8125,acc,RandomForest
0.6875,acc,RandomForest
0.8125,acc,RandomForest
0.7999999999999999,roc,RandomForest
0.638888888888889,roc,RandomForest
0.8500000000000001,roc,RandomForest
1.0,roc,RandomForest
0.6833333333333333,roc,RandomForest
0.7090909090909091,roc,RandomForest
0.75,roc,RandomForest
0.828125,roc,RandomForest
0.7777777777777778,roc,RandomForest
0.8,roc,RandomForest
0.631578947368421,fms,RandomForest
0.5333333333333333,fms,RandomForest
0.7692307692307692,fms,RandomForest
0.7499999999999999,fms,RandomForest
0.6153846153846153,fms,RandomForest
0.6,fms,RandomForest
0.5714285714285715,fms,RandomForest
0.7999999999999999,fms,RandomForest
0.7058823529411765,fms,RandomForest
0.8695652173913043,fms,RandomForest
0.8571428571428571,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.7142857142857143,precision,RandomForest
1.0,precision,RandomForest
0.5714285714285714,precision,RandomForest
0.6,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.8571428571428571,precision,RandomForest
0.75,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.5,recall,RandomForest
0.4444444444444444,recall,RandomForest
0.8333333333333334,recall,RandomForest
0.6,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.6,recall,RandomForest
0.5,recall,RandomForest
0.75,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.9090909090909091,recall,RandomForest
0.8,specificity,RandomForest
0.75,specificity,RandomForest
0.8,specificity,RandomForest
1.0,specificity,RandomForest
0.7,specificity,RandomForest
0.8181818181818182,specificity,RandomForest
0.75,specificity,RandomForest
0.875,specificity,RandomForest
0.7142857142857143,specificity,RandomForest
0.6,specificity,RandomForest
0.6470588235294118,acc,GausNaiveBayes
0.8235294117647058,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.4375,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.7428571428571429,roc,GausNaiveBayes
0.9444444444444444,roc,GausNaiveBayes
0.9365079365079365,roc,GausNaiveBayes
0.7166666666666667,roc,GausNaiveBayes
0.5272727272727273,roc,GausNaiveBayes
0.6363636363636362,roc,GausNaiveBayes
0.6545454545454545,roc,GausNaiveBayes
0.873015873015873,roc,GausNaiveBayes
0.7936507936507936,roc,GausNaiveBayes
0.65625,roc,GausNaiveBayes
0.4,fms,GausNaiveBayes
0.7999999999999999,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.4,fms,GausNaiveBayes
0.3636363636363636,fms,GausNaiveBayes
0.39999999999999997,fms,GausNaiveBayes
0.6666666666666665,fms,GausNaiveBayes
0.7142857142857143,fms,GausNaiveBayes
0.5,fms,GausNaiveBayes
0.6153846153846154,fms,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.8571428571428571,precision,GausNaiveBayes
