1,metric,model
0.7058823529411765,acc,RandomForest
0.7333333333333333,acc,RandomForest
0.5625,acc,RandomForest
0.6153846153846154,acc,RandomForest
0.5,acc,RandomForest
0.8571428571428571,acc,RandomForest
0.8,acc,RandomForest
0.6666666666666666,acc,RandomForest
0.7692307692307693,acc,RandomForest
0.6428571428571429,acc,RandomForest
0.6818181818181818,roc,RandomForest
0.8333333333333333,roc,RandomForest
0.6666666666666666,roc,RandomForest
0.6785714285714286,roc,RandomForest
0.4242424242424243,roc,RandomForest
0.875,roc,RandomForest
0.888888888888889,roc,RandomForest
0.7678571428571428,roc,RandomForest
0.725,roc,RandomForest
0.6444444444444445,roc,RandomForest
0.4444444444444444,fms,RandomForest
0.7999999999999999,fms,RandomForest
0.5333333333333333,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.5882352941176471,fms,RandomForest
0.8571428571428571,fms,RandomForest
0.7692307692307692,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.7692307692307693,fms,RandomForest
0.6153846153846154,fms,RandomForest
0.6666666666666666,precision,RandomForest
0.7272727272727273,precision,RandomForest
0.4444444444444444,precision,RandomForest
0.6,precision,RandomForest
0.8333333333333334,precision,RandomForest
1.0,precision,RandomForest
0.7142857142857143,precision,RandomForest
0.625,precision,RandomForest
0.625,precision,RandomForest
0.5,precision,RandomForest
0.3333333333333333,recall,RandomForest
0.8888888888888888,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.5,recall,RandomForest
0.45454545454545453,recall,RandomForest
0.75,recall,RandomForest
0.8333333333333334,recall,RandomForest
0.7142857142857143,recall,RandomForest
1.0,recall,RandomForest
0.8,recall,RandomForest
0.9090909090909091,specificity,RandomForest
0.5,specificity,RandomForest
0.5,specificity,RandomForest
0.7142857142857143,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
1.0,specificity,RandomForest
0.7777777777777778,specificity,RandomForest
0.625,specificity,RandomForest
0.625,specificity,RandomForest
0.5555555555555556,specificity,RandomForest
0.7647058823529411,acc,GausNaiveBayes
0.4,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.6153846153846154,acc,GausNaiveBayes
0.6428571428571429,acc,GausNaiveBayes
0.6428571428571429,acc,GausNaiveBayes
0.6,acc,GausNaiveBayes
0.5333333333333333,acc,GausNaiveBayes
0.23076923076923078,acc,GausNaiveBayes
0.5714285714285714,acc,GausNaiveBayes
0.8333333333333333,roc,GausNaiveBayes
0.5185185185185185,roc,GausNaiveBayes
