1,metric,model
0.7647058823529411,acc,RandomForest
0.5882352941176471,acc,RandomForest
0.625,acc,RandomForest
0.6875,acc,RandomForest
0.625,acc,RandomForest
0.5625,acc,RandomForest
0.8125,acc,RandomForest
0.5625,acc,RandomForest
0.75,acc,RandomForest
0.75,acc,RandomForest
0.9166666666666667,roc,RandomForest
0.5902777777777778,roc,RandomForest
0.7333333333333333,roc,RandomForest
0.626984126984127,roc,RandomForest
0.6746031746031745,roc,RandomForest
0.39999999999999997,roc,RandomForest
0.8125,roc,RandomForest
0.7636363636363637,roc,RandomForest
0.8909090909090909,roc,RandomForest
0.8333333333333333,roc,RandomForest
0.75,fms,RandomForest
0.4615384615384615,fms,RandomForest
0.5714285714285715,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.7000000000000001,fms,RandomForest
0.3636363636363636,fms,RandomForest
0.8421052631578948,fms,RandomForest
0.4615384615384615,fms,RandomForest
0.8181818181818182,fms,RandomForest
0.75,fms,RandomForest
0.75,precision,RandomForest
0.6,precision,RandomForest
1.0,precision,RandomForest
0.625,precision,RandomForest
0.6363636363636364,precision,RandomForest
0.4,precision,RandomForest
0.7272727272727273,precision,RandomForest
0.375,precision,RandomForest
0.8181818181818182,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.75,recall,RandomForest
0.375,recall,RandomForest
0.4,recall,RandomForest
0.7142857142857143,recall,RandomForest
0.7777777777777778,recall,RandomForest
0.3333333333333333,recall,RandomForest
1.0,recall,RandomForest
0.6,recall,RandomForest
0.8181818181818182,recall,RandomForest
0.8571428571428571,recall,RandomForest
0.7777777777777778,specificity,RandomForest
0.7777777777777778,specificity,RandomForest
1.0,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.42857142857142855,specificity,RandomForest
0.7,specificity,RandomForest
0.625,specificity,RandomForest
0.5454545454545454,specificity,RandomForest
0.6,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.5294117647058824,acc,GausNaiveBayes
0.6470588235294118,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.375,acc,GausNaiveBayes
0.875,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.736111111111111,roc,GausNaiveBayes
0.6527777777777778,roc,GausNaiveBayes
0.8666666666666667,roc,GausNaiveBayes
0.4603174603174603,roc,GausNaiveBayes
0.6190476190476191,roc,GausNaiveBayes
0.48333333333333334,roc,GausNaiveBayes
0.796875,roc,GausNaiveBayes
0.9090909090909091,roc,GausNaiveBayes
0.8,roc,GausNaiveBayes
0.7777777777777779,roc,GausNaiveBayes
0.5555555555555556,fms,GausNaiveBayes
0.5714285714285715,fms,GausNaiveBayes
0.7058823529411764,fms,GausNaiveBayes
0.5555555555555556,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.37499999999999994,fms,GausNaiveBayes
0.888888888888889,fms,GausNaiveBayes
0.6666666666666665,fms,GausNaiveBayes
0.88,fms,GausNaiveBayes
0.75,fms,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.8571428571428571,precision,GausNaiveBayes
0.45454545454545453,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.3,precision,GausNaiveBayes
0.8,precision,GausNaiveBayes
0.75,precision,GausNaiveBayes
0.7857142857142857,precision,GausNaiveBayes
