1,metric,model
0.5882352941176471,acc,RandomForest
0.8235294117647058,acc,RandomForest
0.5625,acc,RandomForest
0.75,acc,RandomForest
0.75,acc,RandomForest
0.6875,acc,RandomForest
0.5625,acc,RandomForest
0.8125,acc,RandomForest
0.75,acc,RandomForest
0.6875,acc,RandomForest
0.7976190476190477,roc,RandomForest
0.9357142857142857,roc,RandomForest
0.46875,roc,RandomForest
0.8090909090909091,roc,RandomForest
0.8888888888888888,roc,RandomForest
0.7948717948717948,roc,RandomForest
0.5625,roc,RandomForest
0.9365079365079365,roc,RandomForest
0.7777777777777778,roc,RandomForest
0.761904761904762,roc,RandomForest
0.6956521739130435,fms,RandomForest
0.7999999999999999,fms,RandomForest
0.4615384615384615,fms,RandomForest
0.7142857142857143,fms,RandomForest
0.75,fms,RandomForest
0.4444444444444444,fms,RandomForest
0.4615384615384615,fms,RandomForest
0.8,fms,RandomForest
0.7777777777777778,fms,RandomForest
0.6666666666666667,fms,RandomForest
0.8888888888888888,precision,RandomForest
0.75,precision,RandomForest
0.6,precision,RandomForest
0.5555555555555556,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.3333333333333333,precision,RandomForest
0.6,precision,RandomForest
1.0,precision,RandomForest
0.7777777777777778,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.5714285714285714,recall,RandomForest
0.8571428571428571,recall,RandomForest
0.375,recall,RandomForest
1.0,recall,RandomForest
0.8571428571428571,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.375,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.7777777777777778,recall,RandomForest
0.5555555555555556,recall,RandomForest
0.6666666666666666,specificity,RandomForest
0.8,specificity,RandomForest
0.75,specificity,RandomForest
0.6363636363636364,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.6923076923076923,specificity,RandomForest
0.75,specificity,RandomForest
1.0,specificity,RandomForest
0.7142857142857143,specificity,RandomForest
0.8571428571428571,specificity,RandomForest
0.7058823529411765,acc,GausNaiveBayes
0.4117647058823529,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.375,acc,GausNaiveBayes
