1,metric,model
0.6363636363636364,acc,RandomForest
0.38461538461538464,acc,RandomForest
0.5454545454545454,acc,RandomForest
0.5,acc,RandomForest
0.6,acc,RandomForest
0.4166666666666667,acc,RandomForest
0.7333333333333333,acc,RandomForest
0.5,acc,RandomForest
0.9285714285714286,acc,RandomForest
0.7142857142857143,acc,RandomForest
0.625,roc,RandomForest
0.4875,roc,RandomForest
0.5333333333333333,roc,RandomForest
0.6666666666666666,roc,RandomForest
0.64,roc,RandomForest
0.6666666666666667,roc,RandomForest
0.7314814814814814,roc,RandomForest
0.375,roc,RandomForest
0.9777777777777777,roc,RandomForest
0.8125,roc,RandomForest
0.6,fms,RandomForest
0.0,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.4,fms,RandomForest
0.6,fms,RandomForest
0.46153846153846156,fms,RandomForest
0.75,fms,RandomForest
0.5882352941176471,fms,RandomForest
0.9090909090909091,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.5,precision,RandomForest
0.0,precision,RandomForest
0.6,precision,RandomForest
0.2857142857142857,precision,RandomForest
0.6,precision,RandomForest
0.75,precision,RandomForest
0.8571428571428571,precision,RandomForest
0.5555555555555556,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.75,recall,RandomForest
0.0,recall,RandomForest
0.5,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.6,recall,RandomForest
0.3333333333333333,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.625,recall,RandomForest
1.0,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.5714285714285714,specificity,RandomForest
0.625,specificity,RandomForest
0.6,specificity,RandomForest
0.4444444444444444,specificity,RandomForest
0.6,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.8333333333333334,specificity,RandomForest
0.3333333333333333,specificity,RandomForest
0.8888888888888888,specificity,RandomForest
0.75,specificity,RandomForest
0.625,acc,GausNaiveBayes
0.7142857142857143,acc,GausNaiveBayes
0.2727272727272727,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.7333333333333333,acc,GausNaiveBayes
0.8571428571428571,acc,GausNaiveBayes
0.6363636363636364,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.8333333333333334,acc,GausNaiveBayes
0.5384615384615384,acc,GausNaiveBayes
0.6349206349206349,roc,GausNaiveBayes
0.7551020408163265,roc,GausNaiveBayes
0.30000000000000004,roc,GausNaiveBayes
0.8,roc,GausNaiveBayes
0.6964285714285715,roc,GausNaiveBayes
0.9791666666666667,roc,GausNaiveBayes
0.7000000000000001,roc,GausNaiveBayes
0.9444444444444444,roc,GausNaiveBayes
0.8571428571428572,roc,GausNaiveBayes
0.45000000000000007,roc,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.75,fms,GausNaiveBayes
0.0,fms,GausNaiveBayes
0.5714285714285715,fms,GausNaiveBayes
0.7142857142857143,fms,GausNaiveBayes
0.875,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.8,fms,GausNaiveBayes
0.8000000000000002,fms,GausNaiveBayes
0.6666666666666665,fms,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.0,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.8333333333333334,precision,GausNaiveBayes
0.875,precision,GausNaiveBayes
0.6,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.8,precision,GausNaiveBayes
0.6,precision,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.8571428571428571,recall,GausNaiveBayes
0.0,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.625,recall,GausNaiveBayes
0.875,recall,GausNaiveBayes
0.6,recall,GausNaiveBayes
1.0,recall,GausNaiveBayes
0.8,recall,GausNaiveBayes
0.75,recall,GausNaiveBayes
0.5714285714285714,specificity,GausNaiveBayes
0.5714285714285714,specificity,GausNaiveBayes
0.3,specificity,GausNaiveBayes
0.6,specificity,GausNaiveBayes
0.8571428571428571,specificity,GausNaiveBayes
0.8333333333333334,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.5,specificity,GausNaiveBayes
0.8571428571428571,specificity,GausNaiveBayes
0.2,specificity,GausNaiveBayes
0.5,acc,LogReg
0.5,acc,LogReg
0.5384615384615384,acc,LogReg
0.7692307692307693,acc,LogReg
0.8,acc,LogReg
0.5384615384615384,acc,LogReg
0.75,acc,LogReg
0.6428571428571429,acc,LogReg
0.6666666666666666,acc,LogReg
0.7,acc,LogReg
0.5833333333333334,roc,LogReg
0.53125,roc,LogReg
0.5238095238095237,roc,LogReg
0.875,roc,LogReg
0.8,roc,LogReg
0.5952380952380952,roc,LogReg
0.9500000000000001,roc,LogReg
0.7916666666666666,roc,LogReg
0.8,roc,LogReg
0.75,roc,LogReg
0.4444444444444444,fms,LogReg
0.5,fms,LogReg
0.6250000000000001,fms,LogReg
0.7692307692307693,fms,LogReg
0.8000000000000002,fms,LogReg
0.5,fms,LogReg
0.7499999999999999,fms,LogReg
0.6153846153846153,fms,LogReg
0.6666666666666666,fms,LogReg
0.0,fms,LogReg
0.6666666666666666,precision,LogReg
0.375,precision,LogReg
0.5555555555555556,precision,LogReg
1.0,precision,LogReg
0.8,precision,LogReg
0.6,precision,LogReg
1.0,precision,LogReg
0.5714285714285714,precision,LogReg
0.5,precision,LogReg
0.0,precision,LogReg
0.3333333333333333,recall,LogReg
0.75,recall,LogReg
0.7142857142857143,recall,LogReg
0.625,recall,LogReg
0.8,recall,LogReg
0.42857142857142855,recall,LogReg
0.6,recall,LogReg
0.6666666666666666,recall,LogReg
1.0,recall,LogReg
0.0,recall,LogReg
0.75,specificity,LogReg
0.375,specificity,LogReg
0.3333333333333333,specificity,LogReg
1.0,specificity,LogReg
0.8,specificity,LogReg
0.6666666666666666,specificity,LogReg
1.0,specificity,LogReg
0.625,specificity,LogReg
