1,metric,model
0.7647058823529411,acc,RandomForest
0.7058823529411765,acc,RandomForest
0.75,acc,RandomForest
0.8125,acc,RandomForest
0.8125,acc,RandomForest
0.5625,acc,RandomForest
0.75,acc,RandomForest
0.75,acc,RandomForest
0.75,acc,RandomForest
0.6875,acc,RandomForest
0.7777777777777778,roc,RandomForest
0.8571428571428571,roc,RandomForest
0.8500000000000001,roc,RandomForest
0.8666666666666666,roc,RandomForest
0.796875,roc,RandomForest
0.6746031746031746,roc,RandomForest
0.85,roc,RandomForest
0.873015873015873,roc,RandomForest
0.8363636363636363,roc,RandomForest
0.753968253968254,roc,RandomForest
0.7142857142857143,fms,RandomForest
0.6153846153846153,fms,RandomForest
0.7499999999999999,fms,RandomForest
0.8,fms,RandomForest
0.7692307692307693,fms,RandomForest
0.5882352941176471,fms,RandomForest
0.8000000000000002,fms,RandomForest
0.7777777777777778,fms,RandomForest
0.6,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.8333333333333334,precision,RandomForest
0.6666666666666666,precision,RandomForest
1.0,precision,RandomForest
0.6666666666666666,precision,RandomForest
1.0,precision,RandomForest
0.625,precision,RandomForest
0.8,precision,RandomForest
0.7777777777777778,precision,RandomForest
0.6,precision,RandomForest
0.75,precision,RandomForest
0.625,recall,RandomForest
0.5714285714285714,recall,RandomForest
0.6,recall,RandomForest
1.0,recall,RandomForest
0.625,recall,RandomForest
0.5555555555555556,recall,RandomForest
0.8,recall,RandomForest
0.7777777777777778,recall,RandomForest
0.6,recall,RandomForest
0.42857142857142855,recall,RandomForest
0.8888888888888888,specificity,RandomForest
0.8,specificity,RandomForest
1.0,specificity,RandomForest
0.7,specificity,RandomForest
1.0,specificity,RandomForest
0.5714285714285714,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.7142857142857143,specificity,RandomForest
0.8181818181818182,specificity,RandomForest
0.8888888888888888,specificity,RandomForest
0.6470588235294118,acc,GausNaiveBayes
0.7058823529411765,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.875,acc,GausNaiveBayes
0.875,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
