1,metric,model
0.6470588235294118,acc,average
0.7647058823529411,acc,average
0.6875,acc,average
0.625,acc,average
0.75,acc,average
0.5,acc,average
0.625,acc,average
0.8125,acc,average
0.625,acc,average
0.75,acc,average
0.6805555555555556,roc,average
0.7777777777777778,roc,average
0.85,roc,average
0.5,roc,average
0.7,roc,average
0.5714285714285714,roc,average
0.875,roc,average
0.9206349206349206,roc,average
0.6507936507936508,roc,average
0.761904761904762,roc,average
0.6666666666666665,fms,average
0.7777777777777778,fms,average
0.7058823529411764,fms,average
0.6666666666666665,fms,average
0.8181818181818182,fms,average
0.3333333333333333,fms,average
0.5,fms,average
0.7999999999999999,fms,average
0.5,fms,average
0.75,fms,average
0.6,precision,average
0.7777777777777778,precision,average
0.8571428571428571,precision,average
0.6,precision,average
0.75,precision,average
0.4,precision,average
0.375,precision,average
0.75,precision,average
0.6,precision,average
0.8571428571428571,precision,average
0.75,recall,average
0.7777777777777778,recall,average
0.6,recall,average
0.75,recall,average
0.9,recall,average
0.2857142857142857,recall,average
0.75,recall,average
0.8571428571428571,recall,average
0.42857142857142855,recall,average
0.6666666666666666,recall,average
0.5555555555555556,specificity,average
0.75,specificity,average
0.8333333333333334,specificity,average
0.5,specificity,average
0.5,specificity,average
0.6666666666666666,specificity,average
0.5833333333333334,specificity,average
0.7777777777777778,specificity,average
0.7777777777777778,specificity,average
0.8571428571428571,specificity,average
