1,metric,model
0.7058823529411765,acc,average
0.8235294117647058,acc,average
0.8125,acc,average
0.5,acc,average
0.75,acc,average
0.625,acc,average
0.5625,acc,average
0.625,acc,average
0.75,acc,average
0.75,acc,average
0.7142857142857142,roc,average
0.9571428571428571,roc,average
0.859375,roc,average
0.45833333333333337,roc,average
0.7,roc,average
0.703125,roc,average
0.65,roc,average
0.65625,roc,average
0.9090909090909092,roc,average
0.7166666666666667,roc,average
0.7058823529411764,fms,average
0.8235294117647058,fms,average
0.7692307692307693,fms,average
0.0,fms,average
0.7142857142857143,fms,average
0.5714285714285715,fms,average
0.588235294117647,fms,average
0.5714285714285715,fms,average
0.8181818181818182,fms,average
0.8181818181818182,fms,average
0.6,precision,average
0.7,precision,average
1.0,precision,average
0.0,precision,average
0.625,precision,average
0.6666666666666666,precision,average
0.7142857142857143,precision,average
0.6666666666666666,precision,average
0.8181818181818182,precision,average
0.75,precision,average
0.8571428571428571,recall,average
1.0,recall,average
0.625,recall,average
0.0,recall,average
0.8333333333333334,recall,average
0.5,recall,average
0.5,recall,average
0.5,recall,average
0.8181818181818182,recall,average
0.9,recall,average
0.6,specificity,average
0.7,specificity,average
1.0,specificity,average
0.6666666666666666,specificity,average
0.7,specificity,average
0.75,specificity,average
0.6666666666666666,specificity,average
0.75,specificity,average
0.6,specificity,average
0.5,specificity,average
