1,metric,model
0.5294117647058824,acc,average
0.7058823529411765,acc,average
0.8,acc,average
0.42857142857142855,acc,average
0.5333333333333333,acc,average
0.6428571428571429,acc,average
0.45454545454545453,acc,average
0.8,acc,average
0.8461538461538461,acc,average
0.4666666666666667,acc,average
0.7,roc,average
0.6571428571428571,roc,average
0.6851851851851851,roc,average
0.45,roc,average
0.6607142857142857,roc,average
0.7291666666666667,roc,average
0.4642857142857143,roc,average
0.9464285714285714,roc,average
0.9,roc,average
0.375,roc,average
0.5,fms,average
0.6666666666666666,fms,average
0.8421052631578948,fms,average
0.2,fms,average
0.4615384615384615,fms,average
0.5454545454545454,fms,average
0.25,fms,average
0.7692307692307692,fms,average
0.8333333333333333,fms,average
0.5,fms,average
0.6666666666666666,precision,average
0.625,precision,average
0.8,precision,average
0.16666666666666666,precision,average
0.5,precision,average
1.0,precision,average
0.25,precision,average
0.8333333333333334,precision,average
0.7142857142857143,precision,average
0.5,precision,average
0.4,recall,average
0.7142857142857143,recall,average
0.8888888888888888,recall,average
0.25,recall,average
0.42857142857142855,recall,average
0.375,recall,average
0.25,recall,average
0.7142857142857143,recall,average
1.0,recall,average
0.5,recall,average
0.7142857142857143,specificity,average
0.7,specificity,average
0.6666666666666666,specificity,average
0.5,specificity,average
0.625,specificity,average
1.0,specificity,average
0.5714285714285714,specificity,average
0.875,specificity,average
0.75,specificity,average
0.42857142857142855,specificity,average
