1,metric,model
0.5,acc,ET_Basic
0.7333333333333333,acc,ET_Basic
0.8461538461538461,acc,ET_Basic
0.6153846153846154,acc,ET_Basic
0.7272727272727273,acc,ET_Basic
0.8333333333333334,acc,ET_Basic
0.7692307692307693,acc,ET_Basic
0.5454545454545454,acc,ET_Basic
0.5,acc,ET_Basic
0.35714285714285715,acc,ET_Basic
0.6857142857142857,roc,ET_Basic
0.6964285714285714,roc,ET_Basic
0.9750000000000001,roc,ET_Basic
0.7500000000000001,roc,ET_Basic
0.8214285714285714,roc,ET_Basic
0.9142857142857143,roc,ET_Basic
0.6388888888888888,roc,ET_Basic
0.4583333333333333,roc,ET_Basic
0.3888888888888889,roc,ET_Basic
0.26666666666666666,roc,ET_Basic
0.25,fms,ET_Basic
0.7777777777777777,fms,ET_Basic
0.875,fms,ET_Basic
0.5454545454545454,fms,ET_Basic
0.7999999999999999,fms,ET_Basic
0.8000000000000002,fms,ET_Basic
0.5714285714285715,fms,ET_Basic
0.4444444444444444,fms,ET_Basic
0.5,fms,ET_Basic
0.4,fms,ET_Basic
0.3333333333333333,precision,ET_Basic
0.7,precision,ET_Basic
0.875,precision,ET_Basic
0.5,precision,ET_Basic
0.75,precision,ET_Basic
0.8,precision,ET_Basic
0.6666666666666666,precision,ET_Basic
0.3333333333333333,precision,ET_Basic
0.5,precision,ET_Basic
0.5,precision,ET_Basic
0.2,recall,ET_Basic
0.875,recall,ET_Basic
0.875,recall,ET_Basic
0.6,recall,ET_Basic
0.8571428571428571,recall,ET_Basic
0.8,recall,ET_Basic
0.5,recall,ET_Basic
0.6666666666666666,recall,ET_Basic
0.5,recall,ET_Basic
0.3333333333333333,recall,ET_Basic
0.7142857142857143,specificity,ET_Basic
0.5714285714285714,specificity,ET_Basic
0.8,specificity,ET_Basic
0.625,specificity,ET_Basic
0.5,specificity,ET_Basic
0.8571428571428571,specificity,ET_Basic
0.8888888888888888,specificity,ET_Basic
0.5,specificity,ET_Basic
0.5,specificity,ET_Basic
0.4,specificity,ET_Basic
