1,metric,model
0.8235294117647058,acc,Reading
0.7647058823529411,acc,Reading
0.625,acc,Reading
0.625,acc,Reading
0.625,acc,Reading
0.75,acc,Reading
0.625,acc,Reading
0.6875,acc,Reading
0.875,acc,Reading
0.75,acc,Reading
0.8142857142857143,roc,Reading
0.7714285714285715,roc,Reading
0.578125,roc,Reading
0.625,roc,Reading
0.55,roc,Reading
0.78125,roc,Reading
0.6833333333333333,roc,Reading
0.796875,roc,Reading
0.9090909090909092,roc,Reading
0.8166666666666668,roc,Reading
0.7692307692307692,fms,Reading
0.7142857142857143,fms,Reading
0.5714285714285715,fms,Reading
0.4,fms,Reading
0.5714285714285715,fms,Reading
0.75,fms,Reading
0.6666666666666665,fms,Reading
0.6153846153846154,fms,Reading
0.9090909090909091,fms,Reading
0.7777777777777777,fms,Reading
0.8333333333333334,precision,Reading
0.7142857142857143,precision,Reading
0.6666666666666666,precision,Reading
0.3333333333333333,precision,Reading
0.5,precision,Reading
0.75,precision,Reading
0.75,precision,Reading
0.8,precision,Reading
0.9090909090909091,precision,Reading
0.875,precision,Reading
0.7142857142857143,recall,Reading
0.7142857142857143,recall,Reading
0.5,recall,Reading
0.5,recall,Reading
0.6666666666666666,recall,Reading
0.75,recall,Reading
0.6,recall,Reading
0.5,recall,Reading
0.9090909090909091,recall,Reading
0.7,recall,Reading
0.9,specificity,Reading
0.8,specificity,Reading
0.75,specificity,Reading
0.6666666666666666,specificity,Reading
0.6,specificity,Reading
0.75,specificity,Reading
0.6666666666666666,specificity,Reading
0.875,specificity,Reading
0.8,specificity,Reading
0.8333333333333334,specificity,Reading
