1,metric,model
0.5333333333333333,acc,Eye
0.6666666666666666,acc,Eye
0.3125,acc,Eye
0.6,acc,Eye
0.8,acc,Eye
0.4666666666666667,acc,Eye
0.7692307692307693,acc,Eye
0.6,acc,Eye
0.7692307692307693,acc,Eye
0.6428571428571429,acc,Eye
0.42592592592592593,roc,Eye
0.8392857142857142,roc,Eye
0.5079365079365079,roc,Eye
0.56,roc,Eye
0.7599999999999999,roc,Eye
0.6666666666666667,roc,Eye
0.6904761904761906,roc,Eye
0.7045454545454546,roc,Eye
0.8095238095238095,roc,Eye
0.8333333333333334,roc,Eye
0.4615384615384615,fms,Eye
0.5454545454545454,fms,Eye
0.15384615384615383,fms,Eye
0.4000000000000001,fms,Eye
0.8235294117647058,fms,Eye
0.42857142857142855,fms,Eye
0.7272727272727272,fms,Eye
0.5,fms,Eye
0.7692307692307692,fms,Eye
0.6153846153846154,fms,Eye
0.42857142857142855,precision,Eye
1.0,precision,Eye
0.16666666666666666,precision,Eye
0.4,precision,Eye
1.0,precision,Eye
0.6,precision,Eye
0.8,precision,Eye
0.375,precision,Eye
0.7142857142857143,precision,Eye
0.8,precision,Eye
0.5,recall,Eye
0.375,recall,Eye
0.14285714285714285,recall,Eye
0.4,recall,Eye
0.7,recall,Eye
0.3333333333333333,recall,Eye
0.6666666666666666,recall,Eye
0.75,recall,Eye
0.8333333333333334,recall,Eye
0.5,recall,Eye
0.5555555555555556,specificity,Eye
1.0,specificity,Eye
0.4444444444444444,specificity,Eye
0.7,specificity,Eye
1.0,specificity,Eye
0.6666666666666666,specificity,Eye
0.8571428571428571,specificity,Eye
0.5454545454545454,specificity,Eye
0.7142857142857143,specificity,Eye
0.8333333333333334,specificity,Eye
