1,metric,model
0.47058823529411764,acc,fusion
0.5882352941176471,acc,fusion
0.5625,acc,fusion
0.6875,acc,fusion
0.875,acc,fusion
0.8125,acc,fusion
0.4375,acc,fusion
0.75,acc,fusion
0.875,acc,fusion
0.4375,acc,fusion
0.5909090909090909,roc,fusion
0.6805555555555556,roc,fusion
0.5666666666666667,roc,fusion
0.7936507936507937,roc,fusion
0.921875,roc,fusion
0.921875,roc,fusion
0.5873015873015872,roc,fusion
0.7777777777777778,roc,fusion
0.9666666666666668,roc,fusion
0.41269841269841273,roc,fusion
0.4,fms,fusion
0.5882352941176471,fms,fusion
0.3636363636363636,fms,fusion
0.7058823529411765,fms,fusion
0.888888888888889,fms,fusion
0.7999999999999999,fms,fusion
0.4,fms,fusion
0.75,fms,fusion
0.9,fms,fusion
0.30769230769230765,fms,fusion
0.3333333333333333,precision,fusion
0.625,precision,fusion
0.4,precision,fusion
0.75,precision,fusion
0.8,precision,fusion
0.8571428571428571,precision,fusion
0.5,precision,fusion
0.6666666666666666,precision,fusion
0.9,precision,fusion
0.3333333333333333,precision,fusion
0.5,recall,fusion
0.5555555555555556,recall,fusion
0.3333333333333333,recall,fusion
0.6666666666666666,recall,fusion
1.0,recall,fusion
0.75,recall,fusion
0.3333333333333333,recall,fusion
0.8571428571428571,recall,fusion
0.9,recall,fusion
0.2857142857142857,recall,fusion
0.45454545454545453,specificity,fusion
0.625,specificity,fusion
0.7,specificity,fusion
0.7142857142857143,specificity,fusion
0.75,specificity,fusion
0.875,specificity,fusion
0.5714285714285714,specificity,fusion
0.6666666666666666,specificity,fusion
0.8333333333333334,specificity,fusion
0.5555555555555556,specificity,fusion
