1,metric,model
0.6470588235294118,acc,RandomForest
0.6666666666666666,acc,RandomForest
0.7333333333333333,acc,RandomForest
0.7857142857142857,acc,RandomForest
0.6428571428571429,acc,RandomForest
0.8,acc,RandomForest
0.8,acc,RandomForest
0.6923076923076923,acc,RandomForest
0.6666666666666666,acc,RandomForest
0.5714285714285714,acc,RandomForest
0.6742424242424243,roc,RandomForest
0.75,roc,RandomForest
0.6851851851851852,roc,RandomForest
0.8541666666666667,roc,RandomForest
0.7575757575757577,roc,RandomForest
0.9910714285714285,roc,RandomForest
0.851851851851852,roc,RandomForest
0.7857142857142857,roc,RandomForest
0.75,roc,RandomForest
0.4222222222222222,roc,RandomForest
0.5714285714285715,fms,RandomForest
0.7368421052631577,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.8,fms,RandomForest
0.7368421052631579,fms,RandomForest
0.7692307692307693,fms,RandomForest
0.7692307692307692,fms,RandomForest
0.6,fms,RandomForest
0.3333333333333333,fms,RandomForest
0.25,fms,RandomForest
0.5,precision,RandomForest
0.7777777777777778,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.875,precision,RandomForest
1.0,precision,RandomForest
0.7142857142857143,precision,RandomForest
0.75,precision,RandomForest
0.5,precision,RandomForest
0.3333333333333333,precision,RandomForest
0.6666666666666666,recall,RandomForest
0.7,recall,RandomForest
0.6666666666666666,recall,RandomForest
1.0,recall,RandomForest
0.6363636363636364,recall,RandomForest
0.625,recall,RandomForest
0.8333333333333334,recall,RandomForest
0.5,recall,RandomForest
0.25,recall,RandomForest
0.2,recall,RandomForest
0.6363636363636364,specificity,RandomForest
0.6,specificity,RandomForest
0.7777777777777778,specificity,RandomForest
0.625,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
1.0,specificity,RandomForest
0.7777777777777778,specificity,RandomForest
0.8571428571428571,specificity,RandomForest
0.875,specificity,RandomForest
0.7777777777777778,specificity,RandomForest
0.5294117647058824,acc,GausNaiveBayes
0.6,acc,GausNaiveBayes
0.7333333333333333,acc,GausNaiveBayes
0.7142857142857143,acc,GausNaiveBayes
0.42857142857142855,acc,GausNaiveBayes
0.8,acc,GausNaiveBayes
0.7333333333333333,acc,GausNaiveBayes
0.6923076923076923,acc,GausNaiveBayes
0.6666666666666666,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.6818181818181818,roc,GausNaiveBayes
0.74,roc,GausNaiveBayes
0.7962962962962964,roc,GausNaiveBayes
0.7916666666666667,roc,GausNaiveBayes
0.3939393939393939,roc,GausNaiveBayes
0.7857142857142857,roc,GausNaiveBayes
0.8703703703703703,roc,GausNaiveBayes
0.5476190476190477,roc,GausNaiveBayes
0.5625,roc,GausNaiveBayes
0.6000000000000001,roc,GausNaiveBayes
0.0,fms,GausNaiveBayes
0.6666666666666665,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.7142857142857143,fms,GausNaiveBayes
0.5555555555555556,fms,GausNaiveBayes
0.7692307692307693,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.0,fms,GausNaiveBayes
0.22222222222222224,fms,GausNaiveBayes
0.0,precision,GausNaiveBayes
0.75,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.625,precision,GausNaiveBayes
0.7142857142857143,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.75,precision,GausNaiveBayes
0.75,precision,GausNaiveBayes
0.0,precision,GausNaiveBayes
0.25,precision,GausNaiveBayes
0.0,recall,GausNaiveBayes
0.6,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.8333333333333334,recall,GausNaiveBayes
0.45454545454545453,recall,GausNaiveBayes
0.625,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.0,recall,GausNaiveBayes
0.2,recall,GausNaiveBayes
0.8181818181818182,specificity,GausNaiveBayes
0.6,specificity,GausNaiveBayes
0.7777777777777778,specificity,GausNaiveBayes
0.625,specificity,GausNaiveBayes
0.3333333333333333,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.8888888888888888,specificity,GausNaiveBayes
0.8571428571428571,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.5882352941176471,acc,LogReg
0.6666666666666666,acc,LogReg
0.7333333333333333,acc,LogReg
0.6428571428571429,acc,LogReg
0.5714285714285714,acc,LogReg
0.7333333333333333,acc,LogReg
0.9333333333333333,acc,LogReg
0.6153846153846154,acc,LogReg
0.6666666666666666,acc,LogReg
0.5,acc,LogReg
0.5757575757575757,roc,LogReg
0.8200000000000001,roc,LogReg
0.888888888888889,roc,LogReg
0.7291666666666666,roc,LogReg
0.6666666666666666,roc,LogReg
0.8035714285714285,roc,LogReg
0.9074074074074074,roc,LogReg
0.5238095238095238,roc,LogReg
0.5625,roc,LogReg
0.5333333333333333,roc,LogReg
0.3636363636363636,fms,LogReg
0.7368421052631577,fms,LogReg
0.7142857142857143,fms,LogReg
0.6666666666666667,fms,LogReg
0.6666666666666665,fms,LogReg
0.75,fms,LogReg
0.9090909090909091,fms,LogReg
0.4444444444444444,fms,LogReg
0.3333333333333333,fms,LogReg
0.22222222222222224,fms,LogReg
0.4,precision,LogReg
0.7777777777777778,precision,LogReg
0.625,precision,LogReg
0.5555555555555556,precision,LogReg
0.8571428571428571,precision,LogReg
0.75,precision,LogReg
1.0,precision,LogReg
0.6666666666666666,precision,LogReg
0.5,precision,LogReg
0.25,precision,LogReg
0.3333333333333333,recall,LogReg
0.7,recall,LogReg
0.8333333333333334,recall,LogReg
0.8333333333333334,recall,LogReg
0.5454545454545454,recall,LogReg
0.75,recall,LogReg
0.8333333333333334,recall,LogReg
0.3333333333333333,recall,LogReg
0.25,recall,LogReg
0.2,recall,LogReg
0.7272727272727273,specificity,LogReg
0.6,specificity,LogReg
0.6666666666666666,specificity,LogReg
0.5,specificity,LogReg
0.6666666666666666,specificity,LogReg
0.7142857142857143,specificity,LogReg
1.0,specificity,LogReg
0.8571428571428571,specificity,LogReg
0.875,specificity,LogReg
0.6666666666666666,specificity,LogReg
