1,metric,model,method
0.5882352941176471,acc,RandomForest,stack
0.6470588235294118,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.875,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.5625,acc,RandomForest,stack
0.5625,acc,RandomForest,stack
0.537878787878788,roc,RandomForest,stack
0.5763888888888888,roc,RandomForest,stack
0.7916666666666667,roc,RandomForest,stack
0.7272727272727273,roc,RandomForest,stack
0.6875,roc,RandomForest,stack
0.9083333333333333,roc,RandomForest,stack
0.7698412698412698,roc,RandomForest,stack
0.8492063492063492,roc,RandomForest,stack
0.5476190476190477,roc,RandomForest,stack
0.609375,roc,RandomForest,stack
0.3636363636363636,fms,RandomForest,stack
0.5714285714285714,fms,RandomForest,stack
0.7499999999999999,fms,RandomForest,stack
0.5714285714285714,fms,RandomForest,stack
0.75,fms,RandomForest,stack
0.9,fms,RandomForest,stack
0.7777777777777778,fms,RandomForest,stack
0.75,fms,RandomForest,stack
0.5333333333333333,fms,RandomForest,stack
0.5882352941176471,fms,RandomForest,stack
0.4,precision,RandomForest,stack
0.8,precision,RandomForest,stack
1.0,precision,RandomForest,stack
0.4444444444444444,precision,RandomForest,stack
0.75,precision,RandomForest,stack
0.9,precision,RandomForest,stack
0.7777777777777778,precision,RandomForest,stack
0.6666666666666666,precision,RandomForest,stack
0.5,precision,RandomForest,stack
0.5555555555555556,precision,RandomForest,stack
0.3333333333333333,recall,RandomForest,stack
0.4444444444444444,recall,RandomForest,stack
0.6,recall,RandomForest,stack
0.8,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.9,recall,RandomForest,stack
0.7777777777777778,recall,RandomForest,stack
0.8571428571428571,recall,RandomForest,stack
0.5714285714285714,recall,RandomForest,stack
0.625,recall,RandomForest,stack
0.7272727272727273,specificity,RandomForest,stack
0.875,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
0.5454545454545454,specificity,RandomForest,stack
0.75,specificity,RandomForest,stack
0.8333333333333334,specificity,RandomForest,stack
0.7142857142857143,specificity,RandomForest,stack
0.6666666666666666,specificity,RandomForest,stack
0.5555555555555556,specificity,RandomForest,stack
0.5,specificity,RandomForest,stack
0.6470588235294118,acc,GausNaiveBayes,stack
0.5882352941176471,acc,GausNaiveBayes,stack
0.5,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.875,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.5,acc,GausNaiveBayes,stack
0.5625,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.875,acc,GausNaiveBayes,stack
0.7638888888888888,roc,GausNaiveBayes,stack
0.6363636363636362,roc,GausNaiveBayes,stack
0.6484375,roc,GausNaiveBayes,stack
0.6666666666666666,roc,GausNaiveBayes,stack
0.8492063492063493,roc,GausNaiveBayes,stack
0.8363636363636363,roc,GausNaiveBayes,stack
0.7666666666666666,roc,GausNaiveBayes,stack
0.6428571428571428,roc,GausNaiveBayes,stack
0.7454545454545455,roc,GausNaiveBayes,stack
0.9523809523809523,roc,GausNaiveBayes,stack
0.6666666666666665,fms,GausNaiveBayes,stack
0.631578947368421,fms,GausNaiveBayes,stack
0.42857142857142855,fms,GausNaiveBayes,stack
0.28571428571428575,fms,GausNaiveBayes,stack
0.8571428571428571,fms,GausNaiveBayes,stack
0.5454545454545454,fms,GausNaiveBayes,stack
0.4285714285714285,fms,GausNaiveBayes,stack
0.5333333333333333,fms,GausNaiveBayes,stack
0.7000000000000001,fms,GausNaiveBayes,stack
0.8750000000000001,fms,GausNaiveBayes,stack
0.6,precision,GausNaiveBayes,stack
0.75,precision,GausNaiveBayes,stack
0.5,precision,GausNaiveBayes,stack
0.25,precision,GausNaiveBayes,stack
0.8571428571428571,precision,GausNaiveBayes,stack
0.5,precision,GausNaiveBayes,stack
0.75,precision,GausNaiveBayes,stack
0.5,precision,GausNaiveBayes,stack
0.7777777777777778,precision,GausNaiveBayes,stack
1.0,precision,GausNaiveBayes,stack
0.75,recall,GausNaiveBayes,stack
0.5454545454545454,recall,GausNaiveBayes,stack
0.375,recall,GausNaiveBayes,stack
0.3333333333333333,recall,GausNaiveBayes,stack
0.8571428571428571,recall,GausNaiveBayes,stack
0.6,recall,GausNaiveBayes,stack
0.3,recall,GausNaiveBayes,stack
0.5714285714285714,recall,GausNaiveBayes,stack
0.6363636363636364,recall,GausNaiveBayes,stack
0.7777777777777778,recall,GausNaiveBayes,stack
0.5555555555555556,specificity,GausNaiveBayes,stack
0.6666666666666666,specificity,GausNaiveBayes,stack
0.625,specificity,GausNaiveBayes,stack
0.7692307692307693,specificity,GausNaiveBayes,stack
0.8888888888888888,specificity,GausNaiveBayes,stack
0.7272727272727273,specificity,GausNaiveBayes,stack
0.8333333333333334,specificity,GausNaiveBayes,stack
0.5555555555555556,specificity,GausNaiveBayes,stack
0.6,specificity,GausNaiveBayes,stack
1.0,specificity,GausNaiveBayes,stack
0.9411764705882353,acc,LogReg,stack
0.7058823529411765,acc,LogReg,stack
0.625,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.5,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.625,acc,LogReg,stack
0.75,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.625,acc,LogReg,stack
0.9652777777777778,roc,LogReg,stack
0.8472222222222221,roc,LogReg,stack
0.625,roc,LogReg,stack
0.6666666666666666,roc,LogReg,stack
0.8392857142857143,roc,LogReg,stack
0.761904761904762,roc,LogReg,stack
0.6825396825396826,roc,LogReg,stack
0.8015873015873016,roc,LogReg,stack
0.7777777777777779,roc,LogReg,stack
0.78125,roc,LogReg,stack
0.9411764705882353,fms,LogReg,stack
0.7058823529411765,fms,LogReg,stack
0.7000000000000001,fms,LogReg,stack
0.7058823529411765,fms,LogReg,stack
0.33333333333333337,fms,LogReg,stack
0.5454545454545454,fms,LogReg,stack
0.5,fms,LogReg,stack
0.7777777777777778,fms,LogReg,stack
0.6153846153846153,fms,LogReg,stack
0.5,fms,LogReg,stack
1.0,precision,LogReg,stack
0.75,precision,LogReg,stack
0.875,precision,LogReg,stack
0.75,precision,LogReg,stack
0.2,precision,LogReg,stack
0.75,precision,LogReg,stack
0.6,precision,LogReg,stack
0.7777777777777778,precision,LogReg,stack
0.6666666666666666,precision,LogReg,stack
0.75,precision,LogReg,stack
0.8888888888888888,recall,LogReg,stack
0.6666666666666666,recall,LogReg,stack
0.5833333333333334,recall,LogReg,stack
0.6666666666666666,recall,LogReg,stack
1.0,recall,LogReg,stack
0.42857142857142855,recall,LogReg,stack
0.42857142857142855,recall,LogReg,stack
0.7777777777777778,recall,LogReg,stack
0.5714285714285714,recall,LogReg,stack
0.375,recall,LogReg,stack
1.0,specificity,LogReg,stack
0.75,specificity,LogReg,stack
0.75,specificity,LogReg,stack
0.7142857142857143,specificity,LogReg,stack
0.42857142857142855,specificity,LogReg,stack
0.8888888888888888,specificity,LogReg,stack
0.7777777777777778,specificity,LogReg,stack
0.7142857142857143,specificity,LogReg,stack
0.7777777777777778,specificity,LogReg,stack
0.875,specificity,LogReg,stack
