1,metric,model,method
0.5882352941176471,acc,RandomForest,stack
0.6470588235294118,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.5625,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.7,roc,RandomForest,stack
0.7714285714285714,roc,RandomForest,stack
0.7833333333333333,roc,RandomForest,stack
0.6499999999999999,roc,RandomForest,stack
0.890625,roc,RandomForest,stack
0.8809523809523809,roc,RandomForest,stack
0.626984126984127,roc,RandomForest,stack
0.765625,roc,RandomForest,stack
0.875,roc,RandomForest,stack
0.5703125,roc,RandomForest,stack
0.588235294117647,fms,RandomForest,stack
0.5714285714285714,fms,RandomForest,stack
0.8571428571428572,fms,RandomForest,stack
0.5,fms,RandomForest,stack
0.75,fms,RandomForest,stack
0.75,fms,RandomForest,stack
0.5714285714285714,fms,RandomForest,stack
0.4615384615384615,fms,RandomForest,stack
0.7142857142857143,fms,RandomForest,stack
0.5714285714285715,fms,RandomForest,stack
0.7142857142857143,precision,RandomForest,stack
0.5714285714285714,precision,RandomForest,stack
0.8181818181818182,precision,RandomForest,stack
0.5,precision,RandomForest,stack
0.75,precision,RandomForest,stack
0.8571428571428571,precision,RandomForest,stack
0.5714285714285714,precision,RandomForest,stack
0.6,precision,RandomForest,stack
0.625,precision,RandomForest,stack
0.6666666666666666,precision,RandomForest,stack
0.5,recall,RandomForest,stack
0.5714285714285714,recall,RandomForest,stack
0.9,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.6666666666666666,recall,RandomForest,stack
0.5714285714285714,recall,RandomForest,stack
0.375,recall,RandomForest,stack
0.8333333333333334,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.7142857142857143,specificity,RandomForest,stack
0.7,specificity,RandomForest,stack
0.6666666666666666,specificity,RandomForest,stack
0.7,specificity,RandomForest,stack
0.75,specificity,RandomForest,stack
0.8571428571428571,specificity,RandomForest,stack
0.6666666666666666,specificity,RandomForest,stack
0.75,specificity,RandomForest,stack
0.7,specificity,RandomForest,stack
0.75,specificity,RandomForest,stack
0.7647058823529411,acc,GausNaiveBayes,stack
0.6470588235294118,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.8125,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.5625,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.7714285714285715,roc,GausNaiveBayes,stack
0.8142857142857143,roc,GausNaiveBayes,stack
0.9333333333333333,roc,GausNaiveBayes,stack
0.75,roc,GausNaiveBayes,stack
0.9375,roc,GausNaiveBayes,stack
0.8571428571428572,roc,GausNaiveBayes,stack
0.6507936507936508,roc,GausNaiveBayes,stack
0.7265625,roc,GausNaiveBayes,stack
0.7166666666666667,roc,GausNaiveBayes,stack
0.609375,roc,GausNaiveBayes,stack
0.7499999999999999,fms,GausNaiveBayes,stack
0.5714285714285714,fms,GausNaiveBayes,stack
0.7777777777777777,fms,GausNaiveBayes,stack
0.6,fms,GausNaiveBayes,stack
0.7692307692307693,fms,GausNaiveBayes,stack
0.75,fms,GausNaiveBayes,stack
0.6250000000000001,fms,GausNaiveBayes,stack
0.5714285714285715,fms,GausNaiveBayes,stack
0.4615384615384615,fms,GausNaiveBayes,stack
0.5714285714285715,fms,GausNaiveBayes,stack
1.0,precision,GausNaiveBayes,stack
0.5714285714285714,precision,GausNaiveBayes,stack
0.875,precision,GausNaiveBayes,stack
0.75,precision,GausNaiveBayes,stack
1.0,precision,GausNaiveBayes,stack
0.8571428571428571,precision,GausNaiveBayes,stack
0.5555555555555556,precision,GausNaiveBayes,stack
0.6666666666666666,precision,GausNaiveBayes,stack
0.42857142857142855,precision,GausNaiveBayes,stack
0.6666666666666666,precision,GausNaiveBayes,stack
0.6,recall,GausNaiveBayes,stack
0.5714285714285714,recall,GausNaiveBayes,stack
0.7,recall,GausNaiveBayes,stack
0.5,recall,GausNaiveBayes,stack
0.625,recall,GausNaiveBayes,stack
0.6666666666666666,recall,GausNaiveBayes,stack
0.7142857142857143,recall,GausNaiveBayes,stack
0.5,recall,GausNaiveBayes,stack
0.5,recall,GausNaiveBayes,stack
0.5,recall,GausNaiveBayes,stack
1.0,specificity,GausNaiveBayes,stack
0.7,specificity,GausNaiveBayes,stack
0.8333333333333334,specificity,GausNaiveBayes,stack
0.9,specificity,GausNaiveBayes,stack
1.0,specificity,GausNaiveBayes,stack
0.8571428571428571,specificity,GausNaiveBayes,stack
0.5555555555555556,specificity,GausNaiveBayes,stack
0.75,specificity,GausNaiveBayes,stack
0.6,specificity,GausNaiveBayes,stack
0.75,specificity,GausNaiveBayes,stack
0.5882352941176471,acc,LogReg,stack
0.6470588235294118,acc,LogReg,stack
0.75,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.8125,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.75,acc,LogReg,stack
0.5625,acc,LogReg,stack
0.6571428571428571,roc,LogReg,stack
0.7714285714285715,roc,LogReg,stack
0.75,roc,LogReg,stack
0.7333333333333333,roc,LogReg,stack
0.8125,roc,LogReg,stack
0.7777777777777778,roc,LogReg,stack
0.6031746031746033,roc,LogReg,stack
0.8125,roc,LogReg,stack
0.8833333333333333,roc,LogReg,stack
0.6875,roc,LogReg,stack
0.588235294117647,fms,LogReg,stack
0.6250000000000001,fms,LogReg,stack
0.7777777777777777,fms,LogReg,stack
0.6153846153846153,fms,LogReg,stack
0.7692307692307693,fms,LogReg,stack
0.7058823529411765,fms,LogReg,stack
0.6666666666666666,fms,LogReg,stack
0.6666666666666666,fms,LogReg,stack
0.7142857142857143,fms,LogReg,stack
0.5882352941176471,fms,LogReg,stack
0.7142857142857143,precision,LogReg,stack
0.5555555555555556,precision,LogReg,stack
0.875,precision,LogReg,stack
0.5714285714285714,precision,LogReg,stack
1.0,precision,LogReg,stack
0.75,precision,LogReg,stack
0.625,precision,LogReg,stack
0.7142857142857143,precision,LogReg,stack
0.625,precision,LogReg,stack
0.5555555555555556,precision,LogReg,stack
0.5,recall,LogReg,stack
0.7142857142857143,recall,LogReg,stack
0.7,recall,LogReg,stack
0.6666666666666666,recall,LogReg,stack
0.625,recall,LogReg,stack
0.6666666666666666,recall,LogReg,stack
0.7142857142857143,recall,LogReg,stack
0.625,recall,LogReg,stack
0.8333333333333334,recall,LogReg,stack
0.625,recall,LogReg,stack
0.7142857142857143,specificity,LogReg,stack
0.6,specificity,LogReg,stack
0.8333333333333334,specificity,LogReg,stack
0.7,specificity,LogReg,stack
1.0,specificity,LogReg,stack
0.7142857142857143,specificity,LogReg,stack
0.6666666666666666,specificity,LogReg,stack
0.75,specificity,LogReg,stack
0.7,specificity,LogReg,stack
0.5,specificity,LogReg,stack
