1,metric,model,method
0.6470588235294118,acc,RandomForest,stack
0.5882352941176471,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.875,acc,RandomForest,stack
0.4375,acc,RandomForest,stack
0.5625,acc,RandomForest,stack
0.5625,acc,RandomForest,stack
0.5625,acc,RandomForest,stack
0.4375,acc,RandomForest,stack
0.7348484848484849,roc,RandomForest,stack
0.65,roc,RandomForest,stack
0.7734375,roc,RandomForest,stack
0.7857142857142858,roc,RandomForest,stack
0.9375,roc,RandomForest,stack
0.5634920634920635,roc,RandomForest,stack
0.625,roc,RandomForest,stack
0.746031746031746,roc,RandomForest,stack
0.6666666666666666,roc,RandomForest,stack
0.5916666666666668,roc,RandomForest,stack
0.5714285714285715,fms,RandomForest,stack
0.5333333333333333,fms,RandomForest,stack
0.5454545454545454,fms,RandomForest,stack
0.6666666666666666,fms,RandomForest,stack
0.9090909090909091,fms,RandomForest,stack
0.47058823529411764,fms,RandomForest,stack
0.631578947368421,fms,RandomForest,stack
0.5333333333333333,fms,RandomForest,stack
0.5333333333333333,fms,RandomForest,stack
0.4,fms,RandomForest,stack
0.5,precision,RandomForest,stack
0.4,precision,RandomForest,stack
1.0,precision,RandomForest,stack
0.8,precision,RandomForest,stack
1.0,precision,RandomForest,stack
0.5,precision,RandomForest,stack
0.5454545454545454,precision,RandomForest,stack
0.5,precision,RandomForest,stack
0.5,precision,RandomForest,stack
0.6,precision,RandomForest,stack
0.6666666666666666,recall,RandomForest,stack
0.8,recall,RandomForest,stack
0.375,recall,RandomForest,stack
0.5714285714285714,recall,RandomForest,stack
0.8333333333333334,recall,RandomForest,stack
0.4444444444444444,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.5714285714285714,recall,RandomForest,stack
0.5714285714285714,recall,RandomForest,stack
0.3,recall,RandomForest,stack
0.6363636363636364,specificity,RandomForest,stack
0.5,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
0.8888888888888888,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
0.42857142857142855,specificity,RandomForest,stack
0.375,specificity,RandomForest,stack
0.5555555555555556,specificity,RandomForest,stack
0.5555555555555556,specificity,RandomForest,stack
0.6666666666666666,specificity,RandomForest,stack
0.7647058823529411,acc,GausNaiveBayes,stack
0.7058823529411765,acc,GausNaiveBayes,stack
0.5,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.5625,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.4375,acc,GausNaiveBayes,stack
0.4375,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.8106060606060607,roc,GausNaiveBayes,stack
0.7878787878787878,roc,GausNaiveBayes,stack
0.5873015873015873,roc,GausNaiveBayes,stack
0.6818181818181818,roc,GausNaiveBayes,stack
0.84375,roc,GausNaiveBayes,stack
0.6454545454545455,roc,GausNaiveBayes,stack
0.6746031746031746,roc,GausNaiveBayes,stack
0.46875,roc,GausNaiveBayes,stack
0.421875,roc,GausNaiveBayes,stack
0.6636363636363636,roc,GausNaiveBayes,stack
0.7999999999999999,fms,GausNaiveBayes,stack
0.7368421052631579,fms,GausNaiveBayes,stack
0.5555555555555556,fms,GausNaiveBayes,stack
0.5714285714285714,fms,GausNaiveBayes,stack
0.8,fms,GausNaiveBayes,stack
0.5333333333333333,fms,GausNaiveBayes,stack
0.7368421052631577,fms,GausNaiveBayes,stack
0.39999999999999997,fms,GausNaiveBayes,stack
0.5263157894736842,fms,GausNaiveBayes,stack
0.5,fms,GausNaiveBayes,stack
0.8888888888888888,precision,GausNaiveBayes,stack
0.875,precision,GausNaiveBayes,stack
0.5555555555555556,precision,GausNaiveBayes,stack
0.4444444444444444,precision,GausNaiveBayes,stack
0.6666666666666666,precision,GausNaiveBayes,stack
0.4,precision,GausNaiveBayes,stack
0.7,precision,GausNaiveBayes,stack
0.42857142857142855,precision,GausNaiveBayes,stack
0.45454545454545453,precision,GausNaiveBayes,stack
0.42857142857142855,precision,GausNaiveBayes,stack
0.7272727272727273,recall,GausNaiveBayes,stack
0.6363636363636364,recall,GausNaiveBayes,stack
0.5555555555555556,recall,GausNaiveBayes,stack
0.8,recall,GausNaiveBayes,stack
1.0,recall,GausNaiveBayes,stack
0.8,recall,GausNaiveBayes,stack
0.7777777777777778,recall,GausNaiveBayes,stack
0.375,recall,GausNaiveBayes,stack
0.625,recall,GausNaiveBayes,stack
0.6,recall,GausNaiveBayes,stack
0.8333333333333334,specificity,GausNaiveBayes,stack
0.8333333333333334,specificity,GausNaiveBayes,stack
0.42857142857142855,specificity,GausNaiveBayes,stack
0.5454545454545454,specificity,GausNaiveBayes,stack
0.5,specificity,GausNaiveBayes,stack
0.45454545454545453,specificity,GausNaiveBayes,stack
0.5714285714285714,specificity,GausNaiveBayes,stack
0.5,specificity,GausNaiveBayes,stack
0.25,specificity,GausNaiveBayes,stack
0.6363636363636364,specificity,GausNaiveBayes,stack
0.5882352941176471,acc,LogReg,stack
0.7647058823529411,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.75,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.625,acc,LogReg,stack
0.5694444444444444,roc,LogReg,stack
0.7638888888888888,roc,LogReg,stack
0.7416666666666667,roc,LogReg,stack
0.6746031746031746,roc,LogReg,stack
0.7265625,roc,LogReg,stack
0.7727272727272728,roc,LogReg,stack
0.7421875,roc,LogReg,stack
0.753968253968254,roc,LogReg,stack
0.8583333333333333,roc,LogReg,stack
0.7833333333333333,roc,LogReg,stack
0.4615384615384615,fms,LogReg,stack
0.7777777777777777,fms,LogReg,stack
0.6153846153846153,fms,LogReg,stack
0.6666666666666666,fms,LogReg,stack
0.7368421052631579,fms,LogReg,stack
0.7826086956521738,fms,LogReg,stack
0.6666666666666666,fms,LogReg,stack
0.6153846153846153,fms,LogReg,stack
0.6666666666666666,fms,LogReg,stack
0.5714285714285715,fms,LogReg,stack
0.6,precision,LogReg,stack
0.7,precision,LogReg,stack
0.5714285714285714,precision,LogReg,stack
0.8,precision,LogReg,stack
0.6363636363636364,precision,LogReg,stack
0.75,precision,LogReg,stack
0.7142857142857143,precision,LogReg,stack
0.6666666666666666,precision,LogReg,stack
1.0,precision,LogReg,stack
0.5,precision,LogReg,stack
0.375,recall,LogReg,stack
0.875,recall,LogReg,stack
0.6666666666666666,recall,LogReg,stack
0.5714285714285714,recall,LogReg,stack
0.875,recall,LogReg,stack
0.8181818181818182,recall,LogReg,stack
0.625,recall,LogReg,stack
0.5714285714285714,recall,LogReg,stack
0.5,recall,LogReg,stack
0.6666666666666666,recall,LogReg,stack
0.7777777777777778,specificity,LogReg,stack
0.6666666666666666,specificity,LogReg,stack
0.7,specificity,LogReg,stack
