1,metric,model
0.7058823529411765,acc,Audio
0.6470588235294118,acc,Audio
0.5625,acc,Audio
0.8125,acc,Audio
0.625,acc,Audio
0.625,acc,Audio
0.625,acc,Audio
0.5,acc,Audio
0.375,acc,Audio
0.5,acc,Audio
0.6333333333333333,roc,Audio
0.55,roc,Audio
0.5952380952380952,roc,Audio
0.8333333333333334,roc,Audio
0.675,roc,Audio
0.65625,roc,Audio
0.6825396825396826,roc,Audio
0.546875,roc,Audio
0.575,roc,Audio
0.5079365079365079,roc,Audio
0.5454545454545454,fms,Audio
0.625,fms,Audio
0.5333333333333333,fms,Audio
0.7272727272727273,fms,Audio
0.625,fms,Audio
0.625,fms,Audio
0.5714285714285714,fms,Audio
0.42857142857142855,fms,Audio
0.37499999999999994,fms,Audio
0.5,fms,Audio
0.5,precision,Audio
0.8333333333333334,precision,Audio
0.5,precision,Audio
1.0,precision,Audio
0.8333333333333334,precision,Audio
0.625,precision,Audio
0.8,precision,Audio
0.5,precision,Audio
0.3,precision,Audio
0.5714285714285714,precision,Audio
0.6,recall,Audio
0.5,recall,Audio
0.5714285714285714,recall,Audio
0.5714285714285714,recall,Audio
0.5,recall,Audio
0.625,recall,Audio
0.4444444444444444,recall,Audio
0.375,recall,Audio
0.5,recall,Audio
0.4444444444444444,recall,Audio
0.75,specificity,Audio
0.8571428571428571,specificity,Audio
0.5555555555555556,specificity,Audio
1.0,specificity,Audio
0.8333333333333334,specificity,Audio
0.625,specificity,Audio
0.8571428571428571,specificity,Audio
0.625,specificity,Audio
0.3,specificity,Audio
0.5714285714285714,specificity,Audio
