1,metric,model
0.6470588235294118,acc,CookieTheft
0.5882352941176471,acc,CookieTheft
0.625,acc,CookieTheft
0.4375,acc,CookieTheft
0.6875,acc,CookieTheft
0.6875,acc,CookieTheft
0.6875,acc,CookieTheft
0.5,acc,CookieTheft
0.5625,acc,CookieTheft
0.8125,acc,CookieTheft
0.7152777777777778,roc,CookieTheft
0.6944444444444444,roc,CookieTheft
0.6190476190476191,roc,CookieTheft
0.5634920634920635,roc,CookieTheft
0.8416666666666667,roc,CookieTheft
0.7421875,roc,CookieTheft
0.8359375,roc,CookieTheft
0.6545454545454545,roc,CookieTheft
0.6545454545454545,roc,CookieTheft
0.8412698412698414,roc,CookieTheft
0.5714285714285715,fms,CookieTheft
0.5333333333333333,fms,CookieTheft
0.6250000000000001,fms,CookieTheft
0.39999999999999997,fms,CookieTheft
0.7058823529411764,fms,CookieTheft
0.7368421052631579,fms,CookieTheft
0.6666666666666666,fms,CookieTheft
0.5000000000000001,fms,CookieTheft
0.4615384615384615,fms,CookieTheft
0.7999999999999999,fms,CookieTheft
0.6666666666666666,precision,CookieTheft
0.5714285714285714,precision,CookieTheft
0.5555555555555556,precision,CookieTheft
0.375,precision,CookieTheft
0.8571428571428571,precision,CookieTheft
0.6363636363636364,precision,CookieTheft
0.7142857142857143,precision,CookieTheft
0.8,precision,CookieTheft
0.375,precision,CookieTheft
0.75,precision,CookieTheft
0.5,recall,CookieTheft
0.5,recall,CookieTheft
0.7142857142857143,recall,CookieTheft
0.42857142857142855,recall,CookieTheft
0.6,recall,CookieTheft
0.875,recall,CookieTheft
0.625,recall,CookieTheft
0.36363636363636365,recall,CookieTheft
0.6,recall,CookieTheft
0.8571428571428571,recall,CookieTheft
0.7777777777777778,specificity,CookieTheft
0.6666666666666666,specificity,CookieTheft
0.5555555555555556,specificity,CookieTheft
0.4444444444444444,specificity,CookieTheft
0.8333333333333334,specificity,CookieTheft
0.5,specificity,CookieTheft
0.75,specificity,CookieTheft
0.8,specificity,CookieTheft
0.5454545454545454,specificity,CookieTheft
0.7777777777777778,specificity,CookieTheft
