1,metric,model
0.7647058823529411,acc,Memory
0.6470588235294118,acc,Memory
0.8125,acc,Memory
0.6875,acc,Memory
0.625,acc,Memory
0.4375,acc,Memory
0.75,acc,Memory
0.75,acc,Memory
0.6875,acc,Memory
0.625,acc,Memory
0.8055555555555556,roc,Memory
0.34615384615384615,roc,Memory
0.8333333333333333,roc,Memory
0.5952380952380952,roc,Memory
0.6500000000000001,roc,Memory
0.5634920634920635,roc,Memory
0.7421875,roc,Memory
0.7166666666666666,roc,Memory
0.78125,roc,Memory
0.6904761904761905,roc,Memory
0.7142857142857143,fms,Memory
0.0,fms,Memory
0.8,fms,Memory
0.6666666666666666,fms,Memory
0.6666666666666665,fms,Memory
0.30769230769230765,fms,Memory
0.7142857142857143,fms,Memory
0.6,fms,Memory
0.6153846153846154,fms,Memory
0.5714285714285714,fms,Memory
1.0,precision,Memory
0.0,precision,Memory
1.0,precision,Memory
0.625,precision,Memory
0.75,precision,Memory
0.5,precision,Memory
0.8333333333333334,precision,Memory
0.75,precision,Memory
0.8,precision,Memory
0.8,precision,Memory
0.5555555555555556,recall,Memory
0.0,recall,Memory
0.6666666666666666,recall,Memory
0.7142857142857143,recall,Memory
0.6,recall,Memory
0.2222222222222222,recall,Memory
0.625,recall,Memory
0.5,recall,Memory
0.5,recall,Memory
0.4444444444444444,recall,Memory
1.0,specificity,Memory
0.8461538461538461,specificity,Memory
1.0,specificity,Memory
0.6666666666666666,specificity,Memory
0.6666666666666666,specificity,Memory
0.7142857142857143,specificity,Memory
0.875,specificity,Memory
0.9,specificity,Memory
0.875,specificity,Memory
0.8571428571428571,specificity,Memory
