1,metric,model
0.7647058823529411,acc,Reading
0.7647058823529411,acc,Reading
0.75,acc,Reading
0.875,acc,Reading
0.625,acc,Reading
0.8125,acc,Reading
0.6875,acc,Reading
0.75,acc,Reading
0.6875,acc,Reading
0.8125,acc,Reading
0.8785714285714286,roc,Reading
0.7857142857142858,roc,Reading
0.7380952380952381,roc,Reading
0.8833333333333334,roc,Reading
0.6587301587301587,roc,Reading
0.8272727272727273,roc,Reading
0.6746031746031745,roc,Reading
0.8015873015873016,roc,Reading
0.6796875,roc,Reading
0.78125,roc,Reading
0.7777777777777777,fms,Reading
0.8000000000000002,fms,Reading
0.6666666666666666,fms,Reading
0.8333333333333334,fms,Reading
0.5,fms,Reading
0.6666666666666665,fms,Reading
0.7058823529411765,fms,Reading
0.7142857142857143,fms,Reading
0.6666666666666666,fms,Reading
0.7999999999999999,fms,Reading
0.875,precision,Reading
0.8,precision,Reading
0.8,precision,Reading
0.8333333333333334,precision,Reading
0.6,precision,Reading
0.75,precision,Reading
0.75,precision,Reading
1.0,precision,Reading
0.7142857142857143,precision,Reading
0.8571428571428571,precision,Reading
0.7,recall,Reading
0.8,recall,Reading
0.5714285714285714,recall,Reading
0.8333333333333334,recall,Reading
0.42857142857142855,recall,Reading
0.6,recall,Reading
0.6666666666666666,recall,Reading
0.5555555555555556,recall,Reading
0.625,recall,Reading
0.75,recall,Reading
0.8571428571428571,specificity,Reading
0.7142857142857143,specificity,Reading
0.8888888888888888,specificity,Reading
0.9,specificity,Reading
0.7777777777777778,specificity,Reading
0.9090909090909091,specificity,Reading
0.7142857142857143,specificity,Reading
1.0,specificity,Reading
0.75,specificity,Reading
0.875,specificity,Reading
