1,metric,model
0.5,acc,stack
0.42857142857142855,acc,stack
0.8,acc,stack
0.4666666666666667,acc,stack
0.5333333333333333,acc,stack
0.75,acc,stack
0.6666666666666666,acc,stack
0.6666666666666666,acc,stack
0.5625,acc,stack
0.6923076923076923,acc,stack
0.5,roc,stack
0.5555555555555556,roc,stack
0.9166666666666667,roc,stack
0.5,roc,stack
0.5925925925925926,roc,stack
0.9305555555555556,roc,stack
0.49074074074074076,roc,stack
0.7589285714285714,roc,stack
0.7222222222222222,roc,stack
0.375,roc,stack
0.6,fms,stack
0.5,fms,stack
0.7272727272727272,fms,stack
0.5,fms,stack
0.5333333333333333,fms,stack
0.6666666666666666,fms,stack
0.5454545454545454,fms,stack
0.6666666666666666,fms,stack
0.5333333333333333,fms,stack
0.0,fms,stack
0.6666666666666666,precision,stack
0.5714285714285714,precision,stack
0.8,precision,stack
0.6666666666666666,precision,stack
0.4444444444444444,precision,stack
1.0,precision,stack
0.6,precision,stack
0.625,precision,stack
0.5,precision,stack
0.0,precision,stack
0.5454545454545454,recall,stack
0.4444444444444444,recall,stack
0.6666666666666666,recall,stack
0.4,recall,stack
0.6666666666666666,recall,stack
0.5,recall,stack
0.5,recall,stack
0.7142857142857143,recall,stack
0.5714285714285714,recall,stack
0.0,recall,stack
0.4,specificity,stack
0.4,specificity,stack
0.8888888888888888,specificity,stack
0.6,specificity,stack
0.4444444444444444,specificity,stack
1.0,specificity,stack
0.7777777777777778,specificity,stack
0.625,specificity,stack
0.5555555555555556,specificity,stack
0.75,specificity,stack
