1,metric,model
0.7058823529411765,acc,stack
0.7058823529411765,acc,stack
0.6875,acc,stack
0.6875,acc,stack
0.6875,acc,stack
0.75,acc,stack
0.75,acc,stack
0.75,acc,stack
0.8125,acc,stack
0.8125,acc,stack
0.7013888888888888,roc,stack
0.7285714285714286,roc,stack
0.7063492063492064,roc,stack
0.6746031746031746,roc,stack
0.6500000000000001,roc,stack
0.7301587301587301,roc,stack
0.746031746031746,roc,stack
0.7666666666666667,roc,stack
0.8015873015873016,roc,stack
0.8125,roc,stack
0.6666666666666666,fms,stack
0.7058823529411764,fms,stack
0.6666666666666667,fms,stack
0.6153846153846153,fms,stack
0.5454545454545454,fms,stack
0.6666666666666666,fms,stack
0.7142857142857143,fms,stack
0.7777777777777777,fms,stack
0.7692307692307692,fms,stack
0.7999999999999999,fms,stack
0.7142857142857143,precision,stack
0.8571428571428571,precision,stack
0.8333333333333334,precision,stack
0.6666666666666666,precision,stack
0.6,precision,stack
0.8,precision,stack
0.7142857142857143,precision,stack
0.875,precision,stack
0.8333333333333334,precision,stack
0.8571428571428571,precision,stack
0.625,recall,stack
0.6,recall,stack
0.5555555555555556,recall,stack
0.5714285714285714,recall,stack
0.5,recall,stack
0.5714285714285714,recall,stack
0.7142857142857143,recall,stack
0.7,recall,stack
0.7142857142857143,recall,stack
0.75,recall,stack
0.7777777777777778,specificity,stack
0.8571428571428571,specificity,stack
0.8571428571428571,specificity,stack
0.7777777777777778,specificity,stack
0.8,specificity,stack
0.8888888888888888,specificity,stack
0.7777777777777778,specificity,stack
0.8333333333333334,specificity,stack
0.8888888888888888,specificity,stack
0.875,specificity,stack
