1,metric,model
0.6470588235294118,acc,stack
0.7058823529411765,acc,stack
0.6875,acc,stack
0.6875,acc,stack
0.5,acc,stack
0.75,acc,stack
0.5625,acc,stack
0.625,acc,stack
0.625,acc,stack
0.625,acc,stack
0.6458333333333333,roc,stack
0.659090909090909,roc,stack
0.6875,roc,stack
0.6904761904761906,roc,stack
0.5666666666666668,roc,stack
0.75,roc,stack
0.5793650793650794,roc,stack
0.6727272727272727,roc,stack
0.625,roc,stack
0.6349206349206349,roc,stack
0.6666666666666666,fms,stack
0.5454545454545454,fms,stack
0.7058823529411765,fms,stack
0.6666666666666666,fms,stack
0.4285714285714285,fms,stack
0.7142857142857143,fms,stack
0.5333333333333333,fms,stack
0.5714285714285714,fms,stack
0.6666666666666665,fms,stack
0.6250000000000001,fms,stack
0.6666666666666666,precision,stack
0.6,precision,stack
0.6666666666666666,precision,stack
0.625,precision,stack
0.75,precision,stack
0.8333333333333334,precision,stack
0.6666666666666666,precision,stack
0.4444444444444444,precision,stack
0.6,precision,stack
0.7142857142857143,precision,stack
0.6666666666666666,recall,stack
0.5,recall,stack
0.75,recall,stack
0.7142857142857143,recall,stack
0.3,recall,stack
0.625,recall,stack
0.4444444444444444,recall,stack
0.8,recall,stack
0.75,recall,stack
0.5555555555555556,recall,stack
0.625,specificity,stack
0.8181818181818182,specificity,stack
0.625,specificity,stack
0.6666666666666666,specificity,stack
0.8333333333333334,specificity,stack
0.875,specificity,stack
0.7142857142857143,specificity,stack
0.5454545454545454,specificity,stack
0.5,specificity,stack
0.7142857142857143,specificity,stack
