1,metric,model
0.7333333333333333,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.7692307692307693,acc,PupilCalib
0.8461538461538461,acc,PupilCalib
0.7272727272727273,acc,PupilCalib
0.4166666666666667,acc,PupilCalib
0.6923076923076923,acc,PupilCalib
0.7272727272727273,acc,PupilCalib
0.5,acc,PupilCalib
0.45454545454545453,acc,PupilCalib
0.6875,roc,PupilCalib
0.7375,roc,PupilCalib
0.8214285714285715,roc,PupilCalib
0.8452380952380952,roc,PupilCalib
0.5833333333333333,roc,PupilCalib
0.3888888888888889,roc,PupilCalib
0.7,roc,PupilCalib
0.7166666666666667,roc,PupilCalib
0.4791666666666667,roc,PupilCalib
0.375,roc,PupilCalib
0.75,fms,PupilCalib
0.4444444444444445,fms,PupilCalib
0.7692307692307692,fms,PupilCalib
0.8571428571428571,fms,PupilCalib
0.823529411764706,fms,PupilCalib
0.5333333333333333,fms,PupilCalib
0.5,fms,PupilCalib
0.7692307692307692,fms,PupilCalib
0.5882352941176471,fms,PupilCalib
0.25,fms,PupilCalib
0.6666666666666666,precision,PupilCalib
0.5,precision,PupilCalib
0.7142857142857143,precision,PupilCalib
0.75,precision,PupilCalib
0.875,precision,PupilCalib
0.4444444444444444,precision,PupilCalib
0.4,precision,PupilCalib
0.7142857142857143,precision,PupilCalib
0.5555555555555556,precision,PupilCalib
0.25,precision,PupilCalib
0.8571428571428571,recall,PupilCalib
0.4,recall,PupilCalib
0.8333333333333334,recall,PupilCalib
1.0,recall,PupilCalib
0.7777777777777778,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.8333333333333334,recall,PupilCalib
0.625,recall,PupilCalib
0.25,recall,PupilCalib
0.625,specificity,PupilCalib
0.75,specificity,PupilCalib
0.7142857142857143,specificity,PupilCalib
0.7142857142857143,specificity,PupilCalib
0.5,specificity,PupilCalib
0.16666666666666666,specificity,PupilCalib
0.7,specificity,PupilCalib
0.6,specificity,PupilCalib
0.3333333333333333,specificity,PupilCalib
0.5714285714285714,specificity,PupilCalib
