1,metric,model
0.5882352941176471,acc,NLP_Reading
0.7058823529411765,acc,NLP_Reading
0.8125,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.625,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.8125,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.8125,acc,NLP_Reading
0.8125,acc,NLP_Reading
0.5285714285714286,roc,NLP_Reading
0.7222222222222223,roc,NLP_Reading
0.7500000000000001,roc,NLP_Reading
0.7727272727272727,roc,NLP_Reading
0.6984126984126984,roc,NLP_Reading
0.7222222222222222,roc,NLP_Reading
0.8363636363636364,roc,NLP_Reading
0.7936507936507936,roc,NLP_Reading
0.8214285714285714,roc,NLP_Reading
0.7936507936507937,roc,NLP_Reading
0.5333333333333333,fms,NLP_Reading
0.7058823529411765,fms,NLP_Reading
0.7272727272727272,fms,NLP_Reading
0.761904761904762,fms,NLP_Reading
0.6666666666666666,fms,NLP_Reading
0.7368421052631577,fms,NLP_Reading
0.8571428571428572,fms,NLP_Reading
0.6666666666666667,fms,NLP_Reading
0.5714285714285715,fms,NLP_Reading
0.7692307692307692,fms,NLP_Reading
0.5,precision,NLP_Reading
0.6666666666666666,precision,NLP_Reading
0.8,precision,NLP_Reading
0.8,precision,NLP_Reading
0.6666666666666666,precision,NLP_Reading
0.7,precision,NLP_Reading
0.9,precision,NLP_Reading
0.8333333333333334,precision,NLP_Reading
0.4,precision,NLP_Reading
0.8333333333333334,precision,NLP_Reading
0.5714285714285714,recall,NLP_Reading
0.75,recall,NLP_Reading
0.6666666666666666,recall,NLP_Reading
0.7272727272727273,recall,NLP_Reading
0.6666666666666666,recall,NLP_Reading
0.7777777777777778,recall,NLP_Reading
0.8181818181818182,recall,NLP_Reading
0.5555555555555556,recall,NLP_Reading
1.0,recall,NLP_Reading
0.7142857142857143,recall,NLP_Reading
0.6,specificity,NLP_Reading
0.6666666666666666,specificity,NLP_Reading
0.9,specificity,NLP_Reading
0.6,specificity,NLP_Reading
0.5714285714285714,specificity,NLP_Reading
0.5714285714285714,specificity,NLP_Reading
0.8,specificity,NLP_Reading
0.8571428571428571,specificity,NLP_Reading
0.7857142857142857,specificity,NLP_Reading
0.8888888888888888,specificity,NLP_Reading
