1,metric,model
0.6428571428571429,acc,RandomForest
0.7857142857142857,acc,RandomForest
0.8,acc,RandomForest
0.6428571428571429,acc,RandomForest
0.35714285714285715,acc,RandomForest
0.6363636363636364,acc,RandomForest
0.5,acc,RandomForest
0.45454545454545453,acc,RandomForest
0.7692307692307693,acc,RandomForest
0.46153846153846156,acc,RandomForest
0.475,roc,RandomForest
0.8999999999999999,roc,RandomForest
0.8333333333333333,roc,RandomForest
0.653061224489796,roc,RandomForest
0.696969696969697,roc,RandomForest
0.6785714285714286,roc,RandomForest
0.59375,roc,RandomForest
0.4666666666666667,roc,RandomForest
0.8875,roc,RandomForest
0.5833333333333333,roc,RandomForest
0.28571428571428575,fms,RandomForest
0.8,fms,RandomForest
0.75,fms,RandomForest
0.7058823529411764,fms,RandomForest
0.39999999999999997,fms,RandomForest
0.6,fms,RandomForest
0.4,fms,RandomForest
0.4000000000000001,fms,RandomForest
0.7692307692307693,fms,RandomForest
0.46153846153846156,fms,RandomForest
0.3333333333333333,precision,RandomForest
1.0,precision,RandomForest
0.75,precision,RandomForest
0.6,precision,RandomForest
0.75,precision,RandomForest
1.0,precision,RandomForest
0.3333333333333333,precision,RandomForest
0.4,precision,RandomForest
0.625,precision,RandomForest
0.3333333333333333,precision,RandomForest
0.25,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.75,recall,RandomForest
0.8571428571428571,recall,RandomForest
0.2727272727272727,recall,RandomForest
0.42857142857142855,recall,RandomForest
0.5,recall,RandomForest
0.4,recall,RandomForest
1.0,recall,RandomForest
0.75,recall,RandomForest
0.8,specificity,RandomForest
1.0,specificity,RandomForest
0.8333333333333334,specificity,RandomForest
0.42857142857142855,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
1.0,specificity,RandomForest
0.5,specificity,RandomForest
0.5,specificity,RandomForest
0.625,specificity,RandomForest
0.3333333333333333,specificity,RandomForest
0.42857142857142855,acc,GausNaiveBayes
0.7142857142857143,acc,GausNaiveBayes
0.8,acc,GausNaiveBayes
0.6428571428571429,acc,GausNaiveBayes
0.7857142857142857,acc,GausNaiveBayes
0.7272727272727273,acc,GausNaiveBayes
0.6666666666666666,acc,GausNaiveBayes
0.6363636363636364,acc,GausNaiveBayes
0.6923076923076923,acc,GausNaiveBayes
0.3076923076923077,acc,GausNaiveBayes
0.39999999999999997,roc,GausNaiveBayes
0.9333333333333333,roc,GausNaiveBayes
0.875,roc,GausNaiveBayes
0.6734693877551021,roc,GausNaiveBayes
0.8181818181818181,roc,GausNaiveBayes
0.7142857142857142,roc,GausNaiveBayes
0.65625,roc,GausNaiveBayes
0.5333333333333333,roc,GausNaiveBayes
0.975,roc,GausNaiveBayes
0.4722222222222222,roc,GausNaiveBayes
0.3333333333333333,fms,GausNaiveBayes
0.7142857142857143,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.7368421052631579,fms,GausNaiveBayes
0.8571428571428572,fms,GausNaiveBayes
0.7692307692307692,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.7142857142857143,fms,GausNaiveBayes
0.30769230769230765,fms,GausNaiveBayes
0.25,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.5833333333333334,precision,GausNaiveBayes
0.9,precision,GausNaiveBayes
0.8333333333333334,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.6,precision,GausNaiveBayes
0.5555555555555556,precision,GausNaiveBayes
0.2222222222222222,precision,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.5555555555555556,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
1.0,recall,GausNaiveBayes
0.8181818181818182,recall,GausNaiveBayes
0.7142857142857143,recall,GausNaiveBayes
0.75,recall,GausNaiveBayes
0.6,recall,GausNaiveBayes
1.0,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.4,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.2857142857142857,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.75,specificity,GausNaiveBayes
0.625,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.5,specificity,GausNaiveBayes
0.2222222222222222,specificity,GausNaiveBayes
0.5714285714285714,acc,LogReg
0.7142857142857143,acc,LogReg
0.7,acc,LogReg
0.7857142857142857,acc,LogReg
0.7857142857142857,acc,LogReg
0.6363636363636364,acc,LogReg
0.6666666666666666,acc,LogReg
0.5454545454545454,acc,LogReg
0.8461538461538461,acc,LogReg
0.38461538461538464,acc,LogReg
0.4,roc,LogReg
0.9111111111111111,roc,LogReg
0.75,roc,LogReg
0.693877551020408,roc,LogReg
0.8181818181818181,roc,LogReg
0.6071428571428571,roc,LogReg
0.71875,roc,LogReg
0.5666666666666667,roc,LogReg
0.925,roc,LogReg
0.6111111111111112,roc,LogReg
0.25,fms,LogReg
0.7142857142857143,fms,LogReg
0.4,fms,LogReg
0.8235294117647058,fms,LogReg
0.8571428571428572,fms,LogReg
0.6,fms,LogReg
0.6,fms,LogReg
0.4444444444444445,fms,LogReg
0.8333333333333333,fms,LogReg
0.4285714285714285,fms,LogReg
0.25,precision,LogReg
1.0,precision,LogReg
1.0,precision,LogReg
0.7,precision,LogReg
0.9,precision,LogReg
1.0,precision,LogReg
0.5,precision,LogReg
0.5,precision,LogReg
0.7142857142857143,precision,LogReg
0.3,precision,LogReg
0.25,recall,LogReg
0.5555555555555556,recall,LogReg
0.25,recall,LogReg
1.0,recall,LogReg
0.8181818181818182,recall,LogReg
0.42857142857142855,recall,LogReg
0.75,recall,LogReg
0.4,recall,LogReg
1.0,recall,LogReg
0.75,recall,LogReg
0.7,specificity,LogReg
1.0,specificity,LogReg
1.0,specificity,LogReg
0.5714285714285714,specificity,LogReg
0.6666666666666666,specificity,LogReg
1.0,specificity,LogReg
0.625,specificity,LogReg
0.6666666666666666,specificity,LogReg
0.75,specificity,LogReg
0.2222222222222222,specificity,LogReg
