1,metric,model,method
0.8235294117647058,acc,RandomForest,average
0.6470588235294118,acc,RandomForest,average
0.75,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.5625,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.75,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.9027777777777778,roc,RandomForest,average
0.8999999999999999,roc,RandomForest,average
0.8333333333333333,roc,RandomForest,average
0.890625,roc,RandomForest,average
0.625,roc,RandomForest,average
0.5,roc,RandomForest,average
0.828125,roc,RandomForest,average
0.8125,roc,RandomForest,average
0.8545454545454545,roc,RandomForest,average
0.9636363636363636,roc,RandomForest,average
0.823529411764706,fms,RandomForest,average
0.625,fms,RandomForest,average
0.5,fms,RandomForest,average
0.823529411764706,fms,RandomForest,average
0.5714285714285715,fms,RandomForest,average
0.631578947368421,fms,RandomForest,average
0.7058823529411765,fms,RandomForest,average
0.823529411764706,fms,RandomForest,average
0.7999999999999999,fms,RandomForest,average
0.7272727272727272,fms,RandomForest,average
0.875,precision,RandomForest,average
0.8333333333333334,precision,RandomForest,average
1.0,precision,RandomForest,average
0.7777777777777778,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.7777777777777778,precision,RandomForest,average
0.8888888888888888,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.7777777777777778,recall,RandomForest,average
0.5,recall,RandomForest,average
0.3333333333333333,recall,RandomForest,average
0.875,recall,RandomForest,average
0.5,recall,RandomForest,average
0.6,recall,RandomForest,average
0.75,recall,RandomForest,average
0.875,recall,RandomForest,average
0.7272727272727273,recall,RandomForest,average
0.8,recall,RandomForest,average
0.875,specificity,RandomForest,average
0.8571428571428571,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.75,specificity,RandomForest,average
0.9166666666666666,specificity,RandomForest,average
0.5,specificity,RandomForest,average
0.625,specificity,RandomForest,average
0.75,specificity,RandomForest,average
0.8,specificity,RandomForest,average
0.8181818181818182,specificity,RandomForest,average
0.6470588235294118,acc,GausNaiveBayes,average
0.7647058823529411,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.625,acc,GausNaiveBayes,average
0.5625,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.875,acc,GausNaiveBayes,average
0.7272727272727273,roc,GausNaiveBayes,average
0.875,roc,GausNaiveBayes,average
0.888888888888889,roc,GausNaiveBayes,average
0.859375,roc,GausNaiveBayes,average
0.890625,roc,GausNaiveBayes,average
0.890625,roc,GausNaiveBayes,average
0.6984126984126984,roc,GausNaiveBayes,average
0.7142857142857143,roc,GausNaiveBayes,average
0.7619047619047619,roc,GausNaiveBayes,average
0.6666666666666666,roc,GausNaiveBayes,average
0.7000000000000001,fms,GausNaiveBayes,average
0.7999999999999999,fms,GausNaiveBayes,average
0.6666666666666666,fms,GausNaiveBayes,average
0.7999999999999999,fms,GausNaiveBayes,average
0.7999999999999999,fms,GausNaiveBayes,average
0.7999999999999999,fms,GausNaiveBayes,average
0.6666666666666666,fms,GausNaiveBayes,average
0.5333333333333333,fms,GausNaiveBayes,average
0.7142857142857143,fms,GausNaiveBayes,average
0.6666666666666666,fms,GausNaiveBayes,average
0.7777777777777778,precision,GausNaiveBayes,average
0.7272727272727273,precision,GausNaiveBayes,average
0.8,precision,GausNaiveBayes,average
0.8571428571428571,precision,GausNaiveBayes,average
0.8571428571428571,precision,GausNaiveBayes,average
0.8571428571428571,precision,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
0.7142857142857143,precision,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
0.6363636363636364,recall,GausNaiveBayes,average
0.8888888888888888,recall,GausNaiveBayes,average
0.5714285714285714,recall,GausNaiveBayes,average
0.75,recall,GausNaiveBayes,average
0.75,recall,GausNaiveBayes,average
0.75,recall,GausNaiveBayes,average
0.6666666666666666,recall,GausNaiveBayes,average
0.4444444444444444,recall,GausNaiveBayes,average
0.7142857142857143,recall,GausNaiveBayes,average
0.6666666666666666,recall,GausNaiveBayes,average
0.6666666666666666,specificity,GausNaiveBayes,average
0.625,specificity,GausNaiveBayes,average
0.8888888888888888,specificity,GausNaiveBayes,average
0.875,specificity,GausNaiveBayes,average
0.875,specificity,GausNaiveBayes,average
0.875,specificity,GausNaiveBayes,average
0.5714285714285714,specificity,GausNaiveBayes,average
0.7142857142857143,specificity,GausNaiveBayes,average
0.7777777777777778,specificity,GausNaiveBayes,average
0.9230769230769231,specificity,GausNaiveBayes,average
0.8235294117647058,acc,LogReg,average
0.7647058823529411,acc,LogReg,average
0.8125,acc,LogReg,average
0.6875,acc,LogReg,average
0.75,acc,LogReg,average
0.875,acc,LogReg,average
0.6875,acc,LogReg,average
0.625,acc,LogReg,average
0.875,acc,LogReg,average
0.75,acc,LogReg,average
0.9142857142857144,roc,LogReg,average
0.8055555555555556,roc,LogReg,average
0.890625,roc,LogReg,average
0.7090909090909091,roc,LogReg,average
0.78125,roc,LogReg,average
0.85,roc,LogReg,average
0.703125,roc,LogReg,average
0.6727272727272726,roc,LogReg,average
0.9666666666666667,roc,LogReg,average
0.78125,roc,LogReg,average
0.8421052631578948,fms,LogReg,average
0.7777777777777778,fms,LogReg,average
0.7692307692307693,fms,LogReg,average
0.761904761904762,fms,LogReg,average
0.75,fms,LogReg,average
0.8,fms,LogReg,average
0.6153846153846154,fms,LogReg,average
0.5,fms,LogReg,average
0.8333333333333334,fms,LogReg,average
0.75,fms,LogReg,average
0.8888888888888888,precision,LogReg,average
0.7777777777777778,precision,LogReg,average
1.0,precision,LogReg,average
0.8,precision,LogReg,average
0.75,precision,LogReg,average
1.0,precision,LogReg,average
0.8,precision,LogReg,average
0.42857142857142855,precision,LogReg,average
0.8333333333333334,precision,LogReg,average
0.75,precision,LogReg,average
0.8,recall,LogReg,average
0.7777777777777778,recall,LogReg,average
0.625,recall,LogReg,average
0.7272727272727273,recall,LogReg,average
0.75,recall,LogReg,average
0.6666666666666666,recall,LogReg,average
0.5,recall,LogReg,average
0.6,recall,LogReg,average
0.8333333333333334,recall,LogReg,average
0.75,recall,LogReg,average
0.8571428571428571,specificity,LogReg,average
0.75,specificity,LogReg,average
1.0,specificity,LogReg,average
0.6,specificity,LogReg,average
0.75,specificity,LogReg,average
1.0,specificity,LogReg,average
0.875,specificity,LogReg,average
0.6363636363636364,specificity,LogReg,average
0.9,specificity,LogReg,average
0.75,specificity,LogReg,average
