1,metric,model,method
0.9,acc,RandomForest,average
0.5384615384615384,acc,RandomForest,average
0.42857142857142855,acc,RandomForest,average
0.35714285714285715,acc,RandomForest,average
0.6153846153846154,acc,RandomForest,average
0.6923076923076923,acc,RandomForest,average
0.5,acc,RandomForest,average
0.5,acc,RandomForest,average
0.9,acc,RandomForest,average
0.6666666666666666,acc,RandomForest,average
0.9600000000000001,roc,RandomForest,average
0.5238095238095238,roc,RandomForest,average
0.53125,roc,RandomForest,average
0.326530612244898,roc,RandomForest,average
0.6805555555555556,roc,RandomForest,average
0.7638888888888888,roc,RandomForest,average
0.4,roc,RandomForest,average
0.6111111111111112,roc,RandomForest,average
1.0,roc,RandomForest,average
0.6851851851851852,roc,RandomForest,average
0.888888888888889,fms,RandomForest,average
0.5714285714285714,fms,RandomForest,average
0.2,fms,RandomForest,average
0.39999999999999997,fms,RandomForest,average
0.5454545454545454,fms,RandomForest,average
0.75,fms,RandomForest,average
0.4000000000000001,fms,RandomForest,average
0.4,fms,RandomForest,average
0.9090909090909091,fms,RandomForest,average
0.6666666666666667,fms,RandomForest,average
1.0,precision,RandomForest,average
0.5714285714285714,precision,RandomForest,average
0.25,precision,RandomForest,average
0.375,precision,RandomForest,average
0.42857142857142855,precision,RandomForest,average
0.8571428571428571,precision,RandomForest,average
0.4,precision,RandomForest,average
0.5,precision,RandomForest,average
0.8333333333333334,precision,RandomForest,average
0.5555555555555556,precision,RandomForest,average
0.8,recall,RandomForest,average
0.5714285714285714,recall,RandomForest,average
0.16666666666666666,recall,RandomForest,average
0.42857142857142855,recall,RandomForest,average
0.75,recall,RandomForest,average
0.6666666666666666,recall,RandomForest,average
0.4,recall,RandomForest,average
0.3333333333333333,recall,RandomForest,average
1.0,recall,RandomForest,average
0.8333333333333334,recall,RandomForest,average
1.0,specificity,RandomForest,average
0.5,specificity,RandomForest,average
0.625,specificity,RandomForest,average
0.2857142857142857,specificity,RandomForest,average
0.5555555555555556,specificity,RandomForest,average
0.75,specificity,RandomForest,average
0.5714285714285714,specificity,RandomForest,average
0.6666666666666666,specificity,RandomForest,average
0.8,specificity,RandomForest,average
0.5555555555555556,specificity,RandomForest,average
0.5333333333333333,acc,GausNaiveBayes,average
0.7692307692307693,acc,GausNaiveBayes,average
0.46153846153846156,acc,GausNaiveBayes,average
0.6666666666666666,acc,GausNaiveBayes,average
0.8333333333333334,acc,GausNaiveBayes,average
0.7857142857142857,acc,GausNaiveBayes,average
0.45454545454545453,acc,GausNaiveBayes,average
0.6363636363636364,acc,GausNaiveBayes,average
0.6666666666666666,acc,GausNaiveBayes,average
0.8461538461538461,acc,GausNaiveBayes,average
0.6,roc,GausNaiveBayes,average
0.875,roc,GausNaiveBayes,average
0.55,roc,GausNaiveBayes,average
0.6111111111111112,roc,GausNaiveBayes,average
0.7222222222222223,roc,GausNaiveBayes,average
0.8541666666666666,roc,GausNaiveBayes,average
0.5666666666666667,roc,GausNaiveBayes,average
0.8214285714285714,roc,GausNaiveBayes,average
0.5714285714285714,roc,GausNaiveBayes,average
0.925,roc,GausNaiveBayes,average
0.5333333333333333,fms,GausNaiveBayes,average
0.7692307692307693,fms,GausNaiveBayes,average
0.3636363636363636,fms,GausNaiveBayes,average
0.7142857142857143,fms,GausNaiveBayes,average
0.8571428571428571,fms,GausNaiveBayes,average
0.7999999999999999,fms,GausNaiveBayes,average
0.5714285714285714,fms,GausNaiveBayes,average
0.6,fms,GausNaiveBayes,average
0.6,fms,GausNaiveBayes,average
0.875,fms,GausNaiveBayes,average
0.4,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.3333333333333333,precision,GausNaiveBayes,average
0.625,precision,GausNaiveBayes,average
0.75,precision,GausNaiveBayes,average
0.8571428571428571,precision,GausNaiveBayes,average
0.4444444444444444,precision,GausNaiveBayes,average
0.5,precision,GausNaiveBayes,average
0.6,precision,GausNaiveBayes,average
0.875,precision,GausNaiveBayes,average
0.8,recall,GausNaiveBayes,average
0.625,recall,GausNaiveBayes,average
0.4,recall,GausNaiveBayes,average
0.8333333333333334,recall,GausNaiveBayes,average
1.0,recall,GausNaiveBayes,average
0.75,recall,GausNaiveBayes,average
0.8,recall,GausNaiveBayes,average
0.75,recall,GausNaiveBayes,average
0.6,recall,GausNaiveBayes,average
0.875,recall,GausNaiveBayes,average
0.4,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.5,specificity,GausNaiveBayes,average
0.5,specificity,GausNaiveBayes,average
0.6666666666666666,specificity,GausNaiveBayes,average
0.8333333333333334,specificity,GausNaiveBayes,average
0.16666666666666666,specificity,GausNaiveBayes,average
0.5714285714285714,specificity,GausNaiveBayes,average
0.7142857142857143,specificity,GausNaiveBayes,average
0.8,specificity,GausNaiveBayes,average
0.5,acc,LogReg,average
0.8461538461538461,acc,LogReg,average
