1,metric,model,method
0.5,acc,RandomForest,average
0.6,acc,RandomForest,average
0.7692307692307693,acc,RandomForest,average
0.6153846153846154,acc,RandomForest,average
0.5454545454545454,acc,RandomForest,average
0.75,acc,RandomForest,average
0.7692307692307693,acc,RandomForest,average
0.45454545454545453,acc,RandomForest,average
0.5833333333333334,acc,RandomForest,average
0.42857142857142855,acc,RandomForest,average
0.5142857142857142,roc,RandomForest,average
0.7142857142857143,roc,RandomForest,average
1.0,roc,RandomForest,average
0.6250000000000001,roc,RandomForest,average
0.5178571428571428,roc,RandomForest,average
0.8142857142857143,roc,RandomForest,average
0.6666666666666667,roc,RandomForest,average
0.35416666666666663,roc,RandomForest,average
0.5,roc,RandomForest,average
0.4444444444444444,roc,RandomForest,average
0.4000000000000001,fms,RandomForest,average
0.625,fms,RandomForest,average
0.7692307692307693,fms,RandomForest,average
0.6153846153846154,fms,RandomForest,average
0.6666666666666666,fms,RandomForest,average
0.7272727272727272,fms,RandomForest,average
0.6666666666666665,fms,RandomForest,average
0.25,fms,RandomForest,average
0.6153846153846153,fms,RandomForest,average
0.42857142857142855,fms,RandomForest,average
0.4,precision,RandomForest,average
0.625,precision,RandomForest,average
1.0,precision,RandomForest,average
0.5,precision,RandomForest,average
0.625,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.6,precision,RandomForest,average
0.2,precision,RandomForest,average
0.5714285714285714,precision,RandomForest,average
0.6,precision,RandomForest,average
0.4,recall,RandomForest,average
0.625,recall,RandomForest,average
0.625,recall,RandomForest,average
0.8,recall,RandomForest,average
0.7142857142857143,recall,RandomForest,average
0.8,recall,RandomForest,average
0.75,recall,RandomForest,average
0.3333333333333333,recall,RandomForest,average
0.6666666666666666,recall,RandomForest,average
0.3333333333333333,recall,RandomForest,average
0.5714285714285714,specificity,RandomForest,average
0.5714285714285714,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.5,specificity,RandomForest,average
0.25,specificity,RandomForest,average
0.7142857142857143,specificity,RandomForest,average
0.7777777777777778,specificity,RandomForest,average
0.5,specificity,RandomForest,average
0.5,specificity,RandomForest,average
0.6,specificity,RandomForest,average
0.4166666666666667,acc,GausNaiveBayes,average
0.7333333333333333,acc,GausNaiveBayes,average
0.8461538461538461,acc,GausNaiveBayes,average
0.6153846153846154,acc,GausNaiveBayes,average
0.7272727272727273,acc,GausNaiveBayes,average
0.8333333333333334,acc,GausNaiveBayes,average
0.6923076923076923,acc,GausNaiveBayes,average
0.5454545454545454,acc,GausNaiveBayes,average
0.5833333333333334,acc,GausNaiveBayes,average
0.6428571428571429,acc,GausNaiveBayes,average
0.6,roc,GausNaiveBayes,average
0.75,roc,GausNaiveBayes,average
1.0,roc,GausNaiveBayes,average
0.725,roc,GausNaiveBayes,average
0.75,roc,GausNaiveBayes,average
0.9428571428571428,roc,GausNaiveBayes,average
0.6666666666666667,roc,GausNaiveBayes,average
0.49999999999999994,roc,GausNaiveBayes,average
0.5,roc,GausNaiveBayes,average
0.5111111111111111,roc,GausNaiveBayes,average
0.4615384615384615,fms,GausNaiveBayes,average
0.7777777777777777,fms,GausNaiveBayes,average
0.888888888888889,fms,GausNaiveBayes,average
0.6153846153846154,fms,GausNaiveBayes,average
0.8235294117647058,fms,GausNaiveBayes,average
0.8000000000000002,fms,GausNaiveBayes,average
0.6,fms,GausNaiveBayes,average
0.4444444444444444,fms,GausNaiveBayes,average
