1,metric,model,method
0.7058823529411765,acc,RandomForest,average
0.7058823529411765,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.9375,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.75,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.5625,acc,RandomForest,average
0.75,acc,RandomForest,average
0.625,acc,RandomForest,average
0.7348484848484849,roc,RandomForest,average
0.7727272727272728,roc,RandomForest,average
0.825,roc,RandomForest,average
0.9375,roc,RandomForest,average
0.5833333333333333,roc,RandomForest,average
0.8515625,roc,RandomForest,average
0.746031746031746,roc,RandomForest,average
0.6875,roc,RandomForest,average
0.8666666666666667,roc,RandomForest,average
0.5873015873015872,roc,RandomForest,average
0.6153846153846153,fms,RandomForest,average
0.7826086956521738,fms,RandomForest,average
0.7692307692307692,fms,RandomForest,average
0.9333333333333333,fms,RandomForest,average
0.7826086956521738,fms,RandomForest,average
0.7142857142857143,fms,RandomForest,average
0.6666666666666666,fms,RandomForest,average
0.5333333333333333,fms,RandomForest,average
0.7142857142857143,fms,RandomForest,average
0.5,fms,RandomForest,average
0.5714285714285714,precision,RandomForest,average
0.75,precision,RandomForest,average
0.7142857142857143,precision,RandomForest,average
1.0,precision,RandomForest,average
0.8181818181818182,precision,RandomForest,average
0.8333333333333334,precision,RandomForest,average
0.625,precision,RandomForest,average
0.5714285714285714,precision,RandomForest,average
0.625,precision,RandomForest,average
0.6,precision,RandomForest,average
0.6666666666666666,recall,RandomForest,average
0.8181818181818182,recall,RandomForest,average
0.8333333333333334,recall,RandomForest,average
0.875,recall,RandomForest,average
0.75,recall,RandomForest,average
0.625,recall,RandomForest,average
0.7142857142857143,recall,RandomForest,average
0.5,recall,RandomForest,average
0.8333333333333334,recall,RandomForest,average
0.42857142857142855,recall,RandomForest,average
0.7272727272727273,specificity,RandomForest,average
0.5,specificity,RandomForest,average
0.8,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.5,specificity,RandomForest,average
0.875,specificity,RandomForest,average
0.6666666666666666,specificity,RandomForest,average
0.625,specificity,RandomForest,average
0.7,specificity,RandomForest,average
0.7777777777777778,specificity,RandomForest,average
0.7058823529411765,acc,GausNaiveBayes,average
0.7058823529411765,acc,GausNaiveBayes,average
0.625,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.5,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.5625,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.5,acc,GausNaiveBayes,average
0.7727272727272727,roc,GausNaiveBayes,average
0.7878787878787877,roc,GausNaiveBayes,average
0.6916666666666667,roc,GausNaiveBayes,average
0.953125,roc,GausNaiveBayes,average
0.5416666666666666,roc,GausNaiveBayes,average
0.859375,roc,GausNaiveBayes,average
0.8412698412698413,roc,GausNaiveBayes,average
0.59375,roc,GausNaiveBayes,average
0.8333333333333333,roc,GausNaiveBayes,average
0.42857142857142855,roc,GausNaiveBayes,average
0.4444444444444444,fms,GausNaiveBayes,average
0.7368421052631579,fms,GausNaiveBayes,average
0.4,fms,GausNaiveBayes,average
0.7692307692307693,fms,GausNaiveBayes,average
0.6,fms,GausNaiveBayes,average
0.5454545454545454,fms,GausNaiveBayes,average
0.4444444444444445,fms,GausNaiveBayes,average
0.36363636363636365,fms,GausNaiveBayes,average
0.6666666666666666,fms,GausNaiveBayes,average
0.3333333333333333,fms,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
0.875,precision,GausNaiveBayes,average
0.5,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.75,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
0.4,precision,GausNaiveBayes,average
0.3333333333333333,recall,GausNaiveBayes,average
0.6363636363636364,recall,GausNaiveBayes,average
0.3333333333333333,recall,GausNaiveBayes,average
0.625,recall,GausNaiveBayes,average
0.5,recall,GausNaiveBayes,average
0.375,recall,GausNaiveBayes,average
0.2857142857142857,recall,GausNaiveBayes,average
0.25,recall,GausNaiveBayes,average
0.6666666666666666,recall,GausNaiveBayes,average
0.2857142857142857,recall,GausNaiveBayes,average
0.9090909090909091,specificity,GausNaiveBayes,average
0.8333333333333334,specificity,GausNaiveBayes,average
0.8,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.5,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.875,specificity,GausNaiveBayes,average
0.8,specificity,GausNaiveBayes,average
