1,metric,model,method
0.47058823529411764,acc,RandomForest,stack
0.7647058823529411,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.5763888888888888,roc,RandomForest,stack
0.7857142857142857,roc,RandomForest,stack
0.7818181818181817,roc,RandomForest,stack
0.65625,roc,RandomForest,stack
0.8645833333333333,roc,RandomForest,stack
0.609375,roc,RandomForest,stack
0.8727272727272727,roc,RandomForest,stack
0.6666666666666667,roc,RandomForest,stack
0.75,roc,RandomForest,stack
0.765625,roc,RandomForest,stack
0.47058823529411764,fms,RandomForest,stack
0.7499999999999999,fms,RandomForest,stack
0.8571428571428572,fms,RandomForest,stack
0.4444444444444445,fms,RandomForest,stack
0.6666666666666665,fms,RandomForest,stack
0.6666666666666666,fms,RandomForest,stack
0.6666666666666665,fms,RandomForest,stack
0.7777777777777778,fms,RandomForest,stack
0.7826086956521738,fms,RandomForest,stack
0.625,fms,RandomForest,stack
0.4444444444444444,precision,RandomForest,stack
1.0,precision,RandomForest,stack
0.9,precision,RandomForest,stack
0.4,precision,RandomForest,stack
0.6,precision,RandomForest,stack
0.7142857142857143,precision,RandomForest,stack
0.75,precision,RandomForest,stack
0.7777777777777778,precision,RandomForest,stack
0.8181818181818182,precision,RandomForest,stack
0.625,precision,RandomForest,stack
0.5,recall,RandomForest,stack
0.6,recall,RandomForest,stack
0.8181818181818182,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.625,recall,RandomForest,stack
0.6,recall,RandomForest,stack
0.7777777777777778,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.625,recall,RandomForest,stack
0.4444444444444444,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
0.8,specificity,RandomForest,stack
0.75,specificity,RandomForest,stack
0.8333333333333334,specificity,RandomForest,stack
0.75,specificity,RandomForest,stack
0.9090909090909091,specificity,RandomForest,stack
0.7142857142857143,specificity,RandomForest,stack
0.5,specificity,RandomForest,stack
0.625,specificity,RandomForest,stack
0.47058823529411764,acc,GausNaiveBayes,stack
0.7058823529411765,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.375,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.8125,acc,GausNaiveBayes,stack
0.48571428571428577,roc,GausNaiveBayes,stack
0.7878787878787878,roc,GausNaiveBayes,stack
0.859375,roc,GausNaiveBayes,stack
0.6875,roc,GausNaiveBayes,stack
0.7936507936507936,roc,GausNaiveBayes,stack
0.8125,roc,GausNaiveBayes,stack
0.7857142857142858,roc,GausNaiveBayes,stack
0.5079365079365079,roc,GausNaiveBayes,stack
0.8416666666666667,roc,GausNaiveBayes,stack
0.9083333333333332,roc,GausNaiveBayes,stack
0.5714285714285713,fms,GausNaiveBayes,stack
0.5454545454545454,fms,GausNaiveBayes,stack
0.7142857142857143,fms,GausNaiveBayes,stack
0.6666666666666666,fms,GausNaiveBayes,stack
0.75,fms,GausNaiveBayes,stack
0.7000000000000001,fms,GausNaiveBayes,stack
0.5454545454545454,fms,GausNaiveBayes,stack
0.4444444444444444,fms,GausNaiveBayes,stack
0.7777777777777777,fms,GausNaiveBayes,stack
0.7692307692307692,fms,GausNaiveBayes,stack
0.5454545454545454,precision,GausNaiveBayes,stack
0.6,precision,GausNaiveBayes,stack
0.8333333333333334,precision,GausNaiveBayes,stack
0.7142857142857143,precision,GausNaiveBayes,stack
0.8571428571428571,precision,GausNaiveBayes,stack
0.5833333333333334,precision,GausNaiveBayes,stack
0.75,precision,GausNaiveBayes,stack
0.36363636363636365,precision,GausNaiveBayes,stack
0.875,precision,GausNaiveBayes,stack
0.7142857142857143,precision,GausNaiveBayes,stack
0.6,recall,GausNaiveBayes,stack
0.5,recall,GausNaiveBayes,stack
0.625,recall,GausNaiveBayes,stack
0.625,recall,GausNaiveBayes,stack
0.6666666666666666,recall,GausNaiveBayes,stack
0.875,recall,GausNaiveBayes,stack
0.42857142857142855,recall,GausNaiveBayes,stack
0.5714285714285714,recall,GausNaiveBayes,stack
0.7,recall,GausNaiveBayes,stack
0.8333333333333334,recall,GausNaiveBayes,stack
0.2857142857142857,specificity,GausNaiveBayes,stack
0.8181818181818182,specificity,GausNaiveBayes,stack
0.875,specificity,GausNaiveBayes,stack
0.75,specificity,GausNaiveBayes,stack
0.8571428571428571,specificity,GausNaiveBayes,stack
0.375,specificity,GausNaiveBayes,stack
0.8888888888888888,specificity,GausNaiveBayes,stack
0.2222222222222222,specificity,GausNaiveBayes,stack
0.8333333333333334,specificity,GausNaiveBayes,stack
0.8,specificity,GausNaiveBayes,stack
0.5882352941176471,acc,LogReg,stack
0.8235294117647058,acc,LogReg,stack
0.75,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.8125,acc,LogReg,stack
0.5625,acc,LogReg,stack
0.875,acc,LogReg,stack
0.875,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.75,acc,LogReg,stack
0.8076923076923077,roc,LogReg,stack
0.9785714285714285,roc,LogReg,stack
0.873015873015873,roc,LogReg,stack
0.7833333333333334,roc,LogReg,stack
0.78125,roc,LogReg,stack
0.6904761904761905,roc,LogReg,stack
0.921875,roc,LogReg,stack
0.9761904761904762,roc,LogReg,stack
0.5833333333333334,roc,LogReg,stack
0.9375,roc,LogReg,stack
0.46153846153846156,fms,LogReg,stack
0.8235294117647058,fms,LogReg,stack
0.75,fms,LogReg,stack
0.6153846153846153,fms,LogReg,stack
0.7999999999999999,fms,LogReg,stack
0.46153846153846156,fms,LogReg,stack
0.888888888888889,fms,LogReg,stack
0.9,fms,LogReg,stack
0.6153846153846153,fms,LogReg,stack
0.8,fms,LogReg,stack
0.3333333333333333,precision,LogReg,stack
1.0,precision,LogReg,stack
0.6666666666666666,precision,LogReg,stack
0.5714285714285714,precision,LogReg,stack
0.8571428571428571,precision,LogReg,stack
0.75,precision,LogReg,stack
0.8,precision,LogReg,stack
0.8181818181818182,precision,LogReg,stack
0.5714285714285714,precision,LogReg,stack
1.0,precision,LogReg,stack
0.75,recall,LogReg,stack
0.7,recall,LogReg,stack
0.8571428571428571,recall,LogReg,stack
0.6666666666666666,recall,LogReg,stack
0.75,recall,LogReg,stack
0.3333333333333333,recall,LogReg,stack
1.0,recall,LogReg,stack
1.0,recall,LogReg,stack
0.6666666666666666,recall,LogReg,stack
0.6666666666666666,recall,LogReg,stack
0.5384615384615384,specificity,LogReg,stack
1.0,specificity,LogReg,stack
0.6666666666666666,specificity,LogReg,stack
0.7,specificity,LogReg,stack
0.875,specificity,LogReg,stack
0.8571428571428571,specificity,LogReg,stack
0.75,specificity,LogReg,stack
0.7142857142857143,specificity,LogReg,stack
0.7,specificity,LogReg,stack
1.0,specificity,LogReg,stack
