1,metric,model,method
0.6470588235294118,acc,RandomForest,stack
0.8235294117647058,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.5625,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.5625,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.5625,acc,RandomForest,stack
0.6111111111111112,roc,RandomForest,stack
0.8472222222222223,roc,RandomForest,stack
0.8541666666666666,roc,RandomForest,stack
0.8,roc,RandomForest,stack
0.9296875,roc,RandomForest,stack
0.515625,roc,RandomForest,stack
0.90625,roc,RandomForest,stack
0.453125,roc,RandomForest,stack
0.6272727272727272,roc,RandomForest,stack
0.6416666666666666,roc,RandomForest,stack
0.6250000000000001,fms,RandomForest,stack
0.823529411764706,fms,RandomForest,stack
0.8181818181818182,fms,RandomForest,stack
0.8000000000000002,fms,RandomForest,stack
0.7999999999999999,fms,RandomForest,stack
0.5333333333333333,fms,RandomForest,stack
0.6666666666666665,fms,RandomForest,stack
0.4615384615384615,fms,RandomForest,stack
0.5,fms,RandomForest,stack
0.4615384615384615,fms,RandomForest,stack
0.7142857142857143,precision,RandomForest,stack
0.875,precision,RandomForest,stack
0.9,precision,RandomForest,stack
0.8,precision,RandomForest,stack
0.8571428571428571,precision,RandomForest,stack
0.5714285714285714,precision,RandomForest,stack
0.6,precision,RandomForest,stack
0.6,precision,RandomForest,stack
0.42857142857142855,precision,RandomForest,stack
0.42857142857142855,precision,RandomForest,stack
0.5555555555555556,recall,RandomForest,stack
0.7777777777777778,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.8,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.375,recall,RandomForest,stack
0.6,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.75,specificity,RandomForest,stack
0.875,specificity,RandomForest,stack
0.75,specificity,RandomForest,stack
0.6666666666666666,specificity,RandomForest,stack
0.875,specificity,RandomForest,stack
0.625,specificity,RandomForest,stack
0.8333333333333334,specificity,RandomForest,stack
0.75,specificity,RandomForest,stack
0.6363636363636364,specificity,RandomForest,stack
0.6,specificity,RandomForest,stack
0.7647058823529411,acc,GausNaiveBayes,stack
0.5882352941176471,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.5,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.8181818181818181,roc,GausNaiveBayes,stack
0.5227272727272727,roc,GausNaiveBayes,stack
0.6916666666666668,roc,GausNaiveBayes,stack
0.475,roc,GausNaiveBayes,stack
0.7380952380952381,roc,GausNaiveBayes,stack
0.7222222222222222,roc,GausNaiveBayes,stack
0.6746031746031745,roc,GausNaiveBayes,stack
0.7222222222222222,roc,GausNaiveBayes,stack
0.790909090909091,roc,GausNaiveBayes,stack
0.7333333333333333,roc,GausNaiveBayes,stack
0.7777777777777778,fms,GausNaiveBayes,stack
0.6666666666666666,fms,GausNaiveBayes,stack
0.5454545454545454,fms,GausNaiveBayes,stack
0.5555555555555556,fms,GausNaiveBayes,stack
0.6153846153846153,fms,GausNaiveBayes,stack
0.6666666666666666,fms,GausNaiveBayes,stack
0.5454545454545454,fms,GausNaiveBayes,stack
0.6153846153846153,fms,GausNaiveBayes,stack
0.6153846153846154,fms,GausNaiveBayes,stack
0.6153846153846153,fms,GausNaiveBayes,stack
1.0,precision,GausNaiveBayes,stack
0.7,precision,GausNaiveBayes,stack
0.6,precision,GausNaiveBayes,stack
0.625,precision,GausNaiveBayes,stack
0.6666666666666666,precision,GausNaiveBayes,stack
0.8,precision,GausNaiveBayes,stack
0.75,precision,GausNaiveBayes,stack
1.0,precision,GausNaiveBayes,stack
0.5,precision,GausNaiveBayes,stack
0.5714285714285714,precision,GausNaiveBayes,stack
0.6363636363636364,recall,GausNaiveBayes,stack
0.6363636363636364,recall,GausNaiveBayes,stack
0.5,recall,GausNaiveBayes,stack
0.5,recall,GausNaiveBayes,stack
0.5714285714285714,recall,GausNaiveBayes,stack
0.5714285714285714,recall,GausNaiveBayes,stack
0.42857142857142855,recall,GausNaiveBayes,stack
0.4444444444444444,recall,GausNaiveBayes,stack
0.8,recall,GausNaiveBayes,stack
0.6666666666666666,recall,GausNaiveBayes,stack
1.0,specificity,GausNaiveBayes,stack
0.5,specificity,GausNaiveBayes,stack
0.8,specificity,GausNaiveBayes,stack
0.5,specificity,GausNaiveBayes,stack
0.7777777777777778,specificity,GausNaiveBayes,stack
0.8888888888888888,specificity,GausNaiveBayes,stack
0.8888888888888888,specificity,GausNaiveBayes,stack
1.0,specificity,GausNaiveBayes,stack
0.6363636363636364,specificity,GausNaiveBayes,stack
0.7,specificity,GausNaiveBayes,stack
0.7647058823529411,acc,LogReg,stack
0.47058823529411764,acc,LogReg,stack
0.9375,acc,LogReg,stack
0.75,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.625,acc,LogReg,stack
0.75,acc,LogReg,stack
0.625,acc,LogReg,stack
0.75,acc,LogReg,stack
0.625,acc,LogReg,stack
0.75,roc,LogReg,stack
0.40909090909090906,roc,LogReg,stack
0.8727272727272728,roc,LogReg,stack
0.8666666666666667,roc,LogReg,stack
0.6953125,roc,LogReg,stack
0.7619047619047619,roc,LogReg,stack
0.796875,roc,LogReg,stack
0.8,roc,LogReg,stack
0.7142857142857144,roc,LogReg,stack
0.5714285714285714,roc,LogReg,stack
0.7777777777777778,fms,LogReg,stack
0.30769230769230765,fms,LogReg,stack
0.9565217391304348,fms,LogReg,stack
0.7499999999999999,fms,LogReg,stack
0.7058823529411765,fms,LogReg,stack
0.6250000000000001,fms,LogReg,stack
0.75,fms,LogReg,stack
0.625,fms,LogReg,stack
0.7142857142857143,fms,LogReg,stack
0.6250000000000001,fms,LogReg,stack
0.7777777777777778,precision,LogReg,stack
0.2857142857142857,precision,LogReg,stack
0.9166666666666666,precision,LogReg,stack
1.0,precision,LogReg,stack
0.6666666666666666,precision,LogReg,stack
0.5555555555555556,precision,LogReg,stack
0.75,precision,LogReg,stack
0.5,precision,LogReg,stack
0.7142857142857143,precision,LogReg,stack
0.5555555555555556,precision,LogReg,stack
0.7777777777777778,recall,LogReg,stack
0.3333333333333333,recall,LogReg,stack
1.0,recall,LogReg,stack
0.6,recall,LogReg,stack
0.75,recall,LogReg,stack
0.7142857142857143,recall,LogReg,stack
0.75,recall,LogReg,stack
0.8333333333333334,recall,LogReg,stack
0.7142857142857143,recall,LogReg,stack
0.7142857142857143,recall,LogReg,stack
0.75,specificity,LogReg,stack
0.5454545454545454,specificity,LogReg,stack
0.8,specificity,LogReg,stack
1.0,specificity,LogReg,stack
0.625,specificity,LogReg,stack
0.5555555555555556,specificity,LogReg,stack
0.75,specificity,LogReg,stack
0.5,specificity,LogReg,stack
0.7777777777777778,specificity,LogReg,stack
0.5555555555555556,specificity,LogReg,stack
