1,metric,model
0.8461538461538461,acc,RandomForest
0.6153846153846154,acc,RandomForest
0.9230769230769231,acc,RandomForest
0.8461538461538461,acc,RandomForest
0.5384615384615384,acc,RandomForest
0.6923076923076923,acc,RandomForest
0.3333333333333333,acc,RandomForest
0.5833333333333334,acc,RandomForest
0.75,acc,RandomForest
0.75,acc,RandomForest
1.0,roc,RandomForest
0.6904761904761905,roc,RandomForest
0.9285714285714286,roc,RandomForest
0.8333333333333333,roc,RandomForest
0.6190476190476191,roc,RandomForest
0.7500000000000001,roc,RandomForest
0.5555555555555556,roc,RandomForest
0.5972222222222223,roc,RandomForest
0.7222222222222222,roc,RandomForest
0.7222222222222223,roc,RandomForest
0.8,fms,RandomForest
0.6153846153846153,fms,RandomForest
0.923076923076923,fms,RandomForest
0.8333333333333334,fms,RandomForest
0.5714285714285715,fms,RandomForest
0.5,fms,RandomForest
0.2,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.7272727272727272,fms,RandomForest
0.7272727272727272,fms,RandomForest
1.0,precision,RandomForest
0.5714285714285714,precision,RandomForest
0.8571428571428571,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.5,precision,RandomForest
1.0,precision,RandomForest
0.25,precision,RandomForest
0.6,precision,RandomForest
0.8,precision,RandomForest
0.8,precision,RandomForest
0.6666666666666666,recall,RandomForest
0.6666666666666666,recall,RandomForest
1.0,recall,RandomForest
0.8333333333333334,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.3333333333333333,recall,RandomForest
0.16666666666666666,recall,RandomForest
0.5,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.6666666666666666,recall,RandomForest
1.0,specificity,RandomForest
0.5714285714285714,specificity,RandomForest
0.8571428571428571,specificity,RandomForest
0.8571428571428571,specificity,RandomForest
0.42857142857142855,specificity,RandomForest
1.0,specificity,RandomForest
0.5,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.8333333333333334,specificity,RandomForest
0.8333333333333334,specificity,RandomForest
0.6153846153846154,acc,GausNaiveBayes
0.6153846153846154,acc,GausNaiveBayes
0.9230769230769231,acc,GausNaiveBayes
0.6923076923076923,acc,GausNaiveBayes
0.5384615384615384,acc,GausNaiveBayes
0.6153846153846154,acc,GausNaiveBayes
0.4166666666666667,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.6666666666666666,acc,GausNaiveBayes
0.4166666666666667,acc,GausNaiveBayes
0.6904761904761905,roc,GausNaiveBayes
0.7142857142857143,roc,GausNaiveBayes
0.9761904761904763,roc,GausNaiveBayes
0.7619047619047619,roc,GausNaiveBayes
0.4285714285714286,roc,GausNaiveBayes
0.7142857142857143,roc,GausNaiveBayes
0.38888888888888884,roc,GausNaiveBayes
0.8611111111111112,roc,GausNaiveBayes
0.9166666666666667,roc,GausNaiveBayes
0.5555555555555556,roc,GausNaiveBayes
0.4444444444444444,fms,GausNaiveBayes
0.6153846153846153,fms,GausNaiveBayes
0.9090909090909091,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.625,fms,GausNaiveBayes
0.6153846153846153,fms,GausNaiveBayes
0.4615384615384615,fms,GausNaiveBayes
0.8,fms,GausNaiveBayes
0.7142857142857143,fms,GausNaiveBayes
0.4615384615384615,fms,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.5714285714285714,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.5714285714285714,precision,GausNaiveBayes
0.42857142857142855,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.625,precision,GausNaiveBayes
0.42857142857142855,precision,GausNaiveBayes
0.3333333333333333,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.8333333333333334,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.8333333333333334,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
1.0,recall,GausNaiveBayes
0.8333333333333334,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.8571428571428571,specificity,GausNaiveBayes
0.5714285714285714,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.7142857142857143,specificity,GausNaiveBayes
0.2857142857142857,specificity,GausNaiveBayes
0.5714285714285714,specificity,GausNaiveBayes
0.3333333333333333,specificity,GausNaiveBayes
0.5,specificity,GausNaiveBayes
0.5,specificity,GausNaiveBayes
0.3333333333333333,specificity,GausNaiveBayes
0.6923076923076923,acc,LogReg
0.38461538461538464,acc,LogReg
0.9230769230769231,acc,LogReg
0.7692307692307693,acc,LogReg
0.46153846153846156,acc,LogReg
0.6923076923076923,acc,LogReg
0.5,acc,LogReg
0.6666666666666666,acc,LogReg
0.8333333333333334,acc,LogReg
0.5,acc,LogReg
0.7380952380952381,roc,LogReg
0.5952380952380952,roc,LogReg
0.9047619047619048,roc,LogReg
0.7619047619047619,roc,LogReg
0.5714285714285714,roc,LogReg
0.7380952380952381,roc,LogReg
0.6111111111111112,roc,LogReg
0.7222222222222222,roc,LogReg
0.888888888888889,roc,LogReg
0.47222222222222215,roc,LogReg
0.5,fms,LogReg
0.42857142857142855,fms,LogReg
0.9090909090909091,fms,LogReg
0.7692307692307692,fms,LogReg
0.5333333333333333,fms,LogReg
0.6,fms,LogReg
0.5714285714285715,fms,LogReg
0.7142857142857143,fms,LogReg
0.8333333333333334,fms,LogReg
0.4,fms,LogReg
1.0,precision,LogReg
0.375,precision,LogReg
1.0,precision,LogReg
0.7142857142857143,precision,LogReg
0.4444444444444444,precision,LogReg
0.75,precision,LogReg
0.5,precision,LogReg
0.625,precision,LogReg
0.8333333333333334,precision,LogReg
0.5,precision,LogReg
0.3333333333333333,recall,LogReg
0.5,recall,LogReg
0.8333333333333334,recall,LogReg
0.8333333333333334,recall,LogReg
0.6666666666666666,recall,LogReg
0.5,recall,LogReg
0.6666666666666666,recall,LogReg
0.8333333333333334,recall,LogReg
0.8333333333333334,recall,LogReg
0.3333333333333333,recall,LogReg
1.0,specificity,LogReg
0.2857142857142857,specificity,LogReg
1.0,specificity,LogReg
0.7142857142857143,specificity,LogReg
0.2857142857142857,specificity,LogReg
0.8571428571428571,specificity,LogReg
0.3333333333333333,specificity,LogReg
0.5,specificity,LogReg
0.8333333333333334,specificity,LogReg
0.6666666666666666,specificity,LogReg
