1,metric,model,method
0.7647058823529411,acc,RandomForest,average
0.6470588235294118,acc,RandomForest,average
0.625,acc,RandomForest,average
0.875,acc,RandomForest,average
0.4375,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.5625,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.9375,acc,RandomForest,average
0.875,acc,RandomForest,average
0.8071428571428572,roc,RandomForest,average
0.553030303030303,roc,RandomForest,average
0.6916666666666667,roc,RandomForest,average
0.9487179487179488,roc,RandomForest,average
0.5396825396825398,roc,RandomForest,average
0.875,roc,RandomForest,average
0.7578125,roc,RandomForest,average
0.8095238095238095,roc,RandomForest,average
0.9333333333333333,roc,RandomForest,average
0.9000000000000001,roc,RandomForest,average
0.7499999999999999,fms,RandomForest,average
0.5,fms,RandomForest,average
0.5714285714285715,fms,RandomForest,average
0.9166666666666666,fms,RandomForest,average
0.47058823529411764,fms,RandomForest,average
0.7999999999999999,fms,RandomForest,average
0.5333333333333333,fms,RandomForest,average
0.7999999999999999,fms,RandomForest,average
0.9090909090909091,fms,RandomForest,average
0.8333333333333334,fms,RandomForest,average
1.0,precision,RandomForest,average
0.5,precision,RandomForest,average
0.5,precision,RandomForest,average
1.0,precision,RandomForest,average
0.5,precision,RandomForest,average
0.8571428571428571,precision,RandomForest,average
0.5714285714285714,precision,RandomForest,average
0.75,precision,RandomForest,average
1.0,precision,RandomForest,average
0.8333333333333334,precision,RandomForest,average
0.6,recall,RandomForest,average
0.5,recall,RandomForest,average
0.6666666666666666,recall,RandomForest,average
0.8461538461538461,recall,RandomForest,average
0.4444444444444444,recall,RandomForest,average
0.75,recall,RandomForest,average
0.5,recall,RandomForest,average
0.8571428571428571,recall,RandomForest,average
0.8333333333333334,recall,RandomForest,average
0.8333333333333334,recall,RandomForest,average
1.0,specificity,RandomForest,average
0.7272727272727273,specificity,RandomForest,average
0.6,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.42857142857142855,specificity,RandomForest,average
0.875,specificity,RandomForest,average
0.625,specificity,RandomForest,average
0.7777777777777778,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.9,specificity,RandomForest,average
0.7647058823529411,acc,GausNaiveBayes,average
0.47058823529411764,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.4375,acc,GausNaiveBayes,average
0.5625,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.625,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.875,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.8428571428571429,roc,GausNaiveBayes,average
0.46969696969696967,roc,GausNaiveBayes,average
0.6666666666666667,roc,GausNaiveBayes,average
0.7692307692307693,roc,GausNaiveBayes,average
0.6349206349206349,roc,GausNaiveBayes,average
0.84375,roc,GausNaiveBayes,average
0.703125,roc,GausNaiveBayes,average
0.8412698412698413,roc,GausNaiveBayes,average
0.85,roc,GausNaiveBayes,average
0.8333333333333333,roc,GausNaiveBayes,average
0.7499999999999999,fms,GausNaiveBayes,average
0.0,fms,GausNaiveBayes,average
0.6,fms,GausNaiveBayes,average
0.47058823529411764,fms,GausNaiveBayes,average
0.5333333333333333,fms,GausNaiveBayes,average
0.6666666666666666,fms,GausNaiveBayes,average
0.5,fms,GausNaiveBayes,average
0.4444444444444445,fms,GausNaiveBayes,average
0.8,fms,GausNaiveBayes,average
0.6666666666666666,fms,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.0,precision,GausNaiveBayes,average
0.75,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
0.7142857142857143,precision,GausNaiveBayes,average
0.75,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
0.6,recall,GausNaiveBayes,average
0.0,recall,GausNaiveBayes,average
0.5,recall,GausNaiveBayes,average
0.3076923076923077,recall,GausNaiveBayes,average
0.4444444444444444,recall,GausNaiveBayes,average
0.625,recall,GausNaiveBayes,average
0.375,recall,GausNaiveBayes,average
0.2857142857142857,recall,GausNaiveBayes,average
0.6666666666666666,recall,GausNaiveBayes,average
0.6666666666666666,recall,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.7272727272727273,specificity,GausNaiveBayes,average
0.9,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.7142857142857143,specificity,GausNaiveBayes,average
0.75,specificity,GausNaiveBayes,average
0.875,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.8,specificity,GausNaiveBayes,average
0.7647058823529411,acc,LogReg,average
0.5882352941176471,acc,LogReg,average
0.625,acc,LogReg,average
0.8125,acc,LogReg,average
0.5625,acc,LogReg,average
0.8125,acc,LogReg,average
0.75,acc,LogReg,average
0.6875,acc,LogReg,average
0.75,acc,LogReg,average
0.875,acc,LogReg,average
0.8285714285714286,roc,LogReg,average
0.5,roc,LogReg,average
0.6333333333333333,roc,LogReg,average
0.9230769230769231,roc,LogReg,average
0.6666666666666666,roc,LogReg,average
0.84375,roc,LogReg,average
0.75,roc,LogReg,average
0.6984126984126985,roc,LogReg,average
0.75,roc,LogReg,average
0.85,roc,LogReg,average
0.7499999999999999,fms,LogReg,average
0.3636363636363636,fms,LogReg,average
0.5714285714285715,fms,LogReg,average
0.8695652173913044,fms,LogReg,average
0.46153846153846156,fms,LogReg,average
0.7999999999999999,fms,LogReg,average
0.75,fms,LogReg,average
0.6153846153846153,fms,LogReg,average
0.6,fms,LogReg,average
0.8333333333333334,fms,LogReg,average
1.0,precision,LogReg,average
0.4,precision,LogReg,average
0.5,precision,LogReg,average
1.0,precision,LogReg,average
0.75,precision,LogReg,average
0.8571428571428571,precision,LogReg,average
0.75,precision,LogReg,average
0.6666666666666666,precision,LogReg,average
0.75,precision,LogReg,average
0.8333333333333334,precision,LogReg,average
0.6,recall,LogReg,average
0.3333333333333333,recall,LogReg,average
0.6666666666666666,recall,LogReg,average
0.7692307692307693,recall,LogReg,average
0.3333333333333333,recall,LogReg,average
0.75,recall,LogReg,average
0.75,recall,LogReg,average
0.5714285714285714,recall,LogReg,average
0.5,recall,LogReg,average
0.8333333333333334,recall,LogReg,average
1.0,specificity,LogReg,average
0.7272727272727273,specificity,LogReg,average
0.6,specificity,LogReg,average
1.0,specificity,LogReg,average
0.8571428571428571,specificity,LogReg,average
0.875,specificity,LogReg,average
0.75,specificity,LogReg,average
0.7777777777777778,specificity,LogReg,average
0.9,specificity,LogReg,average
0.9,specificity,LogReg,average
