1,metric,model,method
0.8235294117647058,acc,RandomForest,average
0.7647058823529411,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.9375,acc,RandomForest,average
0.625,acc,RandomForest,average
0.75,acc,RandomForest,average
0.75,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.9285714285714286,roc,RandomForest,average
0.8142857142857143,roc,RandomForest,average
0.8727272727272728,roc,RandomForest,average
0.8125,roc,RandomForest,average
0.8412698412698413,roc,RandomForest,average
0.9833333333333334,roc,RandomForest,average
0.6727272727272726,roc,RandomForest,average
0.8125,roc,RandomForest,average
0.734375,roc,RandomForest,average
0.873015873015873,roc,RandomForest,average
0.7692307692307692,fms,RandomForest,average
0.7777777777777777,fms,RandomForest,average
0.8695652173913043,fms,RandomForest,average
0.7058823529411765,fms,RandomForest,average
0.6666666666666667,fms,RandomForest,average
0.923076923076923,fms,RandomForest,average
0.5,fms,RandomForest,average
0.6666666666666666,fms,RandomForest,average
0.75,fms,RandomForest,average
0.7272727272727273,fms,RandomForest,average
0.8333333333333334,precision,RandomForest,average
0.875,precision,RandomForest,average
0.8333333333333334,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.8333333333333334,precision,RandomForest,average
0.8571428571428571,precision,RandomForest,average
0.42857142857142855,precision,RandomForest,average
1.0,precision,RandomForest,average
0.75,precision,RandomForest,average
1.0,precision,RandomForest,average
0.7142857142857143,recall,RandomForest,average
0.7,recall,RandomForest,average
0.9090909090909091,recall,RandomForest,average
0.75,recall,RandomForest,average
0.5555555555555556,recall,RandomForest,average
1.0,recall,RandomForest,average
0.6,recall,RandomForest,average
0.5,recall,RandomForest,average
0.75,recall,RandomForest,average
0.5714285714285714,recall,RandomForest,average
0.9,specificity,RandomForest,average
0.8571428571428571,specificity,RandomForest,average
0.6,specificity,RandomForest,average
0.625,specificity,RandomForest,average
0.8571428571428571,specificity,RandomForest,average
0.9,specificity,RandomForest,average
0.6363636363636364,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.75,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.7647058823529411,acc,GausNaiveBayes,average
0.7058823529411765,acc,GausNaiveBayes,average
0.875,acc,GausNaiveBayes,average
0.625,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.875,roc,GausNaiveBayes,average
0.7142857142857143,roc,GausNaiveBayes,average
0.8545454545454545,roc,GausNaiveBayes,average
0.7166666666666667,roc,GausNaiveBayes,average
0.7000000000000001,roc,GausNaiveBayes,average
0.8412698412698413,roc,GausNaiveBayes,average
0.71875,roc,GausNaiveBayes,average
0.828125,roc,GausNaiveBayes,average
0.8253968253968254,roc,GausNaiveBayes,average
0.8974358974358974,roc,GausNaiveBayes,average
0.7777777777777778,fms,GausNaiveBayes,average
0.7368421052631577,fms,GausNaiveBayes,average
0.9090909090909091,fms,GausNaiveBayes,average
0.7,fms,GausNaiveBayes,average
0.5,fms,GausNaiveBayes,average
0.7692307692307692,fms,GausNaiveBayes,average
0.6666666666666666,fms,GausNaiveBayes,average
0.75,fms,GausNaiveBayes,average
0.6,fms,GausNaiveBayes,average
0.4444444444444444,fms,GausNaiveBayes,average
0.7777777777777778,precision,GausNaiveBayes,average
0.7777777777777778,precision,GausNaiveBayes,average
0.9090909090909091,precision,GausNaiveBayes,average
0.7,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.8333333333333334,precision,GausNaiveBayes,average
0.7142857142857143,precision,GausNaiveBayes,average
0.75,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.3333333333333333,precision,GausNaiveBayes,average
0.7777777777777778,recall,GausNaiveBayes,average
0.7,recall,GausNaiveBayes,average
0.9090909090909091,recall,GausNaiveBayes,average
0.7,recall,GausNaiveBayes,average
0.3333333333333333,recall,GausNaiveBayes,average
0.7142857142857143,recall,GausNaiveBayes,average
0.625,recall,GausNaiveBayes,average
0.75,recall,GausNaiveBayes,average
0.42857142857142855,recall,GausNaiveBayes,average
0.6666666666666666,recall,GausNaiveBayes,average
0.75,specificity,GausNaiveBayes,average
0.7142857142857143,specificity,GausNaiveBayes,average
0.8,specificity,GausNaiveBayes,average
0.5,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.8888888888888888,specificity,GausNaiveBayes,average
0.75,specificity,GausNaiveBayes,average
0.75,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.6923076923076923,specificity,GausNaiveBayes,average
0.8235294117647058,acc,LogReg,average
0.8235294117647058,acc,LogReg,average
0.6875,acc,LogReg,average
0.75,acc,LogReg,average
0.8125,acc,LogReg,average
0.6875,acc,LogReg,average
0.6875,acc,LogReg,average
0.75,acc,LogReg,average
0.875,acc,LogReg,average
0.75,acc,LogReg,average
0.8787878787878788,roc,LogReg,average
0.9285714285714285,roc,LogReg,average
0.7636363636363637,roc,LogReg,average
0.7636363636363637,roc,LogReg,average
0.761904761904762,roc,LogReg,average
0.761904761904762,roc,LogReg,average
0.746031746031746,roc,LogReg,average
0.8095238095238095,roc,LogReg,average
0.9333333333333333,roc,LogReg,average
0.7666666666666666,roc,LogReg,average
0.8571428571428572,fms,LogReg,average
0.8421052631578948,fms,LogReg,average
0.5454545454545454,fms,LogReg,average
0.8181818181818182,fms,LogReg,average
0.7692307692307692,fms,LogReg,average
0.6153846153846153,fms,LogReg,average
0.7058823529411765,fms,LogReg,average
0.7142857142857143,fms,LogReg,average
0.8333333333333334,fms,LogReg,average
0.5,fms,LogReg,average
0.9,precision,LogReg,average
0.8888888888888888,precision,LogReg,average
0.5,precision,LogReg,average
0.8181818181818182,precision,LogReg,average
0.8333333333333334,precision,LogReg,average
0.6666666666666666,precision,LogReg,average
0.75,precision,LogReg,average
0.7142857142857143,precision,LogReg,average
0.8333333333333334,precision,LogReg,average
1.0,precision,LogReg,average
0.8181818181818182,recall,LogReg,average
0.8,recall,LogReg,average
0.6,recall,LogReg,average
0.8181818181818182,recall,LogReg,average
0.7142857142857143,recall,LogReg,average
0.5714285714285714,recall,LogReg,average
0.6666666666666666,recall,LogReg,average
0.7142857142857143,recall,LogReg,average
0.8333333333333334,recall,LogReg,average
0.3333333333333333,recall,LogReg,average
0.8333333333333334,specificity,LogReg,average
0.8571428571428571,specificity,LogReg,average
0.7272727272727273,specificity,LogReg,average
0.6,specificity,LogReg,average
0.8888888888888888,specificity,LogReg,average
0.7777777777777778,specificity,LogReg,average
0.7142857142857143,specificity,LogReg,average
0.7777777777777778,specificity,LogReg,average
0.9,specificity,LogReg,average
1.0,specificity,LogReg,average
