1,metric,model,method
0.9230769230769231,acc,RandomForest,average
0.625,acc,RandomForest,average
0.4166666666666667,acc,RandomForest,average
0.3333333333333333,acc,RandomForest,average
0.7272727272727273,acc,RandomForest,average
0.7692307692307693,acc,RandomForest,average
0.5333333333333333,acc,RandomForest,average
0.35714285714285715,acc,RandomForest,average
0.625,acc,RandomForest,average
0.6666666666666666,acc,RandomForest,average
0.9523809523809523,roc,RandomForest,average
0.640625,roc,RandomForest,average
0.33333333333333337,roc,RandomForest,average
0.1875,roc,RandomForest,average
0.7000000000000001,roc,RandomForest,average
0.8055555555555556,roc,RandomForest,average
0.6607142857142857,roc,RandomForest,average
0.4,roc,RandomForest,average
0.5,roc,RandomForest,average
0.9142857142857143,roc,RandomForest,average
0.9090909090909091,fms,RandomForest,average
0.625,fms,RandomForest,average
0.5333333333333333,fms,RandomForest,average
0.3333333333333333,fms,RandomForest,average
0.6666666666666665,fms,RandomForest,average
0.6666666666666665,fms,RandomForest,average
0.5333333333333333,fms,RandomForest,average
0.1818181818181818,fms,RandomForest,average
0.6666666666666666,fms,RandomForest,average
0.7142857142857143,fms,RandomForest,average
1.0,precision,RandomForest,average
0.625,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.25,precision,RandomForest,average
0.75,precision,RandomForest,average
0.6,precision,RandomForest,average
0.5714285714285714,precision,RandomForest,average
0.16666666666666666,precision,RandomForest,average
1.0,precision,RandomForest,average
0.5555555555555556,precision,RandomForest,average
0.8333333333333334,recall,RandomForest,average
0.625,recall,RandomForest,average
0.4444444444444444,recall,RandomForest,average
0.5,recall,RandomForest,average
0.6,recall,RandomForest,average
0.75,recall,RandomForest,average
0.5,recall,RandomForest,average
0.2,recall,RandomForest,average
0.5,recall,RandomForest,average
1.0,recall,RandomForest,average
1.0,specificity,RandomForest,average
0.625,specificity,RandomForest,average
0.3333333333333333,specificity,RandomForest,average
0.25,specificity,RandomForest,average
0.8333333333333334,specificity,RandomForest,average
0.7777777777777778,specificity,RandomForest,average
0.5714285714285714,specificity,RandomForest,average
0.4444444444444444,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.42857142857142855,specificity,RandomForest,average
0.9230769230769231,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.5833333333333334,acc,GausNaiveBayes,average
0.3333333333333333,acc,GausNaiveBayes,average
0.8181818181818182,acc,GausNaiveBayes,average
0.5384615384615384,acc,GausNaiveBayes,average
0.8,acc,GausNaiveBayes,average
0.5,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.6666666666666666,acc,GausNaiveBayes,average
1.0,roc,GausNaiveBayes,average
0.640625,roc,GausNaiveBayes,average
0.40740740740740744,roc,GausNaiveBayes,average
0.25,roc,GausNaiveBayes,average
0.7333333333333334,roc,GausNaiveBayes,average
0.5277777777777778,roc,GausNaiveBayes,average
0.8928571428571428,roc,GausNaiveBayes,average
0.5555555555555556,roc,GausNaiveBayes,average
0.9166666666666667,roc,GausNaiveBayes,average
0.8142857142857143,roc,GausNaiveBayes,average
0.923076923076923,fms,GausNaiveBayes,average
0.7058823529411765,fms,GausNaiveBayes,average
0.7058823529411765,fms,GausNaiveBayes,average
0.2,fms,GausNaiveBayes,average
0.8000000000000002,fms,GausNaiveBayes,average
0.4,fms,GausNaiveBayes,average
0.7999999999999999,fms,GausNaiveBayes,average
0.4615384615384615,fms,GausNaiveBayes,average
0.8,fms,GausNaiveBayes,average
0.7142857142857143,fms,GausNaiveBayes,average
0.8571428571428571,precision,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
0.75,precision,GausNaiveBayes,average
0.16666666666666666,precision,GausNaiveBayes,average
0.8,precision,GausNaiveBayes,average
0.3333333333333333,precision,GausNaiveBayes,average
0.8571428571428571,precision,GausNaiveBayes,average
0.375,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.5555555555555556,precision,GausNaiveBayes,average
1.0,recall,GausNaiveBayes,average
0.75,recall,GausNaiveBayes,average
0.6666666666666666,recall,GausNaiveBayes,average
0.25,recall,GausNaiveBayes,average
0.8,recall,GausNaiveBayes,average
0.5,recall,GausNaiveBayes,average
0.75,recall,GausNaiveBayes,average
0.6,recall,GausNaiveBayes,average
0.6666666666666666,recall,GausNaiveBayes,average
1.0,recall,GausNaiveBayes,average
0.8571428571428571,specificity,GausNaiveBayes,average
0.625,specificity,GausNaiveBayes,average
0.3333333333333333,specificity,GausNaiveBayes,average
0.375,specificity,GausNaiveBayes,average
0.8333333333333334,specificity,GausNaiveBayes,average
0.5555555555555556,specificity,GausNaiveBayes,average
0.8571428571428571,specificity,GausNaiveBayes,average
0.4444444444444444,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.42857142857142855,specificity,GausNaiveBayes,average
0.9230769230769231,acc,LogReg,average
0.8125,acc,LogReg,average
0.3333333333333333,acc,LogReg,average
0.4166666666666667,acc,LogReg,average
0.8181818181818182,acc,LogReg,average
0.6923076923076923,acc,LogReg,average
0.8,acc,LogReg,average
0.5,acc,LogReg,average
0.75,acc,LogReg,average
0.75,acc,LogReg,average
0.8809523809523809,roc,LogReg,average
0.78125,roc,LogReg,average
0.33333333333333337,roc,LogReg,average
0.1875,roc,LogReg,average
0.8333333333333334,roc,LogReg,average
0.6111111111111112,roc,LogReg,average
0.8571428571428572,roc,LogReg,average
0.5111111111111111,roc,LogReg,average
0.9166666666666667,roc,LogReg,average
0.8,roc,LogReg,average
0.9090909090909091,fms,LogReg,average
0.823529411764706,fms,LogReg,average
0.42857142857142855,fms,LogReg,average
0.36363636363636365,fms,LogReg,average
0.8000000000000002,fms,LogReg,average
0.5,fms,LogReg,average
0.7999999999999999,fms,LogReg,average
0.22222222222222224,fms,LogReg,average
0.8,fms,LogReg,average
0.7692307692307693,fms,LogReg,average
1.0,precision,LogReg,average
0.7777777777777778,precision,LogReg,average
0.6,precision,LogReg,average
0.2857142857142857,precision,LogReg,average
0.8,precision,LogReg,average
0.5,precision,LogReg,average
0.8571428571428571,precision,LogReg,average
0.25,precision,LogReg,average
1.0,precision,LogReg,average
0.625,precision,LogReg,average
0.8333333333333334,recall,LogReg,average
0.875,recall,LogReg,average
0.3333333333333333,recall,LogReg,average
0.5,recall,LogReg,average
0.8,recall,LogReg,average
0.5,recall,LogReg,average
0.75,recall,LogReg,average
0.2,recall,LogReg,average
0.6666666666666666,recall,LogReg,average
1.0,recall,LogReg,average
1.0,specificity,LogReg,average
0.75,specificity,LogReg,average
0.3333333333333333,specificity,LogReg,average
0.375,specificity,LogReg,average
0.8333333333333334,specificity,LogReg,average
0.7777777777777778,specificity,LogReg,average
0.8571428571428571,specificity,LogReg,average
0.6666666666666666,specificity,LogReg,average
1.0,specificity,LogReg,average
0.5714285714285714,specificity,LogReg,average
