1,metric,model
0.47058823529411764,acc,RandomForest
0.7058823529411765,acc,RandomForest
0.75,acc,RandomForest
0.6875,acc,RandomForest
0.75,acc,RandomForest
0.5625,acc,RandomForest
0.6875,acc,RandomForest
0.5625,acc,RandomForest
0.75,acc,RandomForest
0.625,acc,RandomForest
0.4714285714285715,roc,RandomForest
0.8194444444444444,roc,RandomForest
0.8671875,roc,RandomForest
0.6349206349206349,roc,RandomForest
0.734375,roc,RandomForest
0.7,roc,RandomForest
0.790909090909091,roc,RandomForest
0.6640625,roc,RandomForest
0.9454545454545454,roc,RandomForest
0.625,roc,RandomForest
0.5263157894736842,fms,RandomForest
0.7368421052631577,fms,RandomForest
0.75,fms,RandomForest
0.6153846153846153,fms,RandomForest
0.7142857142857143,fms,RandomForest
0.631578947368421,fms,RandomForest
0.6153846153846154,fms,RandomForest
0.5333333333333333,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.5,fms,RandomForest
0.5555555555555556,precision,RandomForest
0.7,precision,RandomForest
0.75,precision,RandomForest
1.0,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.75,precision,RandomForest
0.5,precision,RandomForest
0.5714285714285714,precision,RandomForest
0.5714285714285714,precision,RandomForest
0.5,precision,RandomForest
0.5,recall,RandomForest
0.7777777777777778,recall,RandomForest
0.75,recall,RandomForest
0.4444444444444444,recall,RandomForest
0.625,recall,RandomForest
0.5454545454545454,recall,RandomForest
0.8,recall,RandomForest
0.5,recall,RandomForest
0.8,recall,RandomForest
0.5,recall,RandomForest
0.42857142857142855,specificity,RandomForest
0.625,specificity,RandomForest
0.75,specificity,RandomForest
1.0,specificity,RandomForest
0.875,specificity,RandomForest
0.6,specificity,RandomForest
0.6363636363636364,specificity,RandomForest
0.625,specificity,RandomForest
0.7272727272727273,specificity,RandomForest
0.7,specificity,RandomForest
0.6470588235294118,acc,GausNaiveBayes
0.8235294117647058,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.9375,acc,GausNaiveBayes
0.6857142857142857,roc,GausNaiveBayes
1.0,roc,GausNaiveBayes
0.453125,roc,GausNaiveBayes
0.7833333333333333,roc,GausNaiveBayes
0.9272727272727272,roc,GausNaiveBayes
0.8500000000000001,roc,GausNaiveBayes
0.7666666666666666,roc,GausNaiveBayes
0.703125,roc,GausNaiveBayes
0.8095238095238095,roc,GausNaiveBayes
1.0,roc,GausNaiveBayes
0.5714285714285715,fms,GausNaiveBayes
0.8421052631578948,fms,GausNaiveBayes
0.4615384615384615,fms,GausNaiveBayes
0.7142857142857143,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.5333333333333333,fms,GausNaiveBayes
0.7058823529411764,fms,GausNaiveBayes
0.7058823529411765,fms,GausNaiveBayes
0.6666666666666667,fms,GausNaiveBayes
0.9090909090909091,fms,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.7272727272727273,precision,GausNaiveBayes
0.6,precision,GausNaiveBayes
0.625,precision,GausNaiveBayes
0.5714285714285714,precision,GausNaiveBayes
0.8,precision,GausNaiveBayes
0.8571428571428571,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.8333333333333334,precision,GausNaiveBayes
0.8333333333333334,precision,GausNaiveBayes
0.4,recall,GausNaiveBayes
1.0,recall,GausNaiveBayes
0.375,recall,GausNaiveBayes
0.8333333333333334,recall,GausNaiveBayes
0.8,recall,GausNaiveBayes
0.4,recall,GausNaiveBayes
0.6,recall,GausNaiveBayes
0.75,recall,GausNaiveBayes
0.5555555555555556,recall,GausNaiveBayes
1.0,recall,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.75,specificity,GausNaiveBayes
0.7,specificity,GausNaiveBayes
0.7272727272727273,specificity,GausNaiveBayes
0.8333333333333334,specificity,GausNaiveBayes
0.8333333333333334,specificity,GausNaiveBayes
0.625,specificity,GausNaiveBayes
0.8571428571428571,specificity,GausNaiveBayes
0.9090909090909091,specificity,GausNaiveBayes
0.8235294117647058,acc,LogReg
0.7058823529411765,acc,LogReg
0.4375,acc,LogReg
0.5,acc,LogReg
0.6875,acc,LogReg
0.6875,acc,LogReg
0.5,acc,LogReg
0.625,acc,LogReg
0.625,acc,LogReg
0.8125,acc,LogReg
0.8285714285714285,roc,LogReg
0.7777777777777778,roc,LogReg
0.6,roc,LogReg
0.5714285714285714,roc,LogReg
0.75,roc,LogReg
0.746031746031746,roc,LogReg
0.5396825396825397,roc,LogReg
0.6333333333333333,roc,LogReg
0.8727272727272727,roc,LogReg
0.8333333333333334,roc,LogReg
0.8571428571428572,fms,LogReg
0.6666666666666666,fms,LogReg
0.4705882352941177,fms,LogReg
0.5,fms,LogReg
0.761904761904762,fms,LogReg
0.7058823529411764,fms,LogReg
0.42857142857142855,fms,LogReg
0.5714285714285715,fms,LogReg
0.625,fms,LogReg
0.7272727272727272,fms,LogReg
0.8181818181818182,precision,LogReg
0.7142857142857143,precision,LogReg
0.6666666666666666,precision,LogReg
0.5714285714285714,precision,LogReg
0.6153846153846154,precision,LogReg
0.6,precision,LogReg
0.6,precision,LogReg
0.5,precision,LogReg
0.45454545454545453,precision,LogReg
0.8,precision,LogReg
0.9,recall,LogReg
0.625,recall,LogReg
0.36363636363636365,recall,LogReg
0.4444444444444444,recall,LogReg
1.0,recall,LogReg
0.8571428571428571,recall,LogReg
0.3333333333333333,recall,LogReg
0.6666666666666666,recall,LogReg
1.0,recall,LogReg
0.6666666666666666,recall,LogReg
0.7142857142857143,specificity,LogReg
0.7777777777777778,specificity,LogReg
0.6,specificity,LogReg
0.5714285714285714,specificity,LogReg
0.375,specificity,LogReg
0.5555555555555556,specificity,LogReg
0.7142857142857143,specificity,LogReg
0.6,specificity,LogReg
0.45454545454545453,specificity,LogReg
0.9,specificity,LogReg
