1,metric,model
0.8823529411764706,acc,RandomForest
0.7058823529411765,acc,RandomForest
0.75,acc,RandomForest
0.5625,acc,RandomForest
0.75,acc,RandomForest
0.8125,acc,RandomForest
0.625,acc,RandomForest
0.75,acc,RandomForest
0.625,acc,RandomForest
0.75,acc,RandomForest
0.9333333333333333,roc,RandomForest
0.7916666666666667,roc,RandomForest
0.8809523809523809,roc,RandomForest
0.5714285714285714,roc,RandomForest
0.8095238095238095,roc,RandomForest
0.8272727272727273,roc,RandomForest
0.6833333333333333,roc,RandomForest
0.8333333333333334,roc,RandomForest
0.8015873015873016,roc,RandomForest
0.9365079365079365,roc,RandomForest
0.8000000000000002,fms,RandomForest
0.7058823529411765,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.5333333333333333,fms,RandomForest
0.7142857142857143,fms,RandomForest
0.8695652173913043,fms,RandomForest
0.4,fms,RandomForest
0.7499999999999999,fms,RandomForest
0.6250000000000001,fms,RandomForest
0.75,fms,RandomForest
0.8,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.8,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.7142857142857143,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.5,precision,RandomForest
1.0,precision,RandomForest
0.7142857142857143,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.8,recall,RandomForest
0.75,recall,RandomForest
0.5714285714285714,recall,RandomForest
0.4444444444444444,recall,RandomForest
0.7142857142857143,recall,RandomForest
0.9090909090909091,recall,RandomForest
0.3333333333333333,recall,RandomForest
0.6,recall,RandomForest
0.5555555555555556,recall,RandomForest
0.8571428571428571,recall,RandomForest
0.9166666666666666,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.8888888888888888,specificity,RandomForest
0.7142857142857143,specificity,RandomForest
0.7777777777777778,specificity,RandomForest
0.6,specificity,RandomForest
0.8,specificity,RandomForest
1.0,specificity,RandomForest
0.7142857142857143,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.8823529411764706,acc,GausNaiveBayes
0.5294117647058824,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.9375,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.9833333333333333,roc,GausNaiveBayes
0.40909090909090906,roc,GausNaiveBayes
0.703125,roc,GausNaiveBayes
0.6166666666666667,roc,GausNaiveBayes
0.9583333333333334,roc,GausNaiveBayes
0.8181818181818181,roc,GausNaiveBayes
0.9454545454545454,roc,GausNaiveBayes
0.9841269841269842,roc,GausNaiveBayes
0.59375,roc,GausNaiveBayes
0.6507936507936508,roc,GausNaiveBayes
0.7499999999999999,fms,GausNaiveBayes
0.0,fms,GausNaiveBayes
0.6153846153846154,fms,GausNaiveBayes
0.5555555555555556,fms,GausNaiveBayes
0.4,fms,GausNaiveBayes
0.8421052631578948,fms,GausNaiveBayes
0.5333333333333333,fms,GausNaiveBayes
0.9411764705882353,fms,GausNaiveBayes
0.3333333333333333,fms,GausNaiveBayes
0.36363636363636365,fms,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.0,precision,GausNaiveBayes
0.8,precision,GausNaiveBayes
0.625,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.6,recall,GausNaiveBayes
0.0,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.25,recall,GausNaiveBayes
0.7272727272727273,recall,GausNaiveBayes
0.36363636363636365,recall,GausNaiveBayes
0.8888888888888888,recall,GausNaiveBayes
0.25,recall,GausNaiveBayes
0.2857142857142857,recall,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.8181818181818182,specificity,GausNaiveBayes
0.875,specificity,GausNaiveBayes
0.5,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.75,specificity,GausNaiveBayes
0.7777777777777778,specificity,GausNaiveBayes
0.6470588235294118,acc,LogReg
0.7058823529411765,acc,LogReg
0.8125,acc,LogReg
0.6875,acc,LogReg
0.875,acc,LogReg
0.6875,acc,LogReg
0.75,acc,LogReg
0.8125,acc,LogReg
0.6875,acc,LogReg
0.5,acc,LogReg
0.75,roc,LogReg
0.7000000000000001,roc,LogReg
0.921875,roc,LogReg
0.8333333333333334,roc,LogReg
0.8181818181818182,roc,LogReg
0.6333333333333333,roc,LogReg
0.8,roc,LogReg
0.7454545454545455,roc,LogReg
