1,metric,model,method
0.5882352941176471,acc,RandomForest,average
0.8235294117647058,acc,RandomForest,average
0.75,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.75,acc,RandomForest,average
0.875,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.7424242424242424,roc,RandomForest,average
0.9142857142857144,roc,RandomForest,average
0.9206349206349206,roc,RandomForest,average
0.8166666666666668,roc,RandomForest,average
0.6666666666666666,roc,RandomForest,average
0.7380952380952381,roc,RandomForest,average
0.6984126984126984,roc,RandomForest,average
0.8253968253968254,roc,RandomForest,average
0.859375,roc,RandomForest,average
0.75,roc,RandomForest,average
0.3636363636363636,fms,RandomForest,average
0.7999999999999999,fms,RandomForest,average
0.7999999999999999,fms,RandomForest,average
0.6666666666666666,fms,RandomForest,average
0.6666666666666666,fms,RandomForest,average
0.7058823529411765,fms,RandomForest,average
0.7368421052631577,fms,RandomForest,average
0.7999999999999999,fms,RandomForest,average
0.875,fms,RandomForest,average
0.5454545454545454,fms,RandomForest,average
0.4,precision,RandomForest,average
0.75,precision,RandomForest,average
0.7272727272727273,precision,RandomForest,average
1.0,precision,RandomForest,average
1.0,precision,RandomForest,average
0.75,precision,RandomForest,average
0.7,precision,RandomForest,average
0.7272727272727273,precision,RandomForest,average
0.875,precision,RandomForest,average
0.6,precision,RandomForest,average
0.3333333333333333,recall,RandomForest,average
0.8571428571428571,recall,RandomForest,average
0.8888888888888888,recall,RandomForest,average
0.5,recall,RandomForest,average
0.5,recall,RandomForest,average
0.6666666666666666,recall,RandomForest,average
0.7777777777777778,recall,RandomForest,average
0.8888888888888888,recall,RandomForest,average
0.875,recall,RandomForest,average
0.5,recall,RandomForest,average
0.7272727272727273,specificity,RandomForest,average
0.8,specificity,RandomForest,average
0.5714285714285714,specificity,RandomForest,average
1.0,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.7142857142857143,specificity,RandomForest,average
0.5714285714285714,specificity,RandomForest,average
0.5714285714285714,specificity,RandomForest,average
0.875,specificity,RandomForest,average
0.8,specificity,RandomForest,average
0.8235294117647058,acc,GausNaiveBayes,average
0.5294117647058824,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.4375,acc,GausNaiveBayes,average
0.4375,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.5,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.875,acc,GausNaiveBayes,average
0.625,acc,GausNaiveBayes,average
0.8055555555555556,roc,GausNaiveBayes,average
0.7878787878787878,roc,GausNaiveBayes,average
0.6458333333333334,roc,GausNaiveBayes,average
0.5333333333333334,roc,GausNaiveBayes,average
0.421875,roc,GausNaiveBayes,average
0.9047619047619049,roc,GausNaiveBayes,average
0.5666666666666667,roc,GausNaiveBayes,average
0.8412698412698412,roc,GausNaiveBayes,average
0.890909090909091,roc,GausNaiveBayes,average
0.5714285714285714,roc,GausNaiveBayes,average
0.8421052631578948,fms,GausNaiveBayes,average
0.6,fms,GausNaiveBayes,average
0.7826086956521738,fms,GausNaiveBayes,average
0.4,fms,GausNaiveBayes,average
0.47058823529411764,fms,GausNaiveBayes,average
0.75,fms,GausNaiveBayes,average
0.5,fms,GausNaiveBayes,average
0.7058823529411764,fms,GausNaiveBayes,average
0.9090909090909091,fms,GausNaiveBayes,average
0.5714285714285714,fms,GausNaiveBayes,average
0.8,precision,GausNaiveBayes,average
0.42857142857142855,precision,GausNaiveBayes,average
0.8181818181818182,precision,GausNaiveBayes,average
0.3333333333333333,precision,GausNaiveBayes,average
0.4444444444444444,precision,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
0.4,precision,GausNaiveBayes,average
0.6,precision,GausNaiveBayes,average
0.9090909090909091,precision,GausNaiveBayes,average
0.5714285714285714,precision,GausNaiveBayes,average
0.8888888888888888,recall,GausNaiveBayes,average
1.0,recall,GausNaiveBayes,average
0.75,recall,GausNaiveBayes,average
0.5,recall,GausNaiveBayes,average
0.5,recall,GausNaiveBayes,average
0.8571428571428571,recall,GausNaiveBayes,average
0.6666666666666666,recall,GausNaiveBayes,average
0.8571428571428571,recall,GausNaiveBayes,average
0.9090909090909091,recall,GausNaiveBayes,average
0.5714285714285714,recall,GausNaiveBayes,average
0.75,specificity,GausNaiveBayes,average
0.2727272727272727,specificity,GausNaiveBayes,average
0.5,specificity,GausNaiveBayes,average
0.4,specificity,GausNaiveBayes,average
0.375,specificity,GausNaiveBayes,average
0.6666666666666666,specificity,GausNaiveBayes,average
