1,metric,model
0.5882352941176471,acc,RandomForest
0.7647058823529411,acc,RandomForest
0.625,acc,RandomForest
0.75,acc,RandomForest
0.6875,acc,RandomForest
0.9375,acc,RandomForest
0.8125,acc,RandomForest
0.8125,acc,RandomForest
0.625,acc,RandomForest
0.6875,acc,RandomForest
0.5166666666666666,roc,RandomForest
0.8181818181818181,roc,RandomForest
0.7,roc,RandomForest
0.9365079365079365,roc,RandomForest
0.875,roc,RandomForest
1.0,roc,RandomForest
0.8125,roc,RandomForest
0.9,roc,RandomForest
0.7619047619047619,roc,RandomForest
0.8833333333333333,roc,RandomForest
0.22222222222222224,fms,RandomForest
0.7999999999999999,fms,RandomForest
0.4,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.6153846153846154,fms,RandomForest
0.9523809523809523,fms,RandomForest
0.8695652173913043,fms,RandomForest
0.7272727272727272,fms,RandomForest
0.6250000000000001,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.25,precision,RandomForest
0.8888888888888888,precision,RandomForest
0.5,precision,RandomForest
0.8,precision,RandomForest
0.8,precision,RandomForest
1.0,precision,RandomForest
0.9090909090909091,precision,RandomForest
0.8,precision,RandomForest
0.5555555555555556,precision,RandomForest
0.6,precision,RandomForest
0.2,recall,RandomForest
0.7272727272727273,recall,RandomForest
0.3333333333333333,recall,RandomForest
0.5714285714285714,recall,RandomForest
0.5,recall,RandomForest
0.9090909090909091,recall,RandomForest
0.8333333333333334,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.7142857142857143,recall,RandomForest
0.5,recall,RandomForest
0.75,specificity,RandomForest
0.8333333333333334,specificity,RandomForest
0.8,specificity,RandomForest
0.8888888888888888,specificity,RandomForest
0.875,specificity,RandomForest
1.0,specificity,RandomForest
0.75,specificity,RandomForest
0.9,specificity,RandomForest
0.5555555555555556,specificity,RandomForest
0.8,specificity,RandomForest
0.5294117647058824,acc,GausNaiveBayes
0.7647058823529411,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.875,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.9375,acc,GausNaiveBayes
0.6527777777777778,roc,GausNaiveBayes
0.7916666666666666,roc,GausNaiveBayes
