1,metric,model
0.5333333333333333,acc,RandomForest
0.75,acc,RandomForest
0.625,acc,RandomForest
0.4,acc,RandomForest
0.8571428571428571,acc,RandomForest
0.7333333333333333,acc,RandomForest
0.6666666666666666,acc,RandomForest
0.8571428571428571,acc,RandomForest
0.7142857142857143,acc,RandomForest
0.6923076923076923,acc,RandomForest
0.6851851851851851,roc,RandomForest
0.7416666666666666,roc,RandomForest
0.875,roc,RandomForest
0.5,roc,RandomForest
0.8958333333333334,roc,RandomForest
0.7272727272727273,roc,RandomForest
0.6714285714285715,roc,RandomForest
1.0,roc,RandomForest
0.9375,roc,RandomForest
0.7261904761904763,roc,RandomForest
0.46153846153846156,fms,RandomForest
0.7499999999999999,fms,RandomForest
0.5,fms,RandomForest
0.4,fms,RandomForest
0.8571428571428571,fms,RandomForest
0.6,fms,RandomForest
0.7142857142857143,fms,RandomForest
0.8571428571428571,fms,RandomForest
0.7142857142857143,fms,RandomForest
0.6,fms,RandomForest
0.75,precision,RandomForest
0.6,precision,RandomForest
0.75,precision,RandomForest
0.3333333333333333,precision,RandomForest
0.75,precision,RandomForest
0.5,precision,RandomForest
0.7142857142857143,precision,RandomForest
1.0,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.75,precision,RandomForest
0.3333333333333333,recall,RandomForest
1.0,recall,RandomForest
0.375,recall,RandomForest
0.5,recall,RandomForest
1.0,recall,RandomForest
0.75,recall,RandomForest
0.7142857142857143,recall,RandomForest
0.75,recall,RandomForest
0.625,recall,RandomForest
0.5,recall,RandomForest
0.8333333333333334,specificity,RandomForest
0.6,specificity,RandomForest
0.875,specificity,RandomForest
0.3333333333333333,specificity,RandomForest
0.75,specificity,RandomForest
0.7272727272727273,specificity,RandomForest
0.6,specificity,RandomForest
1.0,specificity,RandomForest
0.8333333333333334,specificity,RandomForest
0.8571428571428571,specificity,RandomForest
0.5333333333333333,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.5333333333333333,acc,GausNaiveBayes
0.7142857142857143,acc,GausNaiveBayes
0.4666666666666667,acc,GausNaiveBayes
0.5833333333333334,acc,GausNaiveBayes
0.6428571428571429,acc,GausNaiveBayes
0.6428571428571429,acc,GausNaiveBayes
0.6923076923076923,acc,GausNaiveBayes
0.6111111111111112,roc,GausNaiveBayes
0.7666666666666666,roc,GausNaiveBayes
0.765625,roc,GausNaiveBayes
0.4444444444444444,roc,GausNaiveBayes
0.6875,roc,GausNaiveBayes
0.5909090909090909,roc,GausNaiveBayes
0.8571428571428572,roc,GausNaiveBayes
0.8541666666666667,roc,GausNaiveBayes
0.9375,roc,GausNaiveBayes
0.6190476190476191,roc,GausNaiveBayes
0.5333333333333333,fms,GausNaiveBayes
0.7272727272727272,fms,GausNaiveBayes
0.5,fms,GausNaiveBayes
0.3636363636363636,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.3333333333333333,fms,GausNaiveBayes
0.4444444444444445,fms,GausNaiveBayes
0.6153846153846154,fms,GausNaiveBayes
0.5454545454545454,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.8,precision,GausNaiveBayes
0.75,precision,GausNaiveBayes
0.4,precision,GausNaiveBayes
0.75,precision,GausNaiveBayes
0.25,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.8,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.75,precision,GausNaiveBayes
0.4444444444444444,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.375,recall,GausNaiveBayes
0.3333333333333333,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.2857142857142857,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.375,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.9,specificity,GausNaiveBayes
0.875,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.875,specificity,GausNaiveBayes
0.45454545454545453,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.8333333333333334,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.8571428571428571,specificity,GausNaiveBayes
0.5333333333333333,acc,LogReg
0.6875,acc,LogReg
0.75,acc,LogReg
0.4666666666666667,acc,LogReg
0.8571428571428571,acc,LogReg
0.6,acc,LogReg
0.5833333333333334,acc,LogReg
0.7857142857142857,acc,LogReg
0.7142857142857143,acc,LogReg
0.6923076923076923,acc,LogReg
0.5185185185185185,roc,LogReg
0.7166666666666667,roc,LogReg
