1,metric,model
0.3333333333333333,acc,RandomForest
0.5625,acc,RandomForest
0.6666666666666666,acc,RandomForest
0.5,acc,RandomForest
0.6428571428571429,acc,RandomForest
0.6363636363636364,acc,RandomForest
0.5833333333333334,acc,RandomForest
0.6,acc,RandomForest
0.23076923076923078,acc,RandomForest
0.6153846153846154,acc,RandomForest
0.38888888888888884,roc,RandomForest
0.7833333333333333,roc,RandomForest
0.7410714285714285,roc,RandomForest
0.7083333333333333,roc,RandomForest
0.7500000000000001,roc,RandomForest
0.7833333333333333,roc,RandomForest
0.625,roc,RandomForest
0.7083333333333334,roc,RandomForest
0.2857142857142857,roc,RandomForest
0.6666666666666667,roc,RandomForest
0.42857142857142855,fms,RandomForest
0.5882352941176471,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.6,fms,RandomForest
0.4444444444444445,fms,RandomForest
0.3333333333333333,fms,RandomForest
0.16666666666666666,fms,RandomForest
0.6153846153846153,fms,RandomForest
0.375,precision,RandomForest
0.45454545454545453,precision,RandomForest
0.7142857142857143,precision,RandomForest
0.6,precision,RandomForest
0.7142857142857143,precision,RandomForest
0.75,precision,RandomForest
0.4,precision,RandomForest
0.5,precision,RandomForest
0.16666666666666666,precision,RandomForest
0.5714285714285714,precision,RandomForest
0.5,recall,RandomForest
0.8333333333333334,recall,RandomForest
0.625,recall,RandomForest
0.5,recall,RandomForest
0.625,recall,RandomForest
0.5,recall,RandomForest
0.5,recall,RandomForest
0.25,recall,RandomForest
0.16666666666666666,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.16666666666666666,specificity,RandomForest
0.4,specificity,RandomForest
0.7142857142857143,specificity,RandomForest
0.5,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.8,specificity,RandomForest
0.625,specificity,RandomForest
0.8333333333333334,specificity,RandomForest
0.2857142857142857,specificity,RandomForest
0.5714285714285714,specificity,RandomForest
0.6923076923076923,acc,GausNaiveBayes
0.7692307692307693,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.5833333333333334,acc,GausNaiveBayes
0.7142857142857143,acc,GausNaiveBayes
0.5384615384615384,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.6153846153846154,acc,GausNaiveBayes
0.4166666666666667,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.825,roc,GausNaiveBayes
