1,metric,model
0.6470588235294118,acc,RandomForest
0.7058823529411765,acc,RandomForest
0.6875,acc,RandomForest
0.6875,acc,RandomForest
0.8125,acc,RandomForest
0.75,acc,RandomForest
0.875,acc,RandomForest
0.6875,acc,RandomForest
0.625,acc,RandomForest
0.625,acc,RandomForest
0.7651515151515151,roc,RandomForest
0.7878787878787878,roc,RandomForest
0.8125,roc,RandomForest
0.5634920634920635,roc,RandomForest
0.95,roc,RandomForest
0.8363636363636364,roc,RandomForest
0.9,roc,RandomForest
0.84375,roc,RandomForest
0.75,roc,RandomForest
0.78125,roc,RandomForest
0.6666666666666665,fms,RandomForest
0.6153846153846153,fms,RandomForest
0.6153846153846154,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.8,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.9,fms,RandomForest
0.7058823529411765,fms,RandomForest
0.6666666666666665,fms,RandomForest
0.5714285714285715,fms,RandomForest
0.8571428571428571,precision,RandomForest
0.5714285714285714,precision,RandomForest
0.8,precision,RandomForest
0.75,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.5714285714285714,precision,RandomForest
0.9,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.75,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.5454545454545454,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.5,recall,RandomForest
0.42857142857142855,recall,RandomForest
1.0,recall,RandomForest
0.8,recall,RandomForest
0.9,recall,RandomForest
0.75,recall,RandomForest
0.6,recall,RandomForest
0.5,recall,RandomForest
0.8333333333333334,specificity,RandomForest
0.7272727272727273,specificity,RandomForest
0.875,specificity,RandomForest
0.8888888888888888,specificity,RandomForest
0.7,specificity,RandomForest
0.7272727272727273,specificity,RandomForest
0.8333333333333334,specificity,RandomForest
0.625,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.75,specificity,RandomForest
0.47058823529411764,acc,GausNaiveBayes
0.6470588235294118,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.7878787878787878,roc,GausNaiveBayes
0.7727272727272727,roc,GausNaiveBayes
0.84375,roc,GausNaiveBayes
0.6666666666666667,roc,GausNaiveBayes
0.9333333333333333,roc,GausNaiveBayes
0.8181818181818182,roc,GausNaiveBayes
0.8333333333333334,roc,GausNaiveBayes
0.828125,roc,GausNaiveBayes
0.8166666666666667,roc,GausNaiveBayes
0.796875,roc,GausNaiveBayes
0.39999999999999997,fms,GausNaiveBayes
0.25,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.22222222222222224,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.7272727272727272,fms,GausNaiveBayes
0.7777777777777777,fms,GausNaiveBayes
0.5714285714285715,fms,GausNaiveBayes
0.4615384615384615,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.75,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.875,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.7142857142857143,precision,GausNaiveBayes
0.2727272727272727,recall,GausNaiveBayes
0.16666666666666666,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.14285714285714285,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.8,recall,GausNaiveBayes
0.7,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.3,recall,GausNaiveBayes
0.625,recall,GausNaiveBayes
0.8333333333333334,specificity,GausNaiveBayes
0.9090909090909091,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.8888888888888888,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.8181818181818182,specificity,GausNaiveBayes
0.8333333333333334,specificity,GausNaiveBayes
0.75,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.75,specificity,GausNaiveBayes
0.6470588235294118,acc,LogReg
0.7058823529411765,acc,LogReg
0.875,acc,LogReg
0.5,acc,LogReg
0.6875,acc,LogReg
0.6875,acc,LogReg
0.9375,acc,LogReg
0.6875,acc,LogReg
0.5625,acc,LogReg
0.625,acc,LogReg
0.8181818181818182,roc,LogReg
0.6515151515151516,roc,LogReg
0.859375,roc,LogReg
0.5396825396825397,roc,LogReg
0.9166666666666667,roc,LogReg
0.9090909090909091,roc,LogReg
0.9166666666666666,roc,LogReg
0.765625,roc,LogReg
0.7333333333333335,roc,LogReg
0.765625,roc,LogReg
0.6666666666666665,fms,LogReg
0.5454545454545454,fms,LogReg
0.875,fms,LogReg
0.42857142857142855,fms,LogReg
0.6666666666666667,fms,LogReg
0.6153846153846154,fms,LogReg
0.9473684210526316,fms,LogReg
0.6666666666666666,fms,LogReg
0.5333333333333333,fms,LogReg
0.625,fms,LogReg
0.8571428571428571,precision,LogReg
0.6,precision,LogReg
0.875,precision,LogReg
0.42857142857142855,precision,LogReg
0.5555555555555556,precision,LogReg
0.5,precision,LogReg
1.0,precision,LogReg
0.7142857142857143,precision,LogReg
0.8,precision,LogReg
0.625,precision,LogReg
0.5454545454545454,recall,LogReg
0.5,recall,LogReg
0.875,recall,LogReg
0.42857142857142855,recall,LogReg
0.8333333333333334,recall,LogReg
0.8,recall,LogReg
0.9,recall,LogReg
0.625,recall,LogReg
0.4,recall,LogReg
0.625,recall,LogReg
0.8333333333333334,specificity,LogReg
0.8181818181818182,specificity,LogReg
0.875,specificity,LogReg
0.5555555555555556,specificity,LogReg
0.6,specificity,LogReg
0.6363636363636364,specificity,LogReg
1.0,specificity,LogReg
0.75,specificity,LogReg
0.8333333333333334,specificity,LogReg
0.625,specificity,LogReg
