1,metric,model
0.7647058823529411,acc,RandomForest
0.6470588235294118,acc,RandomForest
0.75,acc,RandomForest
0.5625,acc,RandomForest
0.75,acc,RandomForest
0.875,acc,RandomForest
0.625,acc,RandomForest
0.5625,acc,RandomForest
0.8125,acc,RandomForest
0.9375,acc,RandomForest
0.8333333333333334,roc,RandomForest
0.85,roc,RandomForest
0.8666666666666667,roc,RandomForest
0.6190476190476191,roc,RandomForest
0.8333333333333334,roc,RandomForest
0.8412698412698413,roc,RandomForest
0.5583333333333333,roc,RandomForest
0.625,roc,RandomForest
0.8727272727272727,roc,RandomForest
0.888888888888889,roc,RandomForest
0.7142857142857143,fms,RandomForest
0.625,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.4615384615384615,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.8750000000000001,fms,RandomForest
0.5,fms,RandomForest
0.5333333333333333,fms,RandomForest
0.8571428571428572,fms,RandomForest
0.9473684210526316,fms,RandomForest
1.0,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.5,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.7777777777777778,precision,RandomForest
0.5,precision,RandomForest
0.5714285714285714,precision,RandomForest
0.9,precision,RandomForest
0.9,precision,RandomForest
0.5555555555555556,recall,RandomForest
0.5,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.42857142857142855,recall,RandomForest
0.6666666666666666,recall,RandomForest
1.0,recall,RandomForest
0.5,recall,RandomForest
0.5,recall,RandomForest
0.8181818181818182,recall,RandomForest
1.0,recall,RandomForest
1.0,specificity,RandomForest
0.8571428571428571,specificity,RandomForest
0.8,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.8,specificity,RandomForest
0.7777777777777778,specificity,RandomForest
0.7,specificity,RandomForest
0.625,specificity,RandomForest
0.8,specificity,RandomForest
0.8571428571428571,specificity,RandomForest
0.5882352941176471,acc,GausNaiveBayes
0.7058823529411765,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.8194444444444444,roc,GausNaiveBayes
0.7916666666666665,roc,GausNaiveBayes
0.7090909090909091,roc,GausNaiveBayes
0.7833333333333333,roc,GausNaiveBayes
0.6875,roc,GausNaiveBayes
0.7666666666666667,roc,GausNaiveBayes
0.5079365079365079,roc,GausNaiveBayes
0.6031746031746033,roc,GausNaiveBayes
0.7916666666666666,roc,GausNaiveBayes
0.6909090909090909,roc,GausNaiveBayes
0.6956521739130435,fms,GausNaiveBayes
0.7368421052631579,fms,GausNaiveBayes
0.5333333333333333,fms,GausNaiveBayes
0.7368421052631577,fms,GausNaiveBayes
0.7000000000000001,fms,GausNaiveBayes
0.5714285714285715,fms,GausNaiveBayes
0.5333333333333333,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.7826086956521738,fms,GausNaiveBayes
0.5714285714285714,fms,GausNaiveBayes
0.5714285714285714,precision,GausNaiveBayes
0.6363636363636364,precision,GausNaiveBayes
0.4,precision,GausNaiveBayes
0.7777777777777778,precision,GausNaiveBayes
