1,metric,model
0.8333333333333334,acc,RandomForest
0.7692307692307693,acc,RandomForest
0.5,acc,RandomForest
0.5714285714285714,acc,RandomForest
0.5384615384615384,acc,RandomForest
0.5454545454545454,acc,RandomForest
0.5333333333333333,acc,RandomForest
0.4166666666666667,acc,RandomForest
0.6153846153846154,acc,RandomForest
0.46153846153846156,acc,RandomForest
0.763888888888889,roc,RandomForest
0.75,roc,RandomForest
0.761904761904762,roc,RandomForest
0.7222222222222222,roc,RandomForest
0.5694444444444444,roc,RandomForest
0.39285714285714285,roc,RandomForest
0.5568181818181819,roc,RandomForest
0.34285714285714286,roc,RandomForest
0.6666666666666667,roc,RandomForest
0.5,roc,RandomForest
0.8333333333333334,fms,RandomForest
0.6666666666666665,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.5,fms,RandomForest
0.6250000000000001,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.46153846153846156,fms,RandomForest
0.4615384615384615,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.4615384615384615,fms,RandomForest
0.8333333333333334,precision,RandomForest
0.6,precision,RandomForest
0.75,precision,RandomForest
0.42857142857142855,precision,RandomForest
0.7142857142857143,precision,RandomForest
0.625,precision,RandomForest
0.3333333333333333,precision,RandomForest
0.375,precision,RandomForest
0.6,precision,RandomForest
0.5,precision,RandomForest
0.8333333333333334,recall,RandomForest
0.75,recall,RandomForest
0.42857142857142855,recall,RandomForest
0.6,recall,RandomForest
0.5555555555555556,recall,RandomForest
0.7142857142857143,recall,RandomForest
0.75,recall,RandomForest
0.6,recall,RandomForest
0.5,recall,RandomForest
0.42857142857142855,recall,RandomForest
0.8333333333333334,specificity,RandomForest
0.7777777777777778,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.5555555555555556,specificity,RandomForest
0.5,specificity,RandomForest
0.25,specificity,RandomForest
0.45454545454545453,specificity,RandomForest
0.2857142857142857,specificity,RandomForest
0.7142857142857143,specificity,RandomForest
0.5,specificity,RandomForest
0.7333333333333333,acc,GausNaiveBayes
0.7142857142857143,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.7692307692307693,acc,GausNaiveBayes
0.6923076923076923,acc,GausNaiveBayes
0.5833333333333334,acc,GausNaiveBayes
0.8333333333333334,acc,GausNaiveBayes
0.5454545454545454,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.7142857142857143,acc,GausNaiveBayes
0.74,roc,GausNaiveBayes
0.775,roc,GausNaiveBayes
0.4,roc,GausNaiveBayes
0.825,roc,GausNaiveBayes
0.4,roc,GausNaiveBayes
0.6857142857142857,roc,GausNaiveBayes
0.8333333333333334,roc,GausNaiveBayes
0.5333333333333333,roc,GausNaiveBayes
0.6285714285714287,roc,GausNaiveBayes
0.7,roc,GausNaiveBayes
0.8000000000000002,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.5454545454545454,fms,GausNaiveBayes
0.7272727272727272,fms,GausNaiveBayes
0.8000000000000002,fms,GausNaiveBayes
0.6153846153846154,fms,GausNaiveBayes
0.8333333333333334,fms,GausNaiveBayes
0.6153846153846153,fms,GausNaiveBayes
0.4000000000000001,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.8,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.8,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.8333333333333334,precision,GausNaiveBayes
0.5714285714285714,precision,GausNaiveBayes
0.4,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.8,recall,GausNaiveBayes
0.75,recall,GausNaiveBayes
0.6,recall,GausNaiveBayes
0.8,recall,GausNaiveBayes
0.8,recall,GausNaiveBayes
0.8,recall,GausNaiveBayes
0.8333333333333334,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.4,recall,GausNaiveBayes
0.75,recall,GausNaiveBayes
0.6,specificity,GausNaiveBayes
0.7,specificity,GausNaiveBayes
0.4,specificity,GausNaiveBayes
0.75,specificity,GausNaiveBayes
0.3333333333333333,specificity,GausNaiveBayes
0.42857142857142855,specificity,GausNaiveBayes
0.8333333333333334,specificity,GausNaiveBayes
0.4,specificity,GausNaiveBayes
0.5714285714285714,specificity,GausNaiveBayes
0.7,specificity,GausNaiveBayes
0.6666666666666666,acc,LogReg
0.4666666666666667,acc,LogReg
0.5714285714285714,acc,LogReg
0.5833333333333334,acc,LogReg
0.75,acc,LogReg
0.6428571428571429,acc,LogReg
0.6923076923076923,acc,LogReg
0.4,acc,LogReg
0.8181818181818182,acc,LogReg
0.6153846153846154,acc,LogReg
0.7428571428571429,roc,LogReg
0.5,roc,LogReg
0.575,roc,LogReg
0.4857142857142857,roc,LogReg
0.6666666666666667,roc,LogReg
0.6666666666666667,roc,LogReg
0.575,roc,LogReg
0.41666666666666663,roc,LogReg
0.8571428571428571,roc,LogReg
0.7,roc,LogReg
0.6666666666666666,fms,LogReg
0.42857142857142855,fms,LogReg
0.4,fms,LogReg
0.6666666666666666,fms,LogReg
0.823529411764706,fms,LogReg
0.5454545454545454,fms,LogReg
0.6,fms,LogReg
0.4,fms,LogReg
0.8333333333333333,fms,LogReg
0.4444444444444445,fms,LogReg
0.8,precision,LogReg
0.42857142857142855,precision,LogReg
0.3333333333333333,precision,LogReg
0.625,precision,LogReg
0.875,precision,LogReg
0.5,precision,LogReg
0.6,precision,LogReg
0.3333333333333333,precision,LogReg
1.0,precision,LogReg
0.5,precision,LogReg
0.5714285714285714,recall,LogReg
0.42857142857142855,recall,LogReg
0.5,recall,LogReg
0.7142857142857143,recall,LogReg
0.7777777777777778,recall,LogReg
0.6,recall,LogReg
0.6,recall,LogReg
0.5,recall,LogReg
0.7142857142857143,recall,LogReg
0.4,recall,LogReg
0.8,specificity,LogReg
0.5,specificity,LogReg
0.6,specificity,LogReg
0.4,specificity,LogReg
0.6666666666666666,specificity,LogReg
0.6666666666666666,specificity,LogReg
0.75,specificity,LogReg
0.3333333333333333,specificity,LogReg
1.0,specificity,LogReg
0.75,specificity,LogReg
