1,metric,model
0.7647058823529411,acc,RandomForest
0.8823529411764706,acc,RandomForest
0.8125,acc,RandomForest
0.9375,acc,RandomForest
0.6875,acc,RandomForest
0.6875,acc,RandomForest
0.75,acc,RandomForest
0.625,acc,RandomForest
0.6875,acc,RandomForest
0.75,acc,RandomForest
0.7357142857142857,roc,RandomForest
0.8888888888888888,roc,RandomForest
0.8833333333333334,roc,RandomForest
0.9500000000000001,roc,RandomForest
0.6166666666666667,roc,RandomForest
0.7666666666666667,roc,RandomForest
0.71875,roc,RandomForest
0.7692307692307693,roc,RandomForest
0.825,roc,RandomForest
0.828125,roc,RandomForest
0.75,fms,RandomForest
0.8888888888888888,fms,RandomForest
0.7272727272727272,fms,RandomForest
0.923076923076923,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.7368421052631577,fms,RandomForest
0.7142857142857143,fms,RandomForest
0.7272727272727274,fms,RandomForest
0.6666666666666667,fms,RandomForest
0.75,fms,RandomForest
0.6666666666666666,precision,RandomForest
0.8888888888888888,precision,RandomForest
0.8,precision,RandomForest
0.8571428571428571,precision,RandomForest
0.6,precision,RandomForest
0.7777777777777778,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.8888888888888888,precision,RandomForest
0.5555555555555556,precision,RandomForest
0.75,precision,RandomForest
0.8571428571428571,recall,RandomForest
0.8888888888888888,recall,RandomForest
0.6666666666666666,recall,RandomForest
1.0,recall,RandomForest
0.5,recall,RandomForest
0.7,recall,RandomForest
0.625,recall,RandomForest
0.6153846153846154,recall,RandomForest
0.8333333333333334,recall,RandomForest
0.75,recall,RandomForest
0.7,specificity,RandomForest
0.875,specificity,RandomForest
0.9,specificity,RandomForest
0.9,specificity,RandomForest
0.8,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.875,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.6,specificity,RandomForest
0.75,specificity,RandomForest
0.4117647058823529,acc,GausNaiveBayes
0.5882352941176471,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.625,roc,GausNaiveBayes
0.5972222222222223,roc,GausNaiveBayes
0.8545454545454545,roc,GausNaiveBayes
0.4375,roc,GausNaiveBayes
0.7948717948717949,roc,GausNaiveBayes
0.9206349206349207,roc,GausNaiveBayes
0.8666666666666667,roc,GausNaiveBayes
0.7818181818181819,roc,GausNaiveBayes
0.7936507936507936,roc,GausNaiveBayes
0.6458333333333333,roc,GausNaiveBayes
0.5,fms,GausNaiveBayes
0.631578947368421,fms,GausNaiveBayes
0.625,fms,GausNaiveBayes
0.7272727272727272,fms,GausNaiveBayes
0.7272727272727274,fms,GausNaiveBayes
0.782608695652174,fms,GausNaiveBayes
0.7142857142857143,fms,GausNaiveBayes
0.7142857142857143,fms,GausNaiveBayes
0.7058823529411765,fms,GausNaiveBayes
0.46153846153846156,fms,GausNaiveBayes
0.4166666666666667,precision,GausNaiveBayes
