1,metric,model
0.8235294117647058,acc,average
0.4117647058823529,acc,average
0.8125,acc,average
0.6875,acc,average
0.75,acc,average
0.625,acc,average
0.6875,acc,average
0.8125,acc,average
0.5625,acc,average
0.625,acc,average
0.9696969696969696,roc,average
0.5555555555555556,roc,average
0.890625,roc,average
0.8412698412698413,roc,average
0.9166666666666667,roc,average
0.5833333333333333,roc,average
0.7833333333333333,roc,average
0.8909090909090909,roc,average
0.65625,roc,average
0.78125,roc,average
0.8,fms,average
0.16666666666666666,fms,average
0.823529411764706,fms,average
0.7058823529411764,fms,average
0.8000000000000002,fms,average
0.7000000000000001,fms,average
0.7058823529411764,fms,average
0.7272727272727272,fms,average
0.5333333333333333,fms,average
0.7000000000000001,fms,average
0.6666666666666666,precision,average
0.3333333333333333,precision,average
0.7777777777777778,precision,average
0.6,precision,average
0.8,precision,average
0.875,precision,average
0.5454545454545454,precision,average
0.6666666666666666,precision,average
0.5714285714285714,precision,average
0.5833333333333334,precision,average
1.0,recall,average
0.1111111111111111,recall,average
0.875,recall,average
0.8571428571428571,recall,average
0.8,recall,average
0.5833333333333334,recall,average
1.0,recall,average
0.8,recall,average
0.5,recall,average
0.875,recall,average
0.7272727272727273,specificity,average
0.75,specificity,average
0.75,specificity,average
0.5555555555555556,specificity,average
0.6666666666666666,specificity,average
0.75,specificity,average
0.5,specificity,average
0.8181818181818182,specificity,average
0.625,specificity,average
0.375,specificity,average
