1,metric,model
0.6428571428571429,acc,average
0.5625,acc,average
0.7142857142857143,acc,average
0.5333333333333333,acc,average
0.75,acc,average
0.7333333333333333,acc,average
0.6428571428571429,acc,average
0.6428571428571429,acc,average
0.6666666666666666,acc,average
0.6428571428571429,acc,average
0.4666666666666667,roc,average
0.546875,roc,average
0.7959183673469388,roc,average
0.54,roc,average
0.8,roc,average
0.7777777777777778,roc,average
0.6041666666666666,roc,average
0.825,roc,average
0.7714285714285715,roc,average
0.6041666666666666,roc,average
0.28571428571428575,fms,average
0.5333333333333333,fms,average
0.7142857142857143,fms,average
0.22222222222222224,fms,average
0.7777777777777778,fms,average
0.75,fms,average
0.5454545454545454,fms,average
0.5454545454545454,fms,average
0.6,fms,average
0.6666666666666666,fms,average
0.5,precision,average
0.5714285714285714,precision,average
0.7142857142857143,precision,average
0.25,precision,average
1.0,precision,average
0.8571428571428571,precision,average
0.6,precision,average
0.42857142857142855,precision,average
0.6,precision,average
0.7142857142857143,precision,average
0.2,recall,average
0.5,recall,average
0.7142857142857143,recall,average
0.2,recall,average
0.6363636363636364,recall,average
0.6666666666666666,recall,average
0.5,recall,average
0.75,recall,average
0.6,recall,average
0.625,recall,average
0.8888888888888888,specificity,average
0.625,specificity,average
0.7142857142857143,specificity,average
0.7,specificity,average
1.0,specificity,average
0.8333333333333334,specificity,average
0.75,specificity,average
0.6,specificity,average
0.7142857142857143,specificity,average
0.6666666666666666,specificity,average
