1,metric,model
0.9411764705882353,acc,Language
0.5294117647058824,acc,Language
0.625,acc,Language
0.6875,acc,Language
0.8125,acc,Language
0.8125,acc,Language
0.4375,acc,Language
0.8125,acc,Language
0.6875,acc,Language
0.8125,acc,Language
0.9428571428571428,roc,Language
0.6060606060606061,roc,Language
0.6333333333333334,roc,Language
0.8717948717948718,roc,Language
0.8253968253968252,roc,Language
0.75,roc,Language
0.453125,roc,Language
0.9682539682539683,roc,Language
0.6666666666666666,roc,Language
0.9166666666666667,roc,Language
0.9473684210526316,fms,Language
0.42857142857142855,fms,Language
0.5714285714285715,fms,Language
0.7826086956521738,fms,Language
0.823529411764706,fms,Language
0.823529411764706,fms,Language
0.5263157894736842,fms,Language
0.8235294117647058,fms,Language
0.5454545454545454,fms,Language
0.7692307692307692,fms,Language
1.0,precision,Language
0.375,precision,Language
0.5,precision,Language
0.9,precision,Language
0.875,precision,Language
0.7777777777777778,precision,Language
0.45454545454545453,precision,Language
0.7,precision,Language
0.6,precision,Language
0.7142857142857143,precision,Language
0.9,recall,Language
0.5,recall,Language
0.6666666666666666,recall,Language
0.6923076923076923,recall,Language
0.7777777777777778,recall,Language
0.875,recall,Language
0.625,recall,Language
1.0,recall,Language
0.5,recall,Language
0.8333333333333334,recall,Language
1.0,specificity,Language
0.5454545454545454,specificity,Language
0.6,specificity,Language
0.6666666666666666,specificity,Language
0.8571428571428571,specificity,Language
0.75,specificity,Language
0.25,specificity,Language
0.6666666666666666,specificity,Language
0.8,specificity,Language
0.8,specificity,Language
