1,metric,model
0.6470588235294118,acc,Memory
0.7647058823529411,acc,Memory
0.6875,acc,Memory
0.625,acc,Memory
0.75,acc,Memory
0.5,acc,Memory
0.625,acc,Memory
0.8125,acc,Memory
0.625,acc,Memory
0.75,acc,Memory
0.6805555555555556,roc,Memory
0.7777777777777778,roc,Memory
0.85,roc,Memory
0.5,roc,Memory
0.7,roc,Memory
0.5714285714285714,roc,Memory
0.875,roc,Memory
0.9206349206349206,roc,Memory
0.6507936507936508,roc,Memory
0.761904761904762,roc,Memory
0.6666666666666665,fms,Memory
0.7777777777777778,fms,Memory
0.7058823529411764,fms,Memory
0.6666666666666665,fms,Memory
0.8181818181818182,fms,Memory
0.3333333333333333,fms,Memory
0.5,fms,Memory
0.7999999999999999,fms,Memory
0.5,fms,Memory
0.75,fms,Memory
0.6,precision,Memory
0.7777777777777778,precision,Memory
0.8571428571428571,precision,Memory
0.6,precision,Memory
0.75,precision,Memory
0.4,precision,Memory
0.375,precision,Memory
0.75,precision,Memory
0.6,precision,Memory
0.8571428571428571,precision,Memory
0.75,recall,Memory
0.7777777777777778,recall,Memory
0.6,recall,Memory
0.75,recall,Memory
0.9,recall,Memory
0.2857142857142857,recall,Memory
0.75,recall,Memory
0.8571428571428571,recall,Memory
0.42857142857142855,recall,Memory
0.6666666666666666,recall,Memory
0.5555555555555556,specificity,Memory
0.75,specificity,Memory
0.8333333333333334,specificity,Memory
0.5,specificity,Memory
0.5,specificity,Memory
0.6666666666666666,specificity,Memory
0.5833333333333334,specificity,Memory
0.7777777777777778,specificity,Memory
0.7777777777777778,specificity,Memory
0.8571428571428571,specificity,Memory
