1,metric,model
0.5882352941176471,acc,Reading
0.7058823529411765,acc,Reading
0.8125,acc,Reading
0.4375,acc,Reading
0.9375,acc,Reading
0.6875,acc,Reading
0.9375,acc,Reading
0.6875,acc,Reading
0.625,acc,Reading
0.6875,acc,Reading
0.6969696969696969,roc,Reading
0.6818181818181819,roc,Reading
0.875,roc,Reading
0.4444444444444445,roc,Reading
1.0,roc,Reading
0.9090909090909091,roc,Reading
0.9166666666666666,roc,Reading
0.71875,roc,Reading
0.7333333333333334,roc,Reading
0.765625,roc,Reading
0.5882352941176471,fms,Reading
0.5454545454545454,fms,Reading
0.7999999999999999,fms,Reading
0.30769230769230765,fms,Reading
0.923076923076923,fms,Reading
0.6153846153846154,fms,Reading
0.9473684210526316,fms,Reading
0.6666666666666666,fms,Reading
0.5714285714285715,fms,Reading
0.7058823529411765,fms,Reading
0.8333333333333334,precision,Reading
0.6,precision,Reading
0.8571428571428571,precision,Reading
0.3333333333333333,precision,Reading
0.8571428571428571,precision,Reading
0.5,precision,Reading
1.0,precision,Reading
0.7142857142857143,precision,Reading
1.0,precision,Reading
0.6666666666666666,precision,Reading
0.45454545454545453,recall,Reading
0.5,recall,Reading
0.75,recall,Reading
0.2857142857142857,recall,Reading
1.0,recall,Reading
0.8,recall,Reading
0.9,recall,Reading
0.625,recall,Reading
0.4,recall,Reading
0.75,recall,Reading
0.8333333333333334,specificity,Reading
0.8181818181818182,specificity,Reading
0.875,specificity,Reading
0.5555555555555556,specificity,Reading
0.9,specificity,Reading
0.6363636363636364,specificity,Reading
1.0,specificity,Reading
0.75,specificity,Reading
1.0,specificity,Reading
0.625,specificity,Reading
