1,metric,model
0.8235294117647058,acc,RandomForest
0.5882352941176471,acc,RandomForest
0.75,acc,RandomForest
0.875,acc,RandomForest
0.6875,acc,RandomForest
0.625,acc,RandomForest
0.875,acc,RandomForest
0.8125,acc,RandomForest
0.5,acc,RandomForest
0.9375,acc,RandomForest
0.893939393939394,roc,RandomForest
0.6666666666666666,roc,RandomForest
0.8984375,roc,RandomForest
0.8571428571428571,roc,RandomForest
0.7,roc,RandomForest
0.5625,roc,RandomForest
0.8,roc,RandomForest
0.7818181818181819,roc,RandomForest
0.6171875,roc,RandomForest
0.953125,roc,RandomForest
0.7692307692307692,fms,RandomForest
0.5882352941176471,fms,RandomForest
0.75,fms,RandomForest
0.8571428571428571,fms,RandomForest
0.7058823529411764,fms,RandomForest
0.7272727272727272,fms,RandomForest
0.8333333333333334,fms,RandomForest
0.6666666666666665,fms,RandomForest
0.5555555555555556,fms,RandomForest
0.9411764705882353,fms,RandomForest
0.7142857142857143,precision,RandomForest
0.625,precision,RandomForest
0.75,precision,RandomForest
0.8571428571428571,precision,RandomForest
0.8571428571428571,precision,RandomForest
0.8,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.75,precision,RandomForest
0.5,precision,RandomForest
0.8888888888888888,precision,RandomForest
0.8333333333333334,recall,RandomForest
0.5555555555555556,recall,RandomForest
0.75,recall,RandomForest
0.8571428571428571,recall,RandomForest
0.6,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.8333333333333334,recall,RandomForest
0.6,recall,RandomForest
0.625,recall,RandomForest
1.0,recall,RandomForest
0.8181818181818182,specificity,RandomForest
0.625,specificity,RandomForest
0.75,specificity,RandomForest
0.8888888888888888,specificity,RandomForest
0.8333333333333334,specificity,RandomForest
0.5,specificity,RandomForest
0.9,specificity,RandomForest
0.9090909090909091,specificity,RandomForest
0.375,specificity,RandomForest
0.875,specificity,RandomForest
0.8823529411764706,acc,GausNaiveBayes
0.47058823529411764,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.875,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.8125,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.8787878787878788,roc,GausNaiveBayes
0.6527777777777778,roc,GausNaiveBayes
0.859375,roc,GausNaiveBayes
0.9206349206349206,roc,GausNaiveBayes
0.6666666666666666,roc,GausNaiveBayes
0.8541666666666666,roc,GausNaiveBayes
0.8833333333333334,roc,GausNaiveBayes
0.7636363636363636,roc,GausNaiveBayes
