1,metric,model
0.8235294117647058,acc,RandomForest
0.6470588235294118,acc,RandomForest
0.75,acc,RandomForest
0.6875,acc,RandomForest
0.75,acc,RandomForest
0.8125,acc,RandomForest
0.875,acc,RandomForest
0.25,acc,RandomForest
0.8125,acc,RandomForest
0.6875,acc,RandomForest
0.7714285714285714,roc,RandomForest
0.8357142857142857,roc,RandomForest
0.84375,roc,RandomForest
0.5545454545454546,roc,RandomForest
0.8541666666666666,roc,RandomForest
0.875,roc,RandomForest
0.8412698412698414,roc,RandomForest
0.33333333333333337,roc,RandomForest
0.925,roc,RandomForest
0.6904761904761905,roc,RandomForest
0.8421052631578948,fms,RandomForest
0.4,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.28571428571428575,fms,RandomForest
0.8,fms,RandomForest
0.7999999999999999,fms,RandomForest
0.8333333333333333,fms,RandomForest
0.14285714285714285,fms,RandomForest
0.8,fms,RandomForest
0.5454545454545454,fms,RandomForest
0.8888888888888888,precision,RandomForest
0.6666666666666666,precision,RandomForest
1.0,precision,RandomForest
0.5,precision,RandomForest
1.0,precision,RandomForest
0.8571428571428571,precision,RandomForest
1.0,precision,RandomForest
0.2,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.75,precision,RandomForest
0.8,recall,RandomForest
0.2857142857142857,recall,RandomForest
0.5,recall,RandomForest
0.2,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.75,recall,RandomForest
0.7142857142857143,recall,RandomForest
0.1111111111111111,recall,RandomForest
1.0,recall,RandomForest
0.42857142857142855,recall,RandomForest
0.8571428571428571,specificity,RandomForest
0.9,specificity,RandomForest
1.0,specificity,RandomForest
0.9090909090909091,specificity,RandomForest
1.0,specificity,RandomForest
0.875,specificity,RandomForest
1.0,specificity,RandomForest
0.42857142857142855,specificity,RandomForest
0.7,specificity,RandomForest
0.8888888888888888,specificity,RandomForest
0.5294117647058824,acc,GausNaiveBayes
0.7058823529411765,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.375,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.5833333333333334,roc,GausNaiveBayes
0.6969696969696969,roc,GausNaiveBayes
0.6904761904761906,roc,GausNaiveBayes
0.6833333333333333,roc,GausNaiveBayes
0.7142857142857142,roc,GausNaiveBayes
0.7166666666666667,roc,GausNaiveBayes
0.3076923076923077,roc,GausNaiveBayes
0.7936507936507937,roc,GausNaiveBayes
0.734375,roc,GausNaiveBayes
0.8571428571428572,roc,GausNaiveBayes
0.42857142857142855,fms,GausNaiveBayes
0.4444444444444444,fms,GausNaiveBayes
0.6666666666666667,fms,GausNaiveBayes
0.5333333333333333,fms,GausNaiveBayes
0.22222222222222224,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.5454545454545455,fms,GausNaiveBayes
0.75,fms,GausNaiveBayes
0.7142857142857143,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.8333333333333334,precision,GausNaiveBayes
0.4444444444444444,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.75,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.8571428571428571,precision,GausNaiveBayes
0.8333333333333334,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.375,recall,GausNaiveBayes
0.3333333333333333,recall,GausNaiveBayes
0.5555555555555556,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.14285714285714285,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.46153846153846156,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.625,recall,GausNaiveBayes
0.42857142857142855,recall,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.9090909090909091,specificity,GausNaiveBayes
0.8571428571428571,specificity,GausNaiveBayes
0.5,specificity,GausNaiveBayes
0.8888888888888888,specificity,GausNaiveBayes
0.9,specificity,GausNaiveBayes
0.0,specificity,GausNaiveBayes
0.8571428571428571,specificity,GausNaiveBayes
0.875,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.5294117647058824,acc,LogReg
0.7647058823529411,acc,LogReg
0.5625,acc,LogReg
0.625,acc,LogReg
0.8125,acc,LogReg
0.6875,acc,LogReg
0.875,acc,LogReg
0.6875,acc,LogReg
0.6875,acc,LogReg
0.6875,acc,LogReg
0.7583333333333334,roc,LogReg
0.8402777777777778,roc,LogReg
0.6746031746031746,roc,LogReg
0.703125,roc,LogReg
0.8090909090909091,roc,LogReg
0.8181818181818182,roc,LogReg
0.8833333333333333,roc,LogReg
0.8412698412698413,roc,LogReg
0.7727272727272727,roc,LogReg
0.6458333333333333,roc,LogReg
0.5000000000000001,fms,LogReg
0.7777777777777778,fms,LogReg
0.5333333333333333,fms,LogReg
0.5714285714285715,fms,LogReg
0.7272727272727272,fms,LogReg
0.7058823529411764,fms,LogReg
0.888888888888889,fms,LogReg
0.7058823529411764,fms,LogReg
0.7368421052631579,fms,LogReg
0.4444444444444445,fms,LogReg
0.36363636363636365,precision,LogReg
0.7777777777777778,precision,LogReg
0.6666666666666666,precision,LogReg
0.6666666666666666,precision,LogReg
0.6666666666666666,precision,LogReg
1.0,precision,LogReg
1.0,precision,LogReg
0.6,precision,LogReg
0.875,precision,LogReg
0.4,precision,LogReg
0.8,recall,LogReg
0.7777777777777778,recall,LogReg
0.4444444444444444,recall,LogReg
0.5,recall,LogReg
0.8,recall,LogReg
0.5454545454545454,recall,LogReg
0.8,recall,LogReg
0.8571428571428571,recall,LogReg
0.6363636363636364,recall,LogReg
0.5,recall,LogReg
0.4166666666666667,specificity,LogReg
