1,metric,model,method
0.7058823529411765,acc,RandomForest,stack
0.5882352941176471,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.6428571428571428,roc,RandomForest,stack
0.6166666666666666,roc,RandomForest,stack
0.640625,roc,RandomForest,stack
0.78125,roc,RandomForest,stack
0.6090909090909091,roc,RandomForest,stack
0.7333333333333334,roc,RandomForest,stack
0.7083333333333334,roc,RandomForest,stack
0.6953125,roc,RandomForest,stack
0.6904761904761905,roc,RandomForest,stack
0.5916666666666666,roc,RandomForest,stack
0.6153846153846153,fms,RandomForest,stack
0.631578947368421,fms,RandomForest,stack
0.5,fms,RandomForest,stack
0.6666666666666665,fms,RandomForest,stack
0.6666666666666665,fms,RandomForest,stack
0.5714285714285715,fms,RandomForest,stack
0.5,fms,RandomForest,stack
0.6153846153846154,fms,RandomForest,stack
0.8,fms,RandomForest,stack
0.5454545454545454,fms,RandomForest,stack
0.6666666666666666,precision,RandomForest,stack
0.8571428571428571,precision,RandomForest,stack
0.75,precision,RandomForest,stack
0.6,precision,RandomForest,stack
0.8571428571428571,precision,RandomForest,stack
1.0,precision,RandomForest,stack
0.5,precision,RandomForest,stack
0.8,precision,RandomForest,stack
1.0,precision,RandomForest,stack
0.6,precision,RandomForest,stack
0.5714285714285714,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.375,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.5454545454545454,recall,RandomForest,stack
0.4,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.6666666666666666,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.8,specificity,RandomForest,stack
0.8,specificity,RandomForest,stack
0.875,specificity,RandomForest,stack
0.8333333333333334,specificity,RandomForest,stack
0.8,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
0.8333333333333334,specificity,RandomForest,stack
0.875,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
0.8,specificity,RandomForest,stack
0.7058823529411765,acc,GausNaiveBayes,stack
0.7058823529411765,acc,GausNaiveBayes,stack
0.5625,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.5625,acc,GausNaiveBayes,stack
0.5,acc,GausNaiveBayes,stack
0.6214285714285714,roc,GausNaiveBayes,stack
0.787878787878788,roc,GausNaiveBayes,stack
0.9603174603174602,roc,GausNaiveBayes,stack
0.6640625,roc,GausNaiveBayes,stack
0.8166666666666667,roc,GausNaiveBayes,stack
0.7063492063492064,roc,GausNaiveBayes,stack
0.7666666666666667,roc,GausNaiveBayes,stack
0.6507936507936508,roc,GausNaiveBayes,stack
0.4841269841269841,roc,GausNaiveBayes,stack
0.4523809523809524,roc,GausNaiveBayes,stack
0.7368421052631577,fms,GausNaiveBayes,stack
0.6666666666666667,fms,GausNaiveBayes,stack
0.3636363636363636,fms,GausNaiveBayes,stack
0.5714285714285715,fms,GausNaiveBayes,stack
0.6666666666666666,fms,GausNaiveBayes,stack
0.6250000000000001,fms,GausNaiveBayes,stack
0.7368421052631577,fms,GausNaiveBayes,stack
0.5714285714285714,fms,GausNaiveBayes,stack
0.36363636363636365,fms,GausNaiveBayes,stack
0.42857142857142855,fms,GausNaiveBayes,stack
0.7777777777777778,precision,GausNaiveBayes,stack
0.5555555555555556,precision,GausNaiveBayes,stack
1.0,precision,GausNaiveBayes,stack
0.6666666666666666,precision,GausNaiveBayes,stack
0.6666666666666666,precision,GausNaiveBayes,stack
0.7142857142857143,precision,GausNaiveBayes,stack
0.7777777777777778,precision,GausNaiveBayes,stack
0.5714285714285714,precision,GausNaiveBayes,stack
0.5,precision,GausNaiveBayes,stack
0.42857142857142855,precision,GausNaiveBayes,stack
0.7,recall,GausNaiveBayes,stack
0.8333333333333334,recall,GausNaiveBayes,stack
0.2222222222222222,recall,GausNaiveBayes,stack
0.5,recall,GausNaiveBayes,stack
0.6666666666666666,recall,GausNaiveBayes,stack
0.5555555555555556,recall,GausNaiveBayes,stack
0.7,recall,GausNaiveBayes,stack
0.5714285714285714,recall,GausNaiveBayes,stack
0.2857142857142857,recall,GausNaiveBayes,stack
0.42857142857142855,recall,GausNaiveBayes,stack
0.7142857142857143,specificity,GausNaiveBayes,stack
0.6363636363636364,specificity,GausNaiveBayes,stack
1.0,specificity,GausNaiveBayes,stack
0.75,specificity,GausNaiveBayes,stack
0.8,specificity,GausNaiveBayes,stack
0.7142857142857143,specificity,GausNaiveBayes,stack
0.6666666666666666,specificity,GausNaiveBayes,stack
0.6666666666666666,specificity,GausNaiveBayes,stack
