1,metric,model,method
0.7647058823529411,acc,RandomForest,stack
0.6470588235294118,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.8642857142857143,roc,RandomForest,stack
0.7785714285714286,roc,RandomForest,stack
0.8125,roc,RandomForest,stack
0.71875,roc,RandomForest,stack
0.65,roc,RandomForest,stack
0.7734375,roc,RandomForest,stack
0.7583333333333333,roc,RandomForest,stack
0.859375,roc,RandomForest,stack
0.990909090909091,roc,RandomForest,stack
0.85,roc,RandomForest,stack
0.7142857142857143,fms,RandomForest,stack
0.6250000000000001,fms,RandomForest,stack
0.5454545454545454,fms,RandomForest,stack
0.4444444444444445,fms,RandomForest,stack
0.6666666666666667,fms,RandomForest,stack
0.75,fms,RandomForest,stack
0.7368421052631577,fms,RandomForest,stack
0.6153846153846154,fms,RandomForest,stack
0.8421052631578948,fms,RandomForest,stack
0.8235294117647058,fms,RandomForest,stack
0.7142857142857143,precision,RandomForest,stack
0.5555555555555556,precision,RandomForest,stack
1.0,precision,RandomForest,stack
0.4,precision,RandomForest,stack
0.5555555555555556,precision,RandomForest,stack
0.75,precision,RandomForest,stack
0.7777777777777778,precision,RandomForest,stack
0.8,precision,RandomForest,stack
1.0,precision,RandomForest,stack
1.0,precision,RandomForest,stack
0.7142857142857143,recall,RandomForest,stack
0.7142857142857143,recall,RandomForest,stack
0.375,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.8333333333333334,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.7,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.7272727272727273,recall,RandomForest,stack
0.7,recall,RandomForest,stack
0.8,specificity,RandomForest,stack
0.6,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
0.75,specificity,RandomForest,stack
0.6,specificity,RandomForest,stack
0.75,specificity,RandomForest,stack
0.6666666666666666,specificity,RandomForest,stack
0.875,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
0.7647058823529411,acc,GausNaiveBayes,stack
0.7647058823529411,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.5,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.875,acc,GausNaiveBayes,stack
0.5625,acc,GausNaiveBayes,stack
0.7999999999999999,roc,GausNaiveBayes,stack
0.8285714285714286,roc,GausNaiveBayes,stack
0.625,roc,GausNaiveBayes,stack
0.7291666666666667,roc,GausNaiveBayes,stack
0.6166666666666667,roc,GausNaiveBayes,stack
0.84375,roc,GausNaiveBayes,stack
0.7666666666666667,roc,GausNaiveBayes,stack
0.859375,roc,GausNaiveBayes,stack
0.9636363636363637,roc,GausNaiveBayes,stack
0.8333333333333334,roc,GausNaiveBayes,stack
0.6,fms,GausNaiveBayes,stack
0.6666666666666666,fms,GausNaiveBayes,stack
0.5,fms,GausNaiveBayes,stack
0.0,fms,GausNaiveBayes,stack
0.2,fms,GausNaiveBayes,stack
0.75,fms,GausNaiveBayes,stack
0.7777777777777777,fms,GausNaiveBayes,stack
0.4,fms,GausNaiveBayes,stack
0.9,fms,GausNaiveBayes,stack
0.4615384615384615,fms,GausNaiveBayes,stack
1.0,precision,GausNaiveBayes,stack
0.8,precision,GausNaiveBayes,stack
0.75,precision,GausNaiveBayes,stack
0.0,precision,GausNaiveBayes,stack
0.25,precision,GausNaiveBayes,stack
0.75,precision,GausNaiveBayes,stack
0.875,precision,GausNaiveBayes,stack
1.0,precision,GausNaiveBayes,stack
1.0,precision,GausNaiveBayes,stack
1.0,precision,GausNaiveBayes,stack
0.42857142857142855,recall,GausNaiveBayes,stack
0.5714285714285714,recall,GausNaiveBayes,stack
0.375,recall,GausNaiveBayes,stack
0.0,recall,GausNaiveBayes,stack
0.16666666666666666,recall,GausNaiveBayes,stack
0.75,recall,GausNaiveBayes,stack
0.7,recall,GausNaiveBayes,stack
0.25,recall,GausNaiveBayes,stack
0.8181818181818182,recall,GausNaiveBayes,stack
0.3,recall,GausNaiveBayes,stack
1.0,specificity,GausNaiveBayes,stack
0.9,specificity,GausNaiveBayes,stack
0.875,specificity,GausNaiveBayes,stack
0.8333333333333334,specificity,GausNaiveBayes,stack
0.7,specificity,GausNaiveBayes,stack
0.75,specificity,GausNaiveBayes,stack
0.8333333333333334,specificity,GausNaiveBayes,stack
1.0,specificity,GausNaiveBayes,stack
1.0,specificity,GausNaiveBayes,stack
1.0,specificity,GausNaiveBayes,stack
0.8235294117647058,acc,LogReg,stack
0.7647058823529411,acc,LogReg,stack
0.625,acc,LogReg,stack
0.625,acc,LogReg,stack
0.625,acc,LogReg,stack
0.75,acc,LogReg,stack
0.625,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.875,acc,LogReg,stack
0.75,acc,LogReg,stack
0.8142857142857143,roc,LogReg,stack
0.7714285714285715,roc,LogReg,stack
0.578125,roc,LogReg,stack
0.625,roc,LogReg,stack
0.55,roc,LogReg,stack
0.78125,roc,LogReg,stack
0.6833333333333333,roc,LogReg,stack
0.796875,roc,LogReg,stack
0.9090909090909092,roc,LogReg,stack
0.8166666666666668,roc,LogReg,stack
0.7692307692307692,fms,LogReg,stack
0.7142857142857143,fms,LogReg,stack
0.5714285714285715,fms,LogReg,stack
0.4,fms,LogReg,stack
0.5714285714285715,fms,LogReg,stack
0.75,fms,LogReg,stack
0.6666666666666665,fms,LogReg,stack
0.6153846153846154,fms,LogReg,stack
0.9090909090909091,fms,LogReg,stack
0.7777777777777777,fms,LogReg,stack
0.8333333333333334,precision,LogReg,stack
0.7142857142857143,precision,LogReg,stack
0.6666666666666666,precision,LogReg,stack
0.3333333333333333,precision,LogReg,stack
0.5,precision,LogReg,stack
0.75,precision,LogReg,stack
0.75,precision,LogReg,stack
0.8,precision,LogReg,stack
0.9090909090909091,precision,LogReg,stack
0.875,precision,LogReg,stack
0.7142857142857143,recall,LogReg,stack
0.7142857142857143,recall,LogReg,stack
0.5,recall,LogReg,stack
0.5,recall,LogReg,stack
0.6666666666666666,recall,LogReg,stack
0.75,recall,LogReg,stack
0.6,recall,LogReg,stack
0.5,recall,LogReg,stack
0.9090909090909091,recall,LogReg,stack
0.7,recall,LogReg,stack
0.9,specificity,LogReg,stack
0.8,specificity,LogReg,stack
0.75,specificity,LogReg,stack
0.6666666666666666,specificity,LogReg,stack
0.6,specificity,LogReg,stack
0.75,specificity,LogReg,stack
0.6666666666666666,specificity,LogReg,stack
0.875,specificity,LogReg,stack
0.8,specificity,LogReg,stack
0.8333333333333334,specificity,LogReg,stack
