1,metric,model,method
0.7647058823529411,acc,RandomForest,stack
0.6470588235294118,acc,RandomForest,stack
0.5625,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.5,acc,RandomForest,stack
0.8642857142857143,roc,RandomForest,stack
0.7000000000000001,roc,RandomForest,stack
0.7666666666666667,roc,RandomForest,stack
0.6749999999999999,roc,RandomForest,stack
0.734375,roc,RandomForest,stack
0.7936507936507937,roc,RandomForest,stack
0.6904761904761905,roc,RandomForest,stack
0.765625,roc,RandomForest,stack
0.8333333333333333,roc,RandomForest,stack
0.59375,roc,RandomForest,stack
0.7777777777777777,fms,RandomForest,stack
0.6250000000000001,fms,RandomForest,stack
0.588235294117647,fms,RandomForest,stack
0.5714285714285715,fms,RandomForest,stack
0.7142857142857143,fms,RandomForest,stack
0.823529411764706,fms,RandomForest,stack
0.4,fms,RandomForest,stack
0.7999999999999999,fms,RandomForest,stack
0.7142857142857143,fms,RandomForest,stack
0.5,fms,RandomForest,stack
0.875,precision,RandomForest,stack
0.5555555555555556,precision,RandomForest,stack
0.7142857142857143,precision,RandomForest,stack
0.5,precision,RandomForest,stack
0.8333333333333334,precision,RandomForest,stack
0.875,precision,RandomForest,stack
0.6666666666666666,precision,RandomForest,stack
0.8571428571428571,precision,RandomForest,stack
0.625,precision,RandomForest,stack
0.5,precision,RandomForest,stack
0.7,recall,RandomForest,stack
0.7142857142857143,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.6666666666666666,recall,RandomForest,stack
0.625,recall,RandomForest,stack
0.7777777777777778,recall,RandomForest,stack
0.2857142857142857,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.8333333333333334,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.8571428571428571,specificity,RandomForest,stack
0.6,specificity,RandomForest,stack
0.6666666666666666,specificity,RandomForest,stack
0.6,specificity,RandomForest,stack
0.875,specificity,RandomForest,stack
0.8571428571428571,specificity,RandomForest,stack
0.8888888888888888,specificity,RandomForest,stack
0.875,specificity,RandomForest,stack
0.7,specificity,RandomForest,stack
0.5,specificity,RandomForest,stack
0.7058823529411765,acc,GausNaiveBayes,stack
0.4117647058823529,acc,GausNaiveBayes,stack
0.8125,acc,GausNaiveBayes,stack
0.4375,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.8125,acc,GausNaiveBayes,stack
0.75,acc,GausNaiveBayes,stack
0.4375,acc,GausNaiveBayes,stack
0.8571428571428571,roc,GausNaiveBayes,stack
0.5285714285714286,roc,GausNaiveBayes,stack
0.8500000000000001,roc,GausNaiveBayes,stack
0.5166666666666667,roc,GausNaiveBayes,stack
0.859375,roc,GausNaiveBayes,stack
0.8412698412698413,roc,GausNaiveBayes,stack
0.6666666666666667,roc,GausNaiveBayes,stack
0.828125,roc,GausNaiveBayes,stack
0.75,roc,GausNaiveBayes,stack
0.515625,roc,GausNaiveBayes,stack
0.7368421052631577,fms,GausNaiveBayes,stack
0.5,fms,GausNaiveBayes,stack
0.8421052631578948,fms,GausNaiveBayes,stack
0.4705882352941177,fms,GausNaiveBayes,stack
0.75,fms,GausNaiveBayes,stack
0.7777777777777778,fms,GausNaiveBayes,stack
0.6666666666666666,fms,GausNaiveBayes,stack
0.7999999999999999,fms,GausNaiveBayes,stack
0.7142857142857143,fms,GausNaiveBayes,stack
0.5263157894736842,fms,GausNaiveBayes,stack
0.7777777777777778,precision,GausNaiveBayes,stack
0.38461538461538464,precision,GausNaiveBayes,stack
0.8888888888888888,precision,GausNaiveBayes,stack
0.36363636363636365,precision,GausNaiveBayes,stack
0.75,precision,GausNaiveBayes,stack
0.7777777777777778,precision,GausNaiveBayes,stack
0.625,precision,GausNaiveBayes,stack
0.8571428571428571,precision,GausNaiveBayes,stack
0.625,precision,GausNaiveBayes,stack
0.45454545454545453,precision,GausNaiveBayes,stack
0.7,recall,GausNaiveBayes,stack
0.7142857142857143,recall,GausNaiveBayes,stack
0.8,recall,GausNaiveBayes,stack
0.6666666666666666,recall,GausNaiveBayes,stack
0.75,recall,GausNaiveBayes,stack
0.7777777777777778,recall,GausNaiveBayes,stack
0.7142857142857143,recall,GausNaiveBayes,stack
0.75,recall,GausNaiveBayes,stack
0.8333333333333334,recall,GausNaiveBayes,stack
0.625,recall,GausNaiveBayes,stack
0.7142857142857143,specificity,GausNaiveBayes,stack
0.2,specificity,GausNaiveBayes,stack
0.8333333333333334,specificity,GausNaiveBayes,stack
0.3,specificity,GausNaiveBayes,stack
0.75,specificity,GausNaiveBayes,stack
0.7142857142857143,specificity,GausNaiveBayes,stack
0.6666666666666666,specificity,GausNaiveBayes,stack
0.875,specificity,GausNaiveBayes,stack
0.7,specificity,GausNaiveBayes,stack
0.25,specificity,GausNaiveBayes,stack
0.7647058823529411,acc,LogReg,stack
0.7647058823529411,acc,LogReg,stack
0.8125,acc,LogReg,stack
0.4375,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.875,acc,LogReg,stack
0.5,acc,LogReg,stack
0.625,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.5,acc,LogReg,stack
0.8571428571428571,roc,LogReg,stack
0.7714285714285714,roc,LogReg,stack
0.8666666666666667,roc,LogReg,stack
0.45,roc,LogReg,stack
0.84375,roc,LogReg,stack
0.9206349206349207,roc,LogReg,stack
0.4761904761904762,roc,LogReg,stack
0.71875,roc,LogReg,stack
0.7666666666666666,roc,LogReg,stack
0.578125,roc,LogReg,stack
0.7777777777777777,fms,LogReg,stack
0.75,fms,LogReg,stack
0.8421052631578948,fms,LogReg,stack
0.30769230769230765,fms,LogReg,stack
0.6666666666666666,fms,LogReg,stack
0.8750000000000001,fms,LogReg,stack
0.42857142857142855,fms,LogReg,stack
0.5714285714285715,fms,LogReg,stack
0.6666666666666667,fms,LogReg,stack
0.5,fms,LogReg,stack
0.875,precision,LogReg,stack
0.6666666666666666,precision,LogReg,stack
0.8888888888888888,precision,LogReg,stack
0.2857142857142857,precision,LogReg,stack
0.7142857142857143,precision,LogReg,stack
1.0,precision,LogReg,stack
0.42857142857142855,precision,LogReg,stack
0.6666666666666666,precision,LogReg,stack
0.5555555555555556,precision,LogReg,stack
0.5,precision,LogReg,stack
0.7,recall,LogReg,stack
0.8571428571428571,recall,LogReg,stack
0.8,recall,LogReg,stack
0.3333333333333333,recall,LogReg,stack
0.625,recall,LogReg,stack
0.7777777777777778,recall,LogReg,stack
0.42857142857142855,recall,LogReg,stack
0.5,recall,LogReg,stack
0.8333333333333334,recall,LogReg,stack
0.5,recall,LogReg,stack
0.8571428571428571,specificity,LogReg,stack
0.7,specificity,LogReg,stack
0.8333333333333334,specificity,LogReg,stack
0.5,specificity,LogReg,stack
0.75,specificity,LogReg,stack
1.0,specificity,LogReg,stack
0.5555555555555556,specificity,LogReg,stack
0.75,specificity,LogReg,stack
0.6,specificity,LogReg,stack
0.5,specificity,LogReg,stack
