1,metric,model,method
0.6470588235294118,acc,RandomForest,stack
0.8235294117647058,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.5,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.8055555555555556,roc,RandomForest,stack
0.8928571428571429,roc,RandomForest,stack
0.7890625,roc,RandomForest,stack
0.5555555555555556,roc,RandomForest,stack
0.8492063492063492,roc,RandomForest,stack
0.746031746031746,roc,RandomForest,stack
0.5793650793650793,roc,RandomForest,stack
0.796875,roc,RandomForest,stack
0.71875,roc,RandomForest,stack
0.640625,roc,RandomForest,stack
0.7000000000000001,fms,RandomForest,stack
0.7692307692307692,fms,RandomForest,stack
0.6666666666666666,fms,RandomForest,stack
0.4,fms,RandomForest,stack
0.7272727272727273,fms,RandomForest,stack
0.5,fms,RandomForest,stack
0.3333333333333333,fms,RandomForest,stack
0.625,fms,RandomForest,stack
0.5,fms,RandomForest,stack
0.6666666666666666,fms,RandomForest,stack
0.5833333333333334,precision,RandomForest,stack
0.8333333333333334,precision,RandomForest,stack
1.0,precision,RandomForest,stack
0.6666666666666666,precision,RandomForest,stack
1.0,precision,RandomForest,stack
1.0,precision,RandomForest,stack
0.6666666666666666,precision,RandomForest,stack
0.625,precision,RandomForest,stack
0.75,precision,RandomForest,stack
0.7142857142857143,precision,RandomForest,stack
0.875,recall,RandomForest,stack
0.7142857142857143,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.2857142857142857,recall,RandomForest,stack
0.5714285714285714,recall,RandomForest,stack
0.3333333333333333,recall,RandomForest,stack
0.2222222222222222,recall,RandomForest,stack
0.625,recall,RandomForest,stack
0.375,recall,RandomForest,stack
0.625,recall,RandomForest,stack
0.4444444444444444,specificity,RandomForest,stack
0.9,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
0.8888888888888888,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
0.8571428571428571,specificity,RandomForest,stack
0.625,specificity,RandomForest,stack
0.875,specificity,RandomForest,stack
0.75,specificity,RandomForest,stack
0.7058823529411765,acc,GausNaiveBayes,stack
0.7058823529411765,acc,GausNaiveBayes,stack
0.8125,acc,GausNaiveBayes,stack
0.4375,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.6875,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.4375,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.875,acc,GausNaiveBayes,stack
0.7884615384615384,roc,GausNaiveBayes,stack
0.6333333333333334,roc,GausNaiveBayes,stack
0.8253968253968255,roc,GausNaiveBayes,stack
0.49206349206349204,roc,GausNaiveBayes,stack
0.8203125,roc,GausNaiveBayes,stack
0.6484375,roc,GausNaiveBayes,stack
0.6507936507936508,roc,GausNaiveBayes,stack
0.546875,roc,GausNaiveBayes,stack
0.640625,roc,GausNaiveBayes,stack
0.8541666666666666,roc,GausNaiveBayes,stack
0.7826086956521738,fms,GausNaiveBayes,stack
0.4444444444444445,fms,GausNaiveBayes,stack
0.7692307692307692,fms,GausNaiveBayes,stack
0.47058823529411764,fms,GausNaiveBayes,stack
0.7058823529411765,fms,GausNaiveBayes,stack
0.6666666666666666,fms,GausNaiveBayes,stack
0.6250000000000001,fms,GausNaiveBayes,stack
0.0,fms,GausNaiveBayes,stack
0.5714285714285715,fms,GausNaiveBayes,stack
0.75,fms,GausNaiveBayes,stack
0.9,precision,GausNaiveBayes,stack
0.5,precision,GausNaiveBayes,stack
0.8333333333333334,precision,GausNaiveBayes,stack
0.5,precision,GausNaiveBayes,stack
0.6666666666666666,precision,GausNaiveBayes,stack
0.7142857142857143,precision,GausNaiveBayes,stack
0.7142857142857143,precision,GausNaiveBayes,stack
0.0,precision,GausNaiveBayes,stack
0.6666666666666666,precision,GausNaiveBayes,stack
0.75,precision,GausNaiveBayes,stack
0.6923076923076923,recall,GausNaiveBayes,stack
0.4,recall,GausNaiveBayes,stack
0.7142857142857143,recall,GausNaiveBayes,stack
0.4444444444444444,recall,GausNaiveBayes,stack
0.75,recall,GausNaiveBayes,stack
0.625,recall,GausNaiveBayes,stack
0.5555555555555556,recall,GausNaiveBayes,stack
0.0,recall,GausNaiveBayes,stack
0.5,recall,GausNaiveBayes,stack
0.75,recall,GausNaiveBayes,stack
0.75,specificity,GausNaiveBayes,stack
0.8333333333333334,specificity,GausNaiveBayes,stack
0.8888888888888888,specificity,GausNaiveBayes,stack
0.42857142857142855,specificity,GausNaiveBayes,stack
0.625,specificity,GausNaiveBayes,stack
0.75,specificity,GausNaiveBayes,stack
0.7142857142857143,specificity,GausNaiveBayes,stack
0.875,specificity,GausNaiveBayes,stack
0.75,specificity,GausNaiveBayes,stack
0.9166666666666666,specificity,GausNaiveBayes,stack
0.7058823529411765,acc,LogReg,stack
0.6470588235294118,acc,LogReg,stack
0.5625,acc,LogReg,stack
0.75,acc,LogReg,stack
0.75,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.875,acc,LogReg,stack
0.6875,acc,LogReg,stack
0.75,acc,LogReg,stack
0.7571428571428571,roc,LogReg,stack
0.5694444444444445,roc,LogReg,stack
0.5952380952380952,roc,LogReg,stack
0.7777777777777779,roc,LogReg,stack
0.7063492063492064,roc,LogReg,stack
0.746031746031746,roc,LogReg,stack
0.8125,roc,LogReg,stack
0.9333333333333333,roc,LogReg,stack
0.7380952380952381,roc,LogReg,stack
0.6875,roc,LogReg,stack
0.7368421052631577,fms,LogReg,stack
0.6666666666666665,fms,LogReg,stack
0.631578947368421,fms,LogReg,stack
0.7142857142857143,fms,LogReg,stack
0.7777777777777778,fms,LogReg,stack
0.6666666666666666,fms,LogReg,stack
0.7058823529411765,fms,LogReg,stack
0.8571428571428571,fms,LogReg,stack
0.7368421052631577,fms,LogReg,stack
0.75,fms,LogReg,stack
0.7777777777777778,precision,LogReg,stack
0.6,precision,LogReg,stack
0.6,precision,LogReg,stack
0.7142857142857143,precision,LogReg,stack
0.6363636363636364,precision,LogReg,stack
0.625,precision,LogReg,stack
0.6666666666666666,precision,LogReg,stack
0.75,precision,LogReg,stack
0.7,precision,LogReg,stack
0.75,precision,LogReg,stack
0.7,recall,LogReg,stack
0.75,recall,LogReg,stack
0.6666666666666666,recall,LogReg,stack
0.7142857142857143,recall,LogReg,stack
1.0,recall,LogReg,stack
0.7142857142857143,recall,LogReg,stack
0.75,recall,LogReg,stack
1.0,recall,LogReg,stack
0.7777777777777778,recall,LogReg,stack
0.75,recall,LogReg,stack
0.7142857142857143,specificity,LogReg,stack
0.5555555555555556,specificity,LogReg,stack
0.42857142857142855,specificity,LogReg,stack
0.7777777777777778,specificity,LogReg,stack
0.5555555555555556,specificity,LogReg,stack
0.6666666666666666,specificity,LogReg,stack
0.625,specificity,LogReg,stack
0.8,specificity,LogReg,stack
0.5714285714285714,specificity,LogReg,stack
0.75,specificity,LogReg,stack
