1,metric,model,method
0.46153846153846156,acc,RandomForest,default
0.5384615384615384,acc,RandomForest,default
0.6923076923076923,acc,RandomForest,default
0.5384615384615384,acc,RandomForest,default
0.6923076923076923,acc,RandomForest,default
0.5384615384615384,acc,RandomForest,default
0.5,acc,RandomForest,default
0.4166666666666667,acc,RandomForest,default
0.5,acc,RandomForest,default
0.75,acc,RandomForest,default
0.6428571428571428,roc,RandomForest,default
0.5,roc,RandomForest,default
0.8571428571428572,roc,RandomForest,default
0.5476190476190477,roc,RandomForest,default
0.9047619047619049,roc,RandomForest,default
0.5476190476190477,roc,RandomForest,default
0.5,roc,RandomForest,default
0.5694444444444444,roc,RandomForest,default
0.40277777777777785,roc,RandomForest,default
0.6944444444444444,roc,RandomForest,default
0.2222222222222222,fms,RandomForest,default
0.5714285714285715,fms,RandomForest,default
0.6666666666666666,fms,RandomForest,default
0.5714285714285715,fms,RandomForest,default
0.6,fms,RandomForest,default
0.4,fms,RandomForest,default
0.5,fms,RandomForest,default
0.5333333333333333,fms,RandomForest,default
0.4,fms,RandomForest,default
0.8,fms,RandomForest,default
0.3333333333333333,precision,RandomForest,default
0.5,precision,RandomForest,default
0.6666666666666666,precision,RandomForest,default
0.5,precision,RandomForest,default
0.75,precision,RandomForest,default
0.5,precision,RandomForest,default
0.5,precision,RandomForest,default
0.4444444444444444,precision,RandomForest,default
0.5,precision,RandomForest,default
0.6666666666666666,precision,RandomForest,default
0.16666666666666666,recall,RandomForest,default
0.6666666666666666,recall,RandomForest,default
0.6666666666666666,recall,RandomForest,default
0.6666666666666666,recall,RandomForest,default
0.5,recall,RandomForest,default
0.3333333333333333,recall,RandomForest,default
0.5,recall,RandomForest,default
0.6666666666666666,recall,RandomForest,default
0.3333333333333333,recall,RandomForest,default
1.0,recall,RandomForest,default
0.7142857142857143,specificity,RandomForest,default
0.42857142857142855,specificity,RandomForest,default
0.7142857142857143,specificity,RandomForest,default
0.42857142857142855,specificity,RandomForest,default
0.8571428571428571,specificity,RandomForest,default
0.7142857142857143,specificity,RandomForest,default
0.5,specificity,RandomForest,default
0.16666666666666666,specificity,RandomForest,default
0.6666666666666666,specificity,RandomForest,default
0.5,specificity,RandomForest,default
0.6923076923076923,acc,GausNaiveBayes,default
0.6923076923076923,acc,GausNaiveBayes,default
0.7692307692307693,acc,GausNaiveBayes,default
0.38461538461538464,acc,GausNaiveBayes,default
0.6153846153846154,acc,GausNaiveBayes,default
0.6153846153846154,acc,GausNaiveBayes,default
0.5,acc,GausNaiveBayes,default
0.6666666666666666,acc,GausNaiveBayes,default
0.3333333333333333,acc,GausNaiveBayes,default
0.8333333333333334,acc,GausNaiveBayes,default
0.7619047619047619,roc,GausNaiveBayes,default
0.6428571428571429,roc,GausNaiveBayes,default
0.7619047619047619,roc,GausNaiveBayes,default
0.6428571428571428,roc,GausNaiveBayes,default
0.7857142857142857,roc,GausNaiveBayes,default
0.6666666666666667,roc,GausNaiveBayes,default
0.5833333333333335,roc,GausNaiveBayes,default
0.6388888888888888,roc,GausNaiveBayes,default
0.41666666666666663,roc,GausNaiveBayes,default
0.763888888888889,roc,GausNaiveBayes,default
0.7142857142857143,fms,GausNaiveBayes,default
