1,metric,model,method
0.5384615384615384,acc,dummy,canary
0.5384615384615384,acc,dummy,canary
0.5384615384615384,acc,dummy,canary
0.5384615384615384,acc,dummy,canary
0.5384615384615384,acc,dummy,canary
0.5384615384615384,acc,dummy,canary
0.5,acc,dummy,canary
0.5,acc,dummy,canary
0.5,acc,dummy,canary
0.5,acc,dummy,canary
0.5,roc,dummy,canary
0.5,roc,dummy,canary
0.5,roc,dummy,canary
0.5,roc,dummy,canary
0.5,roc,dummy,canary
0.5,roc,dummy,canary
0.5,roc,dummy,canary
0.5,roc,dummy,canary
0.5,roc,dummy,canary
0.5,roc,dummy,canary
0.0,fms,dummy,canary
0.0,fms,dummy,canary
0.0,fms,dummy,canary
0.0,fms,dummy,canary
0.0,fms,dummy,canary
0.0,fms,dummy,canary
0.0,fms,dummy,canary
0.0,fms,dummy,canary
0.0,fms,dummy,canary
0.0,fms,dummy,canary
0.0,precision,dummy,canary
0.0,precision,dummy,canary
0.0,precision,dummy,canary
0.0,precision,dummy,canary
0.0,precision,dummy,canary
0.0,precision,dummy,canary
0.0,precision,dummy,canary
0.0,precision,dummy,canary
0.0,precision,dummy,canary
0.0,precision,dummy,canary
0.0,recall,dummy,canary
0.0,recall,dummy,canary
0.0,recall,dummy,canary
0.0,recall,dummy,canary
0.0,recall,dummy,canary
0.0,recall,dummy,canary
0.0,recall,dummy,canary
0.0,recall,dummy,canary
0.0,recall,dummy,canary
0.0,recall,dummy,canary
1.0,specificity,dummy,canary
1.0,specificity,dummy,canary
1.0,specificity,dummy,canary
1.0,specificity,dummy,canary
1.0,specificity,dummy,canary
1.0,specificity,dummy,canary
1.0,specificity,dummy,canary
1.0,specificity,dummy,canary
1.0,specificity,dummy,canary
1.0,specificity,dummy,canary
