1,metric,model,method
0.38461538461538464,acc,RandomForest,canary
0.6153846153846154,acc,RandomForest,canary
0.38461538461538464,acc,RandomForest,canary
0.5384615384615384,acc,RandomForest,canary
0.6923076923076923,acc,RandomForest,canary
0.5384615384615384,acc,RandomForest,canary
0.75,acc,RandomForest,canary
0.5833333333333334,acc,RandomForest,canary
0.6666666666666666,acc,RandomForest,canary
0.5833333333333334,acc,RandomForest,canary
0.5714285714285714,roc,RandomForest,canary
0.6071428571428572,roc,RandomForest,canary
0.4285714285714286,roc,RandomForest,canary
0.5952380952380952,roc,RandomForest,canary
0.761904761904762,roc,RandomForest,canary
0.5595238095238095,roc,RandomForest,canary
0.8055555555555556,roc,RandomForest,canary
0.625,roc,RandomForest,canary
0.6527777777777778,roc,RandomForest,canary
0.6388888888888888,roc,RandomForest,canary
0.0,fms,RandomForest,canary
0.5454545454545454,fms,RandomForest,canary
0.3333333333333333,fms,RandomForest,canary
0.625,fms,RandomForest,canary
0.6,fms,RandomForest,canary
0.5714285714285715,fms,RandomForest,canary
0.7692307692307692,fms,RandomForest,canary
0.6153846153846153,fms,RandomForest,canary
0.6666666666666666,fms,RandomForest,canary
0.6153846153846153,fms,RandomForest,canary
0.0,precision,RandomForest,canary
0.6,precision,RandomForest,canary
0.3333333333333333,precision,RandomForest,canary
0.5,precision,RandomForest,canary
0.75,precision,RandomForest,canary
0.5,precision,RandomForest,canary
0.7142857142857143,precision,RandomForest,canary
0.5714285714285714,precision,RandomForest,canary
0.6666666666666666,precision,RandomForest,canary
0.5714285714285714,precision,RandomForest,canary
0.0,recall,RandomForest,canary
0.5,recall,RandomForest,canary
0.3333333333333333,recall,RandomForest,canary
0.8333333333333334,recall,RandomForest,canary
0.5,recall,RandomForest,canary
0.6666666666666666,recall,RandomForest,canary
0.8333333333333334,recall,RandomForest,canary
0.6666666666666666,recall,RandomForest,canary
0.6666666666666666,recall,RandomForest,canary
0.6666666666666666,recall,RandomForest,canary
0.7142857142857143,specificity,RandomForest,canary
0.7142857142857143,specificity,RandomForest,canary
0.42857142857142855,specificity,RandomForest,canary
0.2857142857142857,specificity,RandomForest,canary
0.8571428571428571,specificity,RandomForest,canary
0.42857142857142855,specificity,RandomForest,canary
0.6666666666666666,specificity,RandomForest,canary
0.5,specificity,RandomForest,canary
0.6666666666666666,specificity,RandomForest,canary
0.5,specificity,RandomForest,canary
0.6153846153846154,acc,GausNaiveBayes,canary
0.5384615384615384,acc,GausNaiveBayes,canary
0.6153846153846154,acc,GausNaiveBayes,canary
0.6923076923076923,acc,GausNaiveBayes,canary
0.7692307692307693,acc,GausNaiveBayes,canary
0.6153846153846154,acc,GausNaiveBayes,canary
0.5833333333333334,acc,GausNaiveBayes,canary
0.6666666666666666,acc,GausNaiveBayes,canary
0.6666666666666666,acc,GausNaiveBayes,canary
0.5833333333333334,acc,GausNaiveBayes,canary
0.6190476190476191,roc,GausNaiveBayes,canary
0.6190476190476191,roc,GausNaiveBayes,canary
0.761904761904762,roc,GausNaiveBayes,canary
0.6904761904761905,roc,GausNaiveBayes,canary
0.9047619047619048,roc,GausNaiveBayes,canary
0.5952380952380952,roc,GausNaiveBayes,canary
0.7222222222222223,roc,GausNaiveBayes,canary
0.8055555555555556,roc,GausNaiveBayes,canary
0.75,roc,GausNaiveBayes,canary
0.6388888888888891,roc,GausNaiveBayes,canary
0.6153846153846153,fms,GausNaiveBayes,canary
0.5714285714285715,fms,GausNaiveBayes,canary
0.6666666666666667,fms,GausNaiveBayes,canary
0.6666666666666666,fms,GausNaiveBayes,canary
0.7692307692307692,fms,GausNaiveBayes,canary
0.6666666666666667,fms,GausNaiveBayes,canary
0.5454545454545454,fms,GausNaiveBayes,canary
0.6,fms,GausNaiveBayes,canary
0.6666666666666666,fms,GausNaiveBayes,canary
0.6666666666666667,fms,GausNaiveBayes,canary
0.5714285714285714,precision,GausNaiveBayes,canary
0.5,precision,GausNaiveBayes,canary
0.5555555555555556,precision,GausNaiveBayes,canary
0.6666666666666666,precision,GausNaiveBayes,canary
0.7142857142857143,precision,GausNaiveBayes,canary
0.5555555555555556,precision,GausNaiveBayes,canary
0.6,precision,GausNaiveBayes,canary
0.75,precision,GausNaiveBayes,canary
0.6666666666666666,precision,GausNaiveBayes,canary
0.5555555555555556,precision,GausNaiveBayes,canary
0.6666666666666666,recall,GausNaiveBayes,canary
0.6666666666666666,recall,GausNaiveBayes,canary
0.8333333333333334,recall,GausNaiveBayes,canary
0.6666666666666666,recall,GausNaiveBayes,canary
0.8333333333333334,recall,GausNaiveBayes,canary
0.8333333333333334,recall,GausNaiveBayes,canary
0.5,recall,GausNaiveBayes,canary
0.5,recall,GausNaiveBayes,canary
0.6666666666666666,recall,GausNaiveBayes,canary
0.8333333333333334,recall,GausNaiveBayes,canary
0.5714285714285714,specificity,GausNaiveBayes,canary
0.42857142857142855,specificity,GausNaiveBayes,canary
0.42857142857142855,specificity,GausNaiveBayes,canary
0.7142857142857143,specificity,GausNaiveBayes,canary
0.7142857142857143,specificity,GausNaiveBayes,canary
0.42857142857142855,specificity,GausNaiveBayes,canary
0.6666666666666666,specificity,GausNaiveBayes,canary
0.8333333333333334,specificity,GausNaiveBayes,canary
0.6666666666666666,specificity,GausNaiveBayes,canary
0.3333333333333333,specificity,GausNaiveBayes,canary
0.6153846153846154,acc,LogReg,canary
0.5384615384615384,acc,LogReg,canary
0.6923076923076923,acc,LogReg,canary
0.6923076923076923,acc,LogReg,canary
0.8461538461538461,acc,LogReg,canary
0.5384615384615384,acc,LogReg,canary
0.75,acc,LogReg,canary
0.6666666666666666,acc,LogReg,canary
0.6666666666666666,acc,LogReg,canary
0.6666666666666666,acc,LogReg,canary
0.6190476190476191,roc,LogReg,canary
0.5714285714285714,roc,LogReg,canary
0.6428571428571428,roc,LogReg,canary
0.7619047619047619,roc,LogReg,canary
0.8571428571428571,roc,LogReg,canary
0.5714285714285714,roc,LogReg,canary
0.6944444444444444,roc,LogReg,canary
0.6944444444444444,roc,LogReg,canary
0.7777777777777778,roc,LogReg,canary
0.638888888888889,roc,LogReg,canary
0.5454545454545454,fms,LogReg,canary
0.4,fms,LogReg,canary
0.6666666666666666,fms,LogReg,canary
0.7142857142857143,fms,LogReg,canary
0.8,fms,LogReg,canary
0.625,fms,LogReg,canary
0.7692307692307692,fms,LogReg,canary
0.6666666666666666,fms,LogReg,canary
0.6666666666666666,fms,LogReg,canary
0.7142857142857143,fms,LogReg,canary
0.6,precision,LogReg,canary
0.5,precision,LogReg,canary
0.6666666666666666,precision,LogReg,canary
0.625,precision,LogReg,canary
1.0,precision,LogReg,canary
0.5,precision,LogReg,canary
0.7142857142857143,precision,LogReg,canary
0.6666666666666666,precision,LogReg,canary
0.6666666666666666,precision,LogReg,canary
0.625,precision,LogReg,canary
0.5,recall,LogReg,canary
0.3333333333333333,recall,LogReg,canary
0.6666666666666666,recall,LogReg,canary
0.8333333333333334,recall,LogReg,canary
0.6666666666666666,recall,LogReg,canary
0.8333333333333334,recall,LogReg,canary
0.8333333333333334,recall,LogReg,canary
0.6666666666666666,recall,LogReg,canary
0.6666666666666666,recall,LogReg,canary
0.8333333333333334,recall,LogReg,canary
